ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Семак Елена Николаевна,05-002-03-01,судья,назначен,,бессрочно,
Семак Елена Николаевна,07-009-03-01,судья и заместитель председателя,освобожден,,,
Дунаева Марина Чеславовна,05-000-03-01,судья,назначен,,бессрочно,
Дунаева Марина Чеславовна,05-016-03-01,судья и председатель,освобожден,,,
Короткевич Валентина Вадимовна,05-000-03-01,судья,назначен,,бессрочно,
Короткевич Валентина Вадимовна,03-000-03-01,судья,освобожден,,,
Левкович Алексей Михайлович,05-000-03-01,заместитель председателя,назначен,,бессрочно,
Кулеш Виталий Эдвардович,04-000-03-01,заместитель председателя,назначен,,бессрочно,
Ковалева Ольга Чеславовна,04-010-03-01,судья,назначен,,бессрочно,
Лихач Андрей Андреевич,04-000-03-01,судья,назначен,,бессрочно,
Лихач Андрей Андреевич,04-016-03-01,судья,освобожден,,,
Михневич Людмила Эдвардовна,04-017-03-01,судья,назначен,,лет,5
Степанова Наталия Викторовна,04-007-03-01,председатель,назначен,,бессрочно,
Шилин Александр Сергеевич,04-015-03-01,председатель,назначен,,бессрочно,
Горгадзе Татьяна Анатольевна,01-002-03-02,судья,назначен,,лет,5
Кирилович Александр Иванович,01-010-03-01,председатель,назначен,,бессрочно,
Левчук Виктория Викторовна,01-011-03-01,судья,назначен,,лет,5
Малейчук Александр Петрович,01-015-03-01,судья и заместитель председателя,назначен,,лет,5
Пацко Алексей Васильевич,01-015-03-01,судья,назначен,,лет,5
Романюк Ольга Вячеславовна,01-003-03-01,судья,назначен,,лет,5
Балико Ольга Владимировна,02-003-03-01,судья,назначен,,лет,5
Елисеенко Вячеслав Владимирович,02-009-03-01,судья,назначен,,бессрочно,
Курбацкий Дмитрий Сергеевич,02-002-03-03,судья,назначен,,лет,5
Загвоздина Галина Владимировна,03-010-03-01,заместитель председателя,назначен,,бессрочно,
Лагунович Андрей Александрович,03-002-03-03,судья,назначен,,лет,5
Малая Елена Анатольевна,03-001-03-01,судья,назначен,,лет,5
Морозюк Виталий Валерьевич,03-002-03-04,судья,назначен,на время нахождения в социальном отпуске Козловой Ольги Викторовны,на период,
Буравцов Александр Иванович,05-020-03-01,заместитель председателя,назначен,,бессрочно,
Гаврилюк Надежда Ивановна,05-017-03-01,судья,назначен,,лет,5
Жечко Павел Николаевич,05-014-03-01,судья,назначен,,лет,5
Иршин Алексей Валерьевич,05-014-03-01,судья,назначен,на время нахождения в социальном отпуске Кохановской Инны Валерьевны,на период,
Клещенок Оксана Сергеевна,05-005-03-01,судья,назначен,,лет,5
Кохановская Инна Валерьевна,05-014-03-01,судья,назначен,,лет,5
Логачев Олег Викторович,05-016-03-01,судья и председатель,назначен,,бессрочно,
Логачев Олег Викторович,05-014-03-01,судья,освобожден,,,
Поляк Людмила Сергеевна,05-000-03-02,судья,назначен,,лет,5
Поляк Людмила Сергеевна,05-000-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Королевой Оксаны Сергеевны,,
Трепашко Татьяна Васильевна,05-003-03-01,судья,назначен,,лет,5
Южик Инесса Михайловна,05-014-03-01,судья,назначен,,лет,5
Галковский Василий Александрович,06-003-03-01,судья,назначен,,лет,5
Кужелева Галина Александровна,06-002-03-01,председатель,назначен,,бессрочно,
Семашко Марина Евгеньевна,06-005-03-01,судья и председатель,назначен,,бессрочно,
Козлова Марина Владимировна,07-009-03-01,судья и заместитель председателя,назначен,,лет,5
Кравченко Ольга Васильевна,07-003-03-01,судья,назначен,,лет,5
Осечкова Александра Михайловна,07-003-03-01,судья,назначен,,лет,5
Татарицкая Юлия Александровна,07-001-03-01,судья,назначен,,бессрочно,
Татарицкая Юлия Александровна,07-001-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Капцевич Елены Вячеславовны,,
Шпилевская Екатерина Александровна,05-002-03-02,судья,назначен,,лет,5
Гудыно Дмитрий Юрьевич,06-005-03-01,судья и председатель,освобожден,по собственному желанию,,
Гуринович Ирина Александровна,06-010-03-01,судья,освобожден,выход в отставку,,
Комель Геннадий Аркадьевич,05-000-03-01,судья,освобожден,выход в отставку,,
Машарский Олег Александрович,02-000-03-01,судья,освобожден,выход в отставку,,
Прокопович Ольга Ивановна,05-020-03-01,заместитель председателя,освобожден,по собственному желанию,,
Прокопович Ольга Ивановна,05-020-03-01,судья,оставлен в должности судьи,,,
Сучок Александр Михайлович,02-005-03-01,судья,освобожден,по собственному желанию,,
Короткевич Валентина Вадимовна,03-000-03-01,судья,исключить,состав президиума,,
Кулеш Виталий Эдвардович,04-000-03-01,заместитель председателя,включить,состав президиума,,бессрочно,
Левкович Алексей Михайлович,05-000-03-01,заместитель председателя,включить,состав президиума,,бессрочно,











































Гудыно Дмитрий Юрьевич,06-005-03-01,судья и председатель суда и судья,освобожден,по собственному желанию,,
Гуринович Ирина Александровна,06-010-03-01,судья,освобожден,выход в отставку,,
Комеля Геннадий Аркадьевич,05-000-03-01,судья,освобожден,выход в отставку,,
Мошарский Олег Александрович,02-000-03-01,судья,освобожден,выход в отставку,,
Прокопович Ольга Ивановна,05-020-03-01,заместитель председателя суда,освобожден,по собственному желанию,,
Сучок Александр Михайлович,02-005-03-01,судья,освобожден,по собственному желанию,,
