ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Папеко Лидия Борисовна,03-009-03-01,судья и заместитель председателя суда,назначен,,бессрочно,
Сапонова Валентина Владимировна,03-009-03-01,судья,назначен,,лет,5
Сигай Александр Алексеевич,03-007-03-01,судья и председатель суда,назначен,,бессрочно,
Хамиченко Николай Николаевич,02-000-03-01,судья,назначен,,бессрочно,
Ковшун Нэлла Ивановна,07-000-00-02,судья,назначен,,бессрочно,
Лазовикова Инесса Владимировна,07-000-00-02,судья,назначен,,бессрочно,
Лазовикова Инесса Владимировна,05-002-03-01,судья,освобожден,перевод в Верховный суд,,
Соколовская Анна Михайловна,07-000-00-02,судья,назначен,,бессрочно,
Бельский Василий Владимирович,01-021-03-01,судья,освобожден,выход в отставку,,
Грачева Людмила Андреевна,07-002-03-01,заместитель председателя суда,освобожден,выход в отставку,,
Грекова Валентина Михайловна,07-004-03-01,судья,освобожден,выход в отставку,,
Гринкевич Александр Антонович,04-000-03-01,судья и председатель суда и судья ,освобожден,выход в отставку,,
Гришукевич Марина Иванвна,07-008-03-01,судья,освобожден,перевод на другую работу,,
Далинчук Александр Сергеевич,05-000-03-02,заместитель председателя суда и судья,освобожден,по собственному желанию,,
Добранов Владимир Николаевич,04-000-03-02,судья,освобожден,выход в отставку,,
Киндра Алина Фёдоровна,04-017-03-01,судья,освобожден,выход в отставку,,
Лобасюк Павел Александрович,07-008-03-01,судья,освобожден,выход в отставку,,
Малашенко Виктор Сергеевич,03-009-03-01,судья и председатель суда и судья,освобожден,выход в отставку,,
Новицкая Надежда Фёдоровна,07-002-03-01,судья,освобожден,истечение срока полномочий,,
Протосовицкая Наталья Владимировна,07-004-03-01,судья,освобожден,по собственному желанию,,
Стефанович Татьяна Ричиардовна,03-009-03-01,судья,освобожден,по собственному желанию,,
Толстик Александр Александрович,04-008-03-01,судья ,освобожден,выход в отставку,,
Якубовский Эдуард Эдуардович,07-007-03-01,заместитель председателя суда и судья,освобожден,по собственному желанию,,
