ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Шемет Елена Васильевна,05-002-03-01,судья,назначен,,бессрочно,
Шемет Елена Васильевна,07-001-03-01,судья,освобожден,,,
Волошиненко Юрий Георгиевич,05-002-03-02,судья,назначен,,лет,5
Волошиненко Юрий Георгиевич,03-002-03-03,судья,освобожден,,,
Зайцева Наталия Анатольевна,05-002-03-02,судья,назначен,,лет,5
Олешкевич Андрей петрович,05-002-03-02,судья и заместитель председателя суда,назначен,,лет,5
Подгородецкая Вероника Геннадьевна,07-004-03-01,судья,назначен,,лет,5
Ковяко Юлия Владимировна,07-002-03-01,судья,назначен,,лет,5
Кухарева Екатерина Ивановна,07-002-03-01,судья,назначен,,лет,5
Капцевич Елена Вячеславовна,07-001-03-01,судья,назначен,,лет,5
Мокштарева Анна Леонидовна,07-001-03-01,судья,назначен,,лет,5
Савчук Марина Александровна,07-001-03-01,судья и заместитель председателя суда,назначен,,лет,5
Бричков Александр Владимирович,07-008-03-01,судья,назначен,,лет,5
Лищук Наталья Михайловна,07-008-03-01,судья,назначен,,лет,5
Дреко Ольга Михайловна,07-006-03-01,судья,назначен,,лет,5
Шабуня Виктория Валерьевна,07-009-03-01,судья,назначен,,лет,5
Крукович Елена Николаевна,07-007-03-01,судья,назначен,,лет,5
Якунчихин Александр Анатольевич,07-007-03-01,судья и заместитель председателя суда,назначен,,лет,5
Якунчихин Александр Анатольевич,07-009-03-01,судья и заместитель председателя суда,освобожден,,,
Лукашевич Валентина Васильевна,06-002-03-02,судья,назначен,,бессрочно,
Иванькова Галина Васильевна,06-003-03-01,судья,назначен,,лет,5
Жолудев Владимир Анатольевич,06-005-03-01,судья,назначен,,лет,5
Березкин Вадим Викторович,05-000-03-02,судья,назначен,,лет,5
Минич Алексей Николаевич,05-000-03-02,судья,назначен,,лет,5
Минич Алексей Николаевич,05-001-03-01,судья,освобожден,,,
Синкевич Ольга Николаевна,05-000-03-02,судья,назначен,,лет,5
Тарасюк Александр Леонидович,05-018-03-01,судья,назначен,,лет,5
Саттарова Ольга Николаевна,05-011-03-01,судья,назначен,,лет,5
Дерябина Евгения Эдуардовна,04-000-03-02,судья,назначен,,лет,5
Лях Сергей Иванович,04-000-03-02,судья и заместитель председателя суда,назначен,,лет,5
Рослик Мирина Валерьевна,04-000-03-02,судья ,назначен,,лет,5
Рослик Мирина Валерьевна,03-000-03-02,судья ,освобожден,,,
Чекрыжовка Татьяна Вячеславовна,04-002-03-02,судья,назначен,,лет,5
Кацуба Марина Владимировна,03-018-03-01,судья,назначен,,лет,5
Колесник Игорь Викторович,02-000-03-01,судья,назначен,,бессрочно,
Колесник Игорь Викторович,02-015-03-01,судья,освобожден,,,
Никитина Валентина Леонидовна,02-015-03-01,судья и председатель суда,назначен,,бессрочно,
Никитина Валентина Леонидовна,02-011-03-01,судья и председатель суда,освобожден,,,
Татаев Игорь Алексеевич,02-010-03-01,судья,назначен,,лет,5
Васюк Дмитрий Михайлович,02-011-03-01,судья и председатель суда,назначен,,лет,5
Кмит Алексей Николаевич,01-012-03-01,судья,назначен,,лет,5
Братанова Светлана Викторовна,01-021-03-01,судья,назначен,,лет,5
Воловик Зинаида Никоноровна,05-002-03-01,судья,освобожден,выход в отставку,,
Иванова Ольга Анатольевна,02-002-03-02,судья,освобожден,по собственному желанию,,
Кольцов Андрей Леонидович,05-000-03-02,судья,освобожден,выход в отставку,,
Коровина Наталья Владимировна,07-008-03-01,судья,освобожден,истечение срока полномочий,,
Костюкевич Валерий Евгеньевич,04-000-03-02,судья и председатель суда и судья,освобожден,выход в отставку,,
Мазовка Анжелика Михайловна,07-007-03-01,судья,освобожден,истечение срока полномочий,,
Павлюченко Дмитрий Иванович,07-007-03-01,судья,освобожден,истечение срока полномочий,,
Ревинская Татьяна Владимировна,05-002-03-01,судья,освобожден,выход в отставку,,
Скоблик Наталия Васильевна,03-000-03-02,судья,освобожден,выход в отставку,,
Хома Ольга Васильевна,05-011-03-01,судья,освобожден,выход в отставку,,
Янович Зинаида Николаевна,05-000-03-02,судья,освобожден,выход в отставку,,
