ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Кучук Дина Валентиновна,05-002-03-01,судья,назначен,,бессрочно,
Шестаков Юрий Валерьевич,05-002-03-01,судья,назначен,,бессрочно,
Шестаков Юрий Валерьевич,07-003-03-01,судья,освобожден,,,
Пискунов Александр Евгеньевич,03-002-03-04,судья и заместитель председателя суда,назначен,,бессрочно,
Пискунов Александр Евгеньевич,03-002-03-03,судья и заместитель председателя суда,освобожден,,,
Новиков Сергей Павлович,03-002-03-02,судья,назначен,,лет,5
Ермальчик Елена Евгеньевна,03-009-03-01,судья и заместитель председателя суда,назначен,,бессрочно,
Александров Дмитрий Петрович,07-000-00-02,судья,назначен,,бессрочно,
Белоусов Василий Леонидович,03-000-03-01,заместитель председателя суда,освобожден,истечение срока полномочий(оставлен в должности судьи),,
Жданович Игорь Николаевич,05-002-03-02,судья и председатель суда и судья,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
Камалыева Зинаида Михайловна,03-000-03-01,судья,освобожден,выход в отставку,,
Климова Татьяна Викторовна,04-002-03-02,судья,освобожден,выход в отставку,,
Клюйко Олег Владимирович,05-002-03-02,судья,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
Кулаковский Сергей Леонтьевич,05-002-03-02,заместитель председателя суда и судья,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
Полулеха Кирилл Игоревич,07-007-03-01,судья,освобожден,истечение срока полномочий,,
Попеко Людмила Михайловна,07-002-03-01,судья,освобожден,по собственному желанию,,
Рыбалкин Андрей Викторович,05-002-03-02,судья,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
