ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Симахина Любовь Сергеевна,05-002-03-01,судья,назначен,,лет,5
Смолина Светлана Викторовна,07-003-03-01,назначен,на время нахождения в социальном отпуске Пирожниковой Татьяны Валерьевны,на период,
Смолина Светлана Викторовна,07-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Кравченко Ольги Васильевны,,
Ханевский Александр Александрович,05-002-03-02,судья,назначен,,лет,5
Ханевский Александр Александрович,05-002-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Дроздовской Кэтрин Денизы Мигель Анхель,,
Костюкевич Анжела Евгеньевна,07-001-03-01,судья,назначен,,лет,5
Ерохина Мария Вячеславовна,07-008-03-01,судья,назначен,,лет,5
Ерохина Мария Вячеславовна,07-008-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Полулех Татьяны Федоровны,,
Есьман Екатерина Вячеславовна,05-002-03-02,судья,назначен,на время нахождения в социальном отпуске Дроздовской Кэтрин Денизы Мигель Анхель,на период,
Лякса Елизавета Павловна,07-009-03-01,судья,назначен,,лет,5
Мацкевич Эльмира Андреевна,07-009-03-01,судья,назначен,,лет,5
Чайко Екатерина Владимировна,07-005-03-01,судья,назначен,,лет,5
Абрамович Вероника Светославовна,07-007-03-01,судья и заместитель председателя,назначен,,лет,5
Буряко Светлана Викторовна,06-000-03-01,заместитель председателя,назначен,,бессрочно,
Прошко Игорь Брониславович,06-000-03-01,председатель,назначен,,бессрочно,
Трифонова Ирина Константиновна,06-000-03-01,судья,назначен,,бессрочно,
Лаптенок Марина Петровна,06-000-03-02,судья,назначен,,лет,5
Мелешко Александр Иванович,06-000-03-02,судья,назначен,,лет,5
Трамбачев Владимир Владимирович,06-000-03-02,судья и заместитель председателя,назначен,,лет,5
Голочевский Олег Иванович,06-010-03-01,председатель,назначен,,бессрочно,
Дворецкая Виктория Викторовна,06-017-03-01,судья,назначен,,лет,5
Дворецкая Виктория Викторовна,06-017-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Лопатиной Ольги Александровны,,
Кренжиевский Дмитрий Сергеевич,06-016-03-01,судья,назначен,,лет,5
Соловьева Елена Владимировна,06-017-03-01,судья,назначен,,лет,5
Щегельская Татьяна Михайловна,06-003-03-01,судья,назначен,,лет,5
Станкевич Наталья Валерьевна,06-005-03-01,судья,назначен,,лет,5
Мардышева Марина Владимировна,05-000-03-02,судья,назначен,,лет,5
Мардышева Марина Владимировна,05-000-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Шпак Ирины Николаевны,,
Красуцкий Георгий Вячеславович,05-001-03-01,судья,назначен,,лет,5
Красуцкий Георгий Вячеславович,05-001-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Новиковой Екатерины Сергеевны,,
Ряузова Диана Ивановна,05-001-03-01,судья,назначен,,лет,5
Пасюк Ирина Анатольевна,05-005-03-01,судья,назначен,,лет,5
Лучинович Светлана Валерьевна,05-020-03-01,судья,назначен,,лет,5
Борисенко Анастасия Григорьевна,05-019-03-01,судья,назначен,,лет,5
Бородич Лина Ивановна,05-019-03-01,судья,назначен,,лет,5
Костриков Александр Иванович,05-023-03-01,председатель,назначен,,бессрочно,
Котишова Александра Александровна,05-001-03-01,судья,назначен,на время нахождения в социальном отпуске Карпейчик Надежды Николаевны,на период,
Сиз Андрей Николаевич,05-013-03-01,судья и председатель,назначен,,лет,5
Филатова Диана Геннадьевна,05-021-03-01,судья,назначен,,лет,5
Баклажец Юлия Петровна,04-000-03-02,судья и заместитель председателя,назначен,,лет,5
Борель Лариса Викторовна,04-002-03-01,судья,назначен,,лет,5
Королевич Анна Витольдовна,04-007-03-01,судья,назначен,,лет,5
Бекушева Ольга Анатольевна,04-002-03-02,судья,назначен,,лет,5
Бекушева Ольга Анатольевна,06-002-03-01,судья,освобожден,,,
Стасюкевич Ксения Степановна,04-002-03-02,судья и заместитель председателя,назначен,,лет,5
Стасюкевич Ксения Степановна,04-002-03-01,судья,освобожден,,,
Цыбульский Валерий Светославович,04-011-03-01,судья,назначен,,лет,5
Богданович Дмитрий Владимирович,04-013-03-01,судья,назначен,,лет,5
Лабор Светлана Викентьевна,04-013-03-01,судья и председатель,назначен,,лет,5
Лабор Светлана Викентьевна,04-006-03-01,судья,освобожден,,,
Радюк Владимир Владимирович,04-002-03-02,судья,назначен,,лет,5
Радюк Владимир Владимирович,04-014-03-01,судья,освобожден,,,
Федорцов Дмитрий Александрович,03-000-03-02,заместитель председателя,назначен,,бессрочно,
Царук Руслан Витальевич,03-020-03-01,судья,назначен,,лет,5
Новикова Валентина Петровна,03-014-03-01,судья,назначен,,лет,5
Новикова Валентина Петровна,03-009-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Качаловой Натальи Сергеевны,,
Ваврентович Александр Николаевич,03-015-03-01,председатель,назначен,,бессрочно,
Домасевич Марина Георгиевна,03-019-03-01,председатель,назначен,,бессрочно,
Зыль Ирина Николаевна,03-019-03-01,заместитель председателя,назначен,,бессрочно,
Лупиченко Светлана Владимировна,03-004-03-01,судья,назначен,,лет,5
Сычева Ольга Владимировна,03-006-03-01,судья и председатель,назначен,,лет,5
Черная Анна Леонидовна,03-008-03-01,судья,назначен,,лет,5
Русаков Дмитрий Александрович,03-020-03-01,судья,назначен,,лет,5
Русаков Дмитрий Александрович,03-002-03-03,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Белоусовой Ольги Николаевны,,
Володькин Александр Иванович,03-020-03-01,судья,назначен,,лет,5
Тур Ольга Николаевна,02-000-03-02,заместитель председателя,назначен,,бессрочно,
Можейко Екатерина Васильевна,02-014-03-01,судья,назначен,,лет,5
Котова Ирина Васильевна,02-019-03-01,судья и председатель,назначен,,лет,5
Никитин Константин Вадимович,01-000-03-02,заместитель председателя,назначен,,бессрочно,
Груда Екатерина Николаевна,01-003-03-01,судья,назначен,,лет,5
Савчук Владимир Владимирович,01-017-03-01,председатель,назначен,,бессрочно,
Снежко Светлана Николаевна,01-003-03-01,заместитель председателя,назначен,,бессрочно,
Утлик Вера Ивановна,01-003-03-01,судья,назначен,,лет,5
Кухоцковолец Сергей Иванович,01-010-03-01,судья,назначен,,бессрочно,
Колесник Игорь Викторович,07-000-00-02,судья,назначен,,бессрочно,
Колесник Игорь Викторович,02-000-03-01,судья,освобожден,,,
Миколенко Татьяна Александровна,07-000-00-02,судья,назначен,,бессрочно,
Миколенко Татьяна Александровна,05-002-03-02,судья,освобожден,,,
Харитонюк Константин Николаевич,07-000-00-02,судья,назначен,,бессрочно,
Харитонюк Константин Николаевич,01-000-03-01,судья,освобожден,,,
Борисова Вероника Сергеевн,02-008-03-01,судья,назначен,на время нахождения в социальном отпуске Гуриновой Анны Дмитриевны,на период,
Алисейко Ирина Александровна,03-020-03-01,судья,освобожден,выход в отставку,,
Андрейчук Николай Контантинович,01-001-03-01,судья и председатель,освобожден,выход в отставку,,
Бирилло Андрей Олегович,05-001-03-01,судья,освобожден,истечение срока полномочий,,
Бобков Николай Николаевич,07-000-00-02,судья,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
Буева Валентина Михайловна,02-000-03-01,судья,освобожден,выход в отставку,,
Демещик Александр Викторович,04-013-03-01,судья и председатель,освобожден,по собственному желанию,,
Драчева Наталья Ивановна,07-007-03-01,судья,освобожден,по собственному желанию,,
Комиссаров Валерий Николаевич,05-002-03-01,судья,освобожден,выход в отставку,,
Крайников Александр Николаевич,03-019-03-01,судья,освобожден,истечение срока полномочий,,
Литвинюк Лариса Леонидовна,03-018-03-01,судья,освобожден,истечение срока полномочий,,
Лопатина Ольга Александровна,06-017-03-01,судья,освобожден,по собственному желанию,,
Раткевич Александр Викторович,04-013-03-01,судья,освобожден,истечение срока полномочий,,
Ситько Александр Михайлович,04-002-03-02,заместитель председателя,освобожден,истечение срока полномочий,,
Ситько Александр Михайлович,04-002-03-02,судья,оставлен в должности судьи,,,
Шкель Татьяна Владимировна,02-019-03-01,судья и председатель суда,освобожден,истечение срока полномочий,,
Шкель Татьяна Владимировна,02-019-03-01,судья,оставлен в должности,,,
Любовицкий Игорь Вячеславович,05-002-03-01,судья,включить,состав президиума,,бессрочно,
Комиссаров Валерий Николаевич,05-002-03-01,судья,исключить,состав президиума,,


