ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Цыкала Дмитрий Юрьевич,05-002-03-01,судья,назначен,,лет,5
Цыкала Дмитрий Юрьевич,07-006-03-01,судья,освобожден,,,
Баранова Елена Николаевна,05-002-03-02,судья,назначен,,лет,5
Паутов Александр Михайлович,05-002-03-02,судья и председатель,назначен,,бессрочно,
Паутов Александр Михайлович,07-000-00-02,судья,освобожден,,,
Бируля Ольга Анатольевна,07-004-03-01,судья и заместитель председателя,назначен,,лет,5
Макаревич Светлана Юрьевна,07-004-03-01,председатель,назначен,,бессрочно,
Супрун Дмитрий Игоревич,05-002-03-01,судья,назначен,,лет,5
Супрун Дмитрий Игоревич,07-005-03-01,судья,освобожден,,,
Яворская Наталия Сергеевна,07-004-03-01,судья,назначен,,лет,5
Щербакова Юлия Александровна,07-002-03-01,судья,назначен,,лет,5
Щербакова Юлия Александровна,07-002-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Громович Марины Валентиновны,,
Осипчик Анастасия Владимировна,07-001-03-01,судья,назначен,,лет,5
Мотыль Татьяна Ярославовна,07-003-03-01,судья,назначен,,лет,5
Мисуно Светлана Эдуардовна,07-008-03-01,председатель,назначен,,бессрочно,
Осипенко Елена Михайловна,07-008-03-01,судья,назначен,,лет,5
Скуратович Алла Александровна,07-008-03-01,судья,назначен,,лет,5
Богомья Ольга Михайловна,07-006-03-01,судья,назначен,,лет,5
Дорощенок Татьяна Дмитриевна,07-002-03-01,судья,назначен,,лет,5
Кисляк Алексей Игоревич,07-002-03-01,судья,назначен,на время нахождения в социальном отпуске Кухаревой Екатерины Ивановны,на период,
Петух Наталья Анатольевна,07-006-03-01,заместитель председателя,назначен,,,
Сергей Александр Леонидович,07-006-03-01,судья и заместитель председателя,назначен,,лет,5
Сергей Александр Леонидович,07-004-03-01,судья,освобожден,,,
Жукович Елена Геннадьевна,07-007-03-01,судья,назначен,,лет,5
Жукович Елена Геннадьевна,01-002-03-01,судья,освобожден,,,
Карапетян Татьяна Станиславовна,06-000-03-01,судья,назначен,,бессрочно,
Карапетян Татьяна Станиславовна,06-002-03-02,судья,освобожден,,,
Теплова Ирина Леонидовна,06-000-03-01,судья,назначен,,бессрочно,
Иваненко Татьяна Александровна,06-010-03-01,судья,назначен,,лет,5
Азаренко Елена Викторовна,06-014-03-01,председатель,назначен,,бессрочно,
Волков Виталий Николаевич,06-022-03-01,судья,назначен,,лет,5
Прохоров Сергей Сергеевич,06-014-03-01,судья,назначен,,лет,5
Лопатина Валентина Степановна,06-002-03-01,заместитель председателя,назначен,,бессрочно,
Мазуров Сергей Валерьевич,06-002-03-01,судья,назначен,,лет,5
Гущин Антон Иванович,01-012-03-01,судья и председатель суда,назначен,,бессрочно,
Манышев Евгений Вадимович,06-002-03-01,судья,назначен,,лет,5
Манышев Евгений Вадимович,05-005-03-01,судья,освобожден,,,
