ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Березюк Сергей Александрович,01-002-03-01,судья,назначен,,бессрочно,
Горохова Марина Чеславовна,02-017-03-01,председатель,назначен,,бессрочно,
Дегтярева Татьяна Валерьевна,02-001-03-01,судья,назначен,,бессрочно,
Костогрызов Николай Евгеньевич,02-020-03-01,судья,назначен,,бессрочно,
Николаева Лия Петровна,02-015-03-01,судья,назначен,,бессрочно,
Спирченок Сергей Александрович,02-020-03-01,судья,назначен,,бессрочно,
Тимочко Янина Вацлавовна,02-009-03-01,судья,назначен,,бессрочно,
Ивличева Ирина Олеговна,03-018-03-01,судья,назначен,на время нахождения в социальном отпуске Литвинюк Ларисы Леонидовны,на период,
Костюкевич Аксана Анатольевна,03-002-03-03,судья,назначен,,бессрочно,
Крикун Юрий Васильевич,03-013-03-01,судья,назначен,,бессрочно,
Стрельченко Анатолий Николаевич,03-018-03-01,судья,назначен,,бессрочно,
Хомич Александр Александрович,03-002-03-01,судья,назначен,,бессрочно,
Цыганок Петр Петрович,03-018-03-01,судья,назначен,,бессрочно,
Цыганок Петр Петрович,03-022-03-01,судья по административным делам,освобожден,,,
Лихач Андрей Андреевич,04-016-03-01,судья,назначен,,бессрочно,
Ероховец Павел Николаевич,05-019-03-01,судья,назначен,,бессрочно,
Стефанович Инна Викторовна,05-003-03-01,судья,назначен,,бессрочно,
Гудыно Дмитрий Юрьевич,06-005-03-01,судья,назначен,,бессрочно,
Королев Сергей Алексеевич,06-002-03-01,судья,назначен,,бессрочно,
Павлова Валентина Амановна,06-018-03-01,судья,назначен,,бессрочно,
Пискунов Виталий Викторович,06-019-03-01,судья,назначен,,бессрочно,
Пискунов Виталий Викторович,06-019-03-01,судья по административным делам,освобожден,,,
Семин Леонид Иосифович,06-011-03-01,председатель,назначен,,бессрочно,
Шитина Галина Николаевна,06-017-03-01,судья,назначен,,бессрочно,
Молчан Виктор Михайлович,07-001-03-01,судья,назначен,,бессрочно,
Балавнев Николай Васильевич,07-001-03-01,судья,назначен,,бессрочно,
Балавнев Николай Васильевич,07-001-03-01,судья по административным делам,освобожден,,,
Доминич Рада Васильевна,02-017-03-01,судья по административным делам,освобожден,по собственному желанию,,
Макарова Наталья Арнольдовна,02-002-03-03,судья,освобожден,по собственному желанию,,
Матвеев Сергей Алексеевич,06-008-03-01,судья по административным делам,освобожден,по собственному желанию,,
Рогов Александр Леонидович,05-011-03-01,судья по административным делам,освобожден,по собственному желанию,,
Станкевич Павел Иванович,01-015-03-01,судья по административным делам,освобожден,по собственному желанию,,








































