id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
44,ГУО «Средняя школа № 1 г.Бреста»,https://1brest.schools.by/,"г. Брест, ул. Колесника, 6",52.07465,23.72408,,,,,0
45,ГУО «Средняя школа № 3 г.Бреста»,https://brest3.schools.by/,"г. Брест, б-р Космонавтов, 60",52.09663,23.69793,,,,,0
46,ГУО «Средняя школа № 4 г.Бреста»,https://4brest.schools.by/,"г. Брест, ул. Волынская, 26",52.06572,23.68961,,,,,0
47,ГУО «Средняя школа № 5 г.Бреста»,https://5brest.schools.by/,"г. Брест, ул. Писателя Смирнова, 63",52.10549,23.64652,,,,,0
48,ГУО «Средняя школа № 6 г.Бреста»,https://6brest.schools.by/,"г. Брест, ул. Панфиловцев, 22",52.10038,23.71519,,,,,0
49,ГУО «Средняя школа № 7 г.Бреста»,https://7brest.schools.by/,"г. Брест, ул. Горького, 20",52.10046,23.69851,,,,,0
50,ГУО «Средняя школа № 8 г.Бреста имени Героя Беларуси В.Н. Карвата»,https://8brest.schools.by/,"г. Брест, ул. Железнодорожная, 16",52.10102,23.67049,,,,,0
51,ГУО «Средняя школа № 10 г.Бреста»,https://10brest.schools.by/,"г. Брест, ул. Кривошеина, 7",52.10182,23.75556,,,,,0
52,ГУО «Средняя школа № 11 г.Бреста»,https://11brest.schools.by/,"г. Брест, ул. Сальникова, 33",52.07187,23.70168,,,,,0
53,ГУО «Средняя школа № 12 имени К.Л.Губаревича г.Бреста»,https://12brest.schools.by/,"г. Брест, ул. Московская, 346/6",52.10497,23.77146,,,,,0
54,ГУО «Средняя школа № 14 имени Е.М.Фомина г.Бреста»,https://14brest.schools.by/,"г. Брест, ул. Рябиновая, 10",52.06772,23.72946,,,,,0
55,ГУО «Средняя школа № 15 г.Бреста»,https://15brest.schools.by/,"г. Брест, пр. Машерова, 55",52.08739,23.70631,,,,,0
56,ГУО «Средняя школа № 17 г.Бреста»,https://17brest.schools.by/,"г. Брест, ул. Северная, 20",52.1095,23.67888,,,,,0
57,ГУО «Средняя школа № 18 г.Бреста»,https://18brest.schools.by/,"г. Брест, ул. Ленина, 70",52.08855,23.68724,,,,,0
58,ГУО «Средняя школа № 19 г.Бреста»,https://19brest.schools.by/,"г. Брест, ул. Сикорского, 86",52.0923,23.71808,,,,,0
59,ГУО «Средняя школа № 21 г.Бреста»,https://21brest.schools.by/,"г. Брест, ул. Учительская, 55",52.03904,23.70191,,,,,0
60,ГУО «Средняя школа № 22 г.Бреста»,https://22brest.schools.by/,"г. Брест, ул. Я.Купалы, 20",52.10361,23.73429,,,,,0
61,ГУО «Средняя школа № 23 г.Бреста»,https://23brest.schools.by/,"г. Брест, ул. Орловская, 16",52.10665,23.7663,,,,,0
62,ГУО «Средняя школа № 24 г.Бреста»,https://24brest.schools.by/,"г. Брест, ул. Ленинградская, 11",52.10911,23.76222,,,,,0
63,ГУО «Средняя школа № 25 г.Бреста»,https://25brest.schools.by/,"г. Брест, ул. Волгоградская, 7",52.07455,23.75892,,,,,0
64,ГУО «Средняя школа № 26 г.Бреста»,https://26brest.schools.by/,"г. Брест, ул. Ленинградская, 41",52.11133,23.77824,,,,,0
65,ГУО «Средняя школа № 27 г.Бреста»,https://27brest.schools.by/,"г. Брест, ул. Адамковская, 58/1",52.1049,23.65096,,,,,0
66,ГУО «Средняя школа № 28 г.Бреста»,https://28brest.schools.by/,"г. Брест, ул. Орловская, 48",52.10942,23.77978,,,,,0
67,ГУО «Средняя школа № 29 г.Бреста»,https://29brest.schools.by/,"г. Брест, ул. Орловская, 33",52.10689,23.77869,,,,,0
68,ГУО «Средняя школа № 30 имени Б.Гвишиани г.Бреста»,https://30brest.schools.by/,"г. Брест, ул. Волгоградская, 42",52.07986,23.74986,,,,,0
69,ГУО «Средняя школа № 31 г.Бреста»,https://31brest.schools.by/,"г. Брест, ул. Я.Купалы, 30/1",52.10626,23.7342,,,,,0
70,ГУО «Средняя школа № 32 г.Бреста»,https://32brest.schools.by/,"г. Брест, ул. Строительная, 21",52.11352,23.73114,,,,,0
71,ГУО «Средняя школа № 33 г.Бреста»,https://33brest.schools.by/,"г. Брест, ул. Белорусская, 64",52.11969,23.65672,,,,,0
72,ГУО «Средняя школа № 35 г.Бреста»,https://35brest.schools.by/,"г. Брест, ул. 28 Июля, 43",52.07885,23.73902,,,,,0
73,ГУО «Средняя школа № 37 г.Бреста»,https://37brest.schools.by/,"г. Брест, ул. Рябиновая, 12",52.06876,23.72869,,,,,0
74,Брестская санаторная школа-интернат,http://school-internat.brest.by/,"г. Брест, ул.Тришинская, 20",52.0963,23.72896,,,,,0
75,УПК детский сад - начальная школа № 1 г.Бреста,https://upk1brest.schools.by/,"г. Брест, ул. Луцкая, 20",52.07795,23.74616,,,,,0
76,УПК детский сад - начальная школа № 3 г.Бреста,https://3brest.schools.by/,"г. Брест, ул. Волгоградская, 5",52.07441,23.75794,,,,,0
77,УПК детский сад - начальная школа № 4 г.Бреста,https://upk4brest.schools.by/,"г. Брест, пер. Я.Купалы, 16/1",52.10538,23.73943,,,,,0
78,УПК детский сад - начальная школа № 7 г.Бреста,https://upk7brest.schools.by/,"г. Брест, ул. Луцкая, 36, корп.А",52.07708,23.74912,,,,,0
79,УПК детский сад - начальная школа № 9 г.Бреста,https://upk9brest.schools.by/,"г. Брест, ул. Московская, 330/2",52.10177,23.75886,,,,,0
80,УПК ясли-сад – начальная школа № 6 г.Бреста,https://upk6brest.schools.by/,"г. Брест, ул. Лактионова, 22",52.10013,23.78445,,,,,0
81,УПК ясли-сад - начальная школа № 10 г.Бреста,https://upk10brest.schools.by/,"г. Брест, ул. Защитников Отечества, 1А",52.05635,23.73554,,,,,0
82,УПК ясли-сад - начальная школа № 11 г.Бреста,https://upk11brest.schools.by/,"г. Брест, ул. Октябрьской Революции, 47",52.08193,23.75166,,,,,0
83,Ясли-сад № 7 г.Бреста,https://ds7brest.schools.by/,"г. Брест, ул. Генерала Благовещенского, 6",52.06803,23.69825,,,,,0
84,Ясли-сад № 36 г.Бреста,https://ds36brest.schools.by/,"г. Брест, ул. Дубровская, 15",52.12754,23.65645,,,,,0
85,Ясли-сад № 53 г.Бреста,https://ds53brest.schools.by/,"г. Брест, ул. Халтурина, 37",52.08961,23.70544,,,,,0
86,Ясли-сад № 70 г.Бреста,https://ds70brest.schools.by/,"г. Брест, ул. Волгоградская, 20",52.07449,23.75303,,,,,0
