ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Тупик Вера Михайловн,судья,23.10. 2014 г. № 502,суд Ленинского района г. Минска ,выход в отставку
Хробастов Владимир Иванович,судья,23.10. 2014 г. № 502,Минский городской суд,выход в отставку
Шемпель Елена Ивановна,судья,23.10. 2014 г. № 502,суд г. Жодино ,по собственному желанию
Юревич Лариса Леоновна,заместитель председателя суда и судья,23.10. 2014 г. № 502,суд Молодечненского района,выход в отставку
Борисенок Анатолий Владимирович,судья,15.06.2020 № 213,суд Партизанского района г. Минска,выход в отставку
Вайтехович Наталья Михайловна,судья,03.10.2019 № 366,суд Центрального района г. Минска,выход в отставку
Горбатовский Юрий Александрович,судья,31.05.2019 № 209,суд Первомайского района г. Минска,выход в отставку
Герасимович Сергей Степанович,судья,31.05.2019 № 209,суд Борисовского района,выход в отставку
Бескишкий Артем Александрович,судья,09.03.2017 № 77,суд Советского района г. Минска,по собственному желанию
Дешева Валентина Анатольевна,судья,22.08.2018 № 348,суд Октябрьского района г. Минска,в связи с истечением срока полномочий
Драчева Наталья Ивановна,судья,27.02.2018 № 88,суд Советского района г. Минска,по собственному желанию
Навроцкий Евгений Игоревич,судья,03.10.2019 № 366,суд Первомайского района г. Минска,в связи с истечением срока полномочий
Невмержицкий Иван Николаевич,судья,06.02.2020 № 41,суд Партизанского района г. Минска,в связи с истечением срока полномочий
Шейко Инна Валерьевна,судья,03.10.2019 № 366,суд Дзержинского района,в связи с истечением срока полномочий
Сушко Максим Иванович,судья,31.05.2019 № 209,суд Московского района г. Минска,в связи с истечением срока полномочий
Семенов Виталий Сергеевич,судья,03.10.2019 № 366,суд Московского района г. Минска,по собственному желанию
Трапук Станислав Павлович,председатель суда,19.11.2012 № 525,суд Глубокского района,в связи с истечением срока полномочий
Федорова Марина Аркадьевна,заместитель председателя суда,08.09.2011 № 404,суд Советского района г. Минска,в связи с истечением срока полномочий
Костян Иван Игнатович,судья,24.12.2020 № 487,суд Центрального района г. Минска,по собственному желанию
