ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Тузов Юрий Алексеевич,заместитель председателя суда и судья,23.04.2014 № 183,Белорусский военный суд,выход в отставку
Урбан Дарья Николаевна,судья,23.04.2014 № 183,суд Октябрьского района г. Минска,истечение срока полномочий
Швец Татьяна Александровна,судья,23.04.2014 № 183,суд Центрального района г. Гомеля ,выход в отставку
Ясенович Леонид Станиславович,заместитель председателя суда и судья,23.04.2014 № 183,суд Центрального района г. Минска,выход в отставку
Бельский Василий Владимирович,судья,11.02.2015 № 53,суд Лунинецкого района,выход в отставку
Грачева Людмила Андреевна,заместитель председателя суда,11.02.2015 № 53,суд Ленинского района г. Минска,выход в отставку
Грекова Валентина Михайловна,судья,11.02.2015 № 53,суд Октябрьского района г. Минска,выход в отставку
Гринкевич Александр Антонович,судья и председатель суда и судья ,11.02.2015 № 53,Гродненский областной суд,выход в отставку
Гришукевич Марина Иванвна,судья,11.02.2015 № 53,суд Фрунзенского района г. Минска,перевод на другую работу
Далинчук Александр Сергеевич,заместитель председателя суда и судья,11.02.2015 № 53,экономический суд Минской области ,по собственному желанию
Добранов Владимир Николаевич,судья,11.02.2015 № 53,экономический суд Гродненской области,выход в отставку
Киндра Алина Фёдоровна,судья,11.02.2015 № 53,суд Сморгонского района,выход в отставку
Лобасюк Павел Александрович,судья,11.02.2015 № 53,суд Фрунзенского района г. Минска,выход в отставку
Малашенко Виктор Сергеевич,судья и председатель суда и судья,11.02.2015 № 53,суд Жлобинского района ,выход в отставку
Новицкая Надежда Фёдоровна,судья,11.02.2015 № 53,суд Ленинского района г. Минска,истечение срока полномочий
Протосовицкая Наталья Владимировна,судья,11.02.2015 № 53,суд Октябрьского района г. Минска,по собственному желанию
Стефанович Татьяна Ричиардовна,судья,11.02.2015 № 53,суд Жлобинского района ,по собственному желанию
Толстик Александр Александрович,судья ,11.02.2015 № 53,суд Ивьевского района,выход в отставку
Якубовский Эдуард Эдуардович,заместитель председателя суда и судья,11.02.2015 № 53,суд Советского района г. Минска,по собственному желанию
Абрамович Ольга Викторовна,заместитель председателя суда,25.05.2017 № 185,суд Борисовского района,истечение срока полномочий
Бабук Ольга Владимировна,заместитель председателя суда,25.05.2017 № 185,суд Пуховичского района,по собственному желанию
Горбацкий Александр Александрович,судья,25.05.2017 № 185,экономический суд Брестской области,выход в отставку
Демещенко Елена Александровна,судья и председатель суда и судья,25.05.2017 № 185,суд Дубровенского района ,выход в отставку
Ермольчик Елена Евгеньевна,заместитель председателя суда и судья,25.05.2017 № 185,суд Жлобинского района ,выход в отставку
Костогрызов Николай Евгеньевич,судья,25.05.2017 № 185,суд Ушачского района,выход в отставку
Кузнецова Наталья Анатольевна,судья,25.05.2017 № 185,суд Московского района г. Минска ,выход в отставку
Рахуба Анастасия Юрьевна,судья,25.05.2017 № 185,суд Пуховичского района,истечение срока полномочий
Ткачук Сергей Иванович,судья,25.05.2017 № 185,суд Минского района,выход в отставку
Цветков Алексей Иванович,судья,25.05.2017 № 185,экономический суд Гродненской области,выход в отставку
Чайков Александр Михайлович,судья,25.05.2017 № 185,суд Быховского района,выход в отставку
Шоломицкий Владимир Алексеевич,судья,25.05.2017 № 185,суд Брестского района,выход в отставку
Алехин Сергей Анатольевич,судья,31.07.2017 № 268,суд Мозырьского района,по собственному желанию
Глебко Татьяна Казимировна,судья,31.07.2017 № 268,суд Узденского района,выход в отставку
Зайцева Виктория Геннадьевна,судья,31.07.2017 № 268,Минский городской суд,выход в отставку
Клеймюк Юрий Евгеньевич,судья и председатель суда и судья,31.07.2017 № 268,суд Мозырьского района,выход в отставку
Курадовцев Сергей Аркадьевич,судья,31.07.2017 № 268,экономический суд г. Минска,по собственному желанию
Лукша Галина Георгиевна,судья,31.07.2017 № 268,суд Мстиславского района,выход в отставку
Матушайкес Татьяна Васильевна,судья,31.07.2017 № 268,Витебский областной суд,выход в отставку
Мешкевич Иван Иванович,судья,31.07.2017 № 268,суд Ганцевичского района,выход в отставку
Плакса Зузанна Ивановна,заместитель председателя суда и судья,31.07.2017 № 268,Суд Полоцкого района и г. Полоцка,выход в отставку
Рогачевская Анастасия Васильевна,заместитель председателя суда и судья,31.07.2017 № 268,суд Первомайского района г. Минска,по собственному желанию
Рыбакова Татьяна Александровна,судья,31.07.2017 № 268,суд Оршанского района и г. Орши,выход в отставку
Свидунович Галина Николаевна,заместитель предстедателя и судья,31.07.2017 № 268,суд Светлогорского района,выход в отставку
Тарчилина Лариса Владимировна,судья,31.07.2017 № 268,суд Советского района г. Минска,выход в отставку
Терещенко Владимир Васильевич,судья,31.07.2017 № 268,суд Фрунзенского района г. Минска,по собственному желанию
Толопило Надежда Ивановна,судья,31.07.2017 № 268,суд Шарковщинского района,выход в отставку
Юмагужин Руслан Хадыевич,судья,31.07.2017 № 268,Верховный Суд,выход в отставку
Акуленко Дмитрий Александрович,судья,21.04.2016  № 153,суд Ленинского района г. Могилева,по собственному желанию
Алехнович Наталья Васильевна,судья,21.04.2016  № 153,Минский областной суд,выход в отставку
Белорусов Владимир Николаевич,судья,21.04.2016  № 153,суд Мозырьского района,"совершение проступка, несовместимого с нахождением на государственной службе"
Ераховец Лариса Николаевна,судья,21.04.2016  № 153,суд Логойского района,по собственному желанию
Зинькевич Элла Васильевна,судья,21.04.2016  № 153,суд Советского района г. Гомеля,выход в отставку
Карпинская Татьяна Аркадьевна,судья,21.04.2016  № 153,суд Центрального района г. Минска,по собственному желанию
Кашко Михаил Михайлович,судья,21.04.2016  № 153,Верховный Суд,выход в отставку
Кеник Ксения Ивановна,судья,21.04.2016  № 153,Верховный Суд,достижение предельного возраста пребывания на государственной службе
Лупенкова Раиса Кондратьевна,судья и председатель суда и судья,21.04.2016  № 153,суд Железнодорожного района г. Витебска,выход в отставку
Мадудин Николай Дмитриевич,судья,21.04.2016  № 153,Верховный Суд,выход в отставку
Никитин Сергей Николаевич,судья,21.04.2016  № 153,экономический суд г. Минска,выход в отставку
Пуцило Владимир Григорьевич,судья,21.04.2016  № 153,Верховный Суд,по собственному желанию
Райдудин Александр Тимофеевич,судья,21.04.2016  № 153,Верховный Суд,выход в отставку
Тозик Анатолий Николаевич,заместитель председателя суда ,21.04.2016  № 153,Гомельский областной суд,истечение срока полномочий (остался в должности судьи)
Бакиновская Леонида Иосифовна,судья,14.01.2013 № 24,Верховный Суд,выход в отставку
Бельский Василий Владимирович,судья и председатель суда,14.01.2013 № 24,суд Лунинецкого района ,истечение срока полномочий (остался в должности судьи)
Войтенкова Инна Иосифовна,судья,14.01.2013 № 24,суд Пуховичского района ,истечение срока полномочий
Герасин Анатолий Александрович,судья,14.01.2013 № 24,суд,по собственному желанию
Климович Дмитрий Николаевич,судья и председатель суда и судья,14.01.2013 № 24,суд Советского района г. Минска,по собственному желанию
Комар Ольга Константиновна,судья,14.01.2013 № 24,суд Фрунзенского района г. Минска ,истечение срока полномочий
Ломако Сергей Иванович,судья и председатель суда и судья,14.01.2013 № 24,Суд Октябрьского района г. Витебска,выход в отставку
Моисеенко Юрий Евгеньевич,судья,14.01.2013 № 24,суд Ленинского района г. Могилева,по собственному желанию
Рубисов Николай Данилович,судья и председатель суда и судья,14.01.2013 № 24,суд Рогачевского района,выход в отставку
Тарчилина Лариса Владимировна,заместитель председателя суда ,14.01.2013 № 24,суд Советского района г. Минска,истечение срока полномочий (осталась в должности судьи)
Татаревич Иван Станиславович,заместитель председателя суда и судья,14.01.2013 № 24,суд Пинского района и г. Пинска ,выход в отставку
Фенченко Жанна Анатольевна,судья и председатель суда,14.01.2013 № 24,суд Россонского района,истечение срока полномочий (осталась в должности судьи)
Чижов Андрей Вячеславович,судья и председатель суда и судья,14.01.2013 № 24,Белорусский военный суд,по собственному желанию
Шевченко Елена Павловна,судья,14.01.2013 № 24,суд Минского района,по собственному желанию
Артиш Янина Станиславовна,судья и председатель суда и судья,14.03.2013 №130,суд Ивьевского района,по собственному желанию
Белойчук Наталья Николаевна,судья и председатель суда,14.03.2013 №130,суд Светлогорского района ,по собственному желанию (оставлена в должности судьи)
Валевич Любовь Александровна,судья,14.03.2013 №130,суд Ленинского района г. Минска ,по собственному желанию
Жилина Светлана Петровна,судья,14.03.2013 №130,Могилевский областной суд,выход в отставку
Жуковская Людмила Константиновна,судья,14.03.2013 №130,суд Ленинского района г. Гродно,выход в отставку
Ероховец Павел Николаевич,судья,14.03.2013 №130,суд Смолевичского района,по собственному желанию
Кравчук Анна Ивановна,судья,14.03.2013 №130,суд Пинского района и г. Пинска,выход в отставку
Ластовский Иван Стефанович,судья,14.03.2013 №130,суд Слонимского района,"в связи с выходом на работу находившейся в социальном отпуске Онуфрени Оксаны Владимировны,"
Мохань Валентина Антоновна,заместитель председателя суда ,14.03.2013 №130,суд Октябрьского района г. Гродно ,по собственному желанию (оставлена в должности судьи)
Серафимович Татьяна Владимировна,судья,14.03.2013 №130,суд Оршанского района и г. Орши,по собственному желанию
Шоломицкий Владимир Алексеевич,судья и председатель суда,14.03.2013 №130,суд Брестского района ,по собственному желанию (оставлен в должности судьи)
Шубич Екатерина Аркадьевна,судья и председатель суда,14.03.2013 №130,суд Буда-Кошелевского района,истечение срока полномочий (осталась в должности судьи)
Барановский Андрей Федорович,судья,09.03.2017 № 77,экономический суд г. Минска,по собственному желанию
Бескишкий Артём Александрович,судья,09.03.2017 № 77,суд Советского района г. Минска,по собственному желанию
Браусов Михаил Григорьевич,судья,09.03.2017 № 77,суд Кричевского района ,выход в отставку
Герменчук Николай Иванович,судья,09.03.2017 № 77,Верховный Суд,выход в отставку
Глебов Глеб Анатольевич,судья,09.03.2017 № 77,суд Минского района,"совершение проступка, несовместимого с нахождением на государственной службе"
Данченко Николай Анатольевич,судья и председатель суда и судья,09.03.2017 № 77,экономический суд Гомельской области ,выход в отставку
Дубаневич Ольга Васильевна,судья,09.03.2017 № 77,суд Советского района г. Минска,по собственному желанию
Каретникова Антонина Ивановна,судья и председатель суда и судья,09.03.2017 № 77,суд Оршанского района и г. Орши ,выход в отставку
Корень Татьяна Анатольевна,судья,09.03.2017 № 77,экономический суд Могилёвской  области ,по собственному желанию
Музыченко Антонина Анатольевна,судья и председатель суда и судья,09.03.2017 № 77,суд Лоевского района,по собственному желанию
Новикова Валентина Ивановна,судья,09.03.2017 № 77,экономический суд Гомельской области ,выход в отставку
Папеко Лидия Борисовна,заместитель председателя суда и судья,09.03.2017 № 77,суд Жлобинского района ,выход в отставку
Петрив Василий Остапович,заместитель председателя суда и судья,09.03.2017 № 77,суд Барановичского района и г. Барановичи ,выход в отставку
Подчищалова Надежда Васильевна,судья,09.03.2017 № 77,экономический суд Могилёвской  области ,выход в отставку
Сиз Николай Иванович,заместитель председателя суда и судья,09.03.2017 № 77,Брестский областной суд,выход в отставку
Стальмахова Светлана Ивановна,заместитель председателя суда и судья,09.03.2017 № 77,Могилевский областной суд ,выход в отставку
Стригалева Нина Михайловна,судья,09.03.2017 № 77,суд Борисовского района,выход в отставку
Троцюк Татьяна Ивановна,судья и председатель суда и судья,09.03.2017 № 77,суд г. Жодино ,выход в отставку
Курбацкий Дмитрий Сергеевич,судья,26.06.2014 № 297,суд Первомайского района г. Витебска ,по собственному желанию
Бровко Наталья Константиновна,судья,26.06.2014 № 297,суд Первомайского района г. Витебска ,по собственному желанию
Ананич Татьяна Геннадьевна,Судья,26.06.2014  № 297,экономический суд Могилёвской  области,выход в отставку
Боричевский Петр Васильевич,судья,26.06.2014 № 297,суд Малоритского района,выход в отставку
Грушецкий Юрий Казимирович,Судья,26.06.2014 № 297,экономический суд г. Минска,вступление в силу обвинительного приговора
Дулуб Елена Сигитасовна,Судья,26.06.2014 № 297,Верховный Суд,выход в отставку
Кацура Людмила Васильевна,Судья,26.06.2014 № 297,суд Сенненского района,выход в отставку
Кизевич Татьяна Александровна,судья,26.06.2014 № 297,экономический суд г. Минска,выход в отставку
Колесник Александр Алексеевич,судья и заместитель председателя суда,26.06.2014 № 297,Гродненский областной суд,выход в отставку
Корнева Нина Григорьевна,Судья,26.06.2014 № 297,суд Бобруйского района и г. Бобруйска,выход в отставку
Малашенок Ирина Михайловна,Судья,26.06.2014 № 297,суд Быховского района,выход в отставку
Медведь Михаил Михайлович,судья и председатель суда,26.06.2014 № 297,суд Слонимского района,выход в отставку
Мельникова Елена Игнатьевна,судья,26.06.2014 № 297,экономический суд г. Минска,вступление в силу обвинительного приговора
Новиков Владимир Михайлович,судья,26.06.2014 № 297,экономический суд Могилёвской  области,выход в отставку
Самофалов Владимир Николаевич,судья,26.06.2014 № 297,экономический суд Гомельской области,выход в отставку
Трибуцкий Николай Константинович,судья и заместитель председателя суда,26.06.2014 № 297,экономический суд Гомельской области,по собственному желанию
Хованский Александр Францевич,судья и председатель суда,26.06.2014 № 297,суд Минского района,"совершение проступка, несовместимого с нахождением на государственной службе"
Цалко Валерий Николаевич,Судья,26.06.2014 № 297,Верховный Суд,выход в отставку
Швед Светлана Михайловна,Судья,26.06.2014 № 297,экономический суд г. Минска,по собственному желанию
Шегеда Наталья Игоревна,судья,26.06.2014 № 297,суд Бобруйского района и г. Бобруйска,выход в отставку
Афонский Сергей Николаевич,зам председателя суда и судья ,15.11.2016 № 419,суд Минского района,по собственному желанию
Бирюк Зинаида Ивановна,зам председателя суда и судья,15.11.2016 № 419,Витебский областной суд,выход в отставку
Борисенко Егор Александрович,Судья,15.11.2016 № 419,суд Солигорского района,истечение срока полномочий
Веленто Валерий Иванович,Судья,15.11.2016 № 419,суд Лидского района,выход в отставку
Галынский Сергей Алексеевич,Судья,15.11.2016 № 419,суд Глусского района,истечение срока полномочий
Гаращенко Михаил Иванович,судья и председатель суда и судья,15.11.2016 № 419,суд Хойникского района,выход в отставку
Дедковская Светлана Евгеньевна,Судья,15.11.2016 № 419,Витебский областной суд,выход в отставку
Ермоленкова Леонид Федорович,Судья,15.11.2016 № 419,суд Первомайского района г. Минска,по собственному желанию
Жмейдо Виктор Семенович,Судья,15.11.2016 № 419,суд Костюковичского района,выход в отставку
Карамышев Александр Владимирович,Судья,15.11.2016 № 419,экономический суд г. Минска,выход в отставку
Костюк Роман Львович,Судья,15.11.2016 № 419,суд Октябрьского района г. Могилева,по собственному желанию
урбацкий Дмитрий Сергеевич,Судья,15.11.2016 № 419,суд Первомайского района г. Витебска,по собственному желанию
Любанец Тамара Леонидовна,судья и председатель суда и судья,15.11.2016 № 419,суд Клецкого района,выход в отставку
Мицуля Владимир Васильевич,Судья,15.11.2016 № 419,суд Калинковичского района,выход в отставку
Рудик Виктор Владимирович,Судья,15.11.2016 № 419,суд Октябрьского района г. Минска,по собственному желанию
Снарова Стефанида Романовна,Судья,15.11.2016 № 419,Витебский областной суд,выход в отставку
Такварова Ирина Александровна,Судья,15.11.2016 № 419,Гомельский областной суд,выход в отставку
Тракелевич Анна Константиновна,Судья,15.11.2016 № 419,суд Октябрьского района г. Гродно,выход в отставку
Шубич Екатерина Аркадьевна,судья,15.11.2016 № 419,суд Буда-Кошелевского района,выход в отставку
Адамович Оксана Юрьевна,судья,15.06.2020 № 213,суд Ленинского района г. Минска,истечение срока полномочий
Берёзкин Василий Михайлович,судья и председатель суда и судья,15.06.2020 № 213,суд Шарковщинского района,по собственному желанию
Борисенок Анатолий Владимирович,судья,15.06.2020 № 213,суд Партизанского района г. Минска,выход в отставку
"Бортник Валентина Никифоровна",судья,15.06.2020 № 213,суд Ленинского района г. Минска ,выход в отставку
Войтенкова Екатерина Артёмовна,судья,15.06.2020 № 213,Могилевский областной суд,выход в отставку
Галезник Александр Михайлович,судья,15.06.2020 № 213,суд Слуцкого района,выход в отставку
Горелов Николай Витальевич,заместитель председателя суда и судья,15.06.2020 № 213,суд Минского района,истечение срока полномочий
Григорович Владимир Владимирович,первый заместитель председателя суда и судья,15.06.2020 № 213,Минский городской суд,по собственному желанию
Дмитренко Григорий Иванович,судья и председатель суда и судья,15.06.2020 № 213,суд Центрального района г. Гомеля,выход в отставку
Зенько Анатолий Васильевич,судья и председатель суда ,15.06.2020 № 213,суд Воложинского района,истечение срока полномочий
Канцедал Наталья Викторовна,судья,15.06.2020 № 213,суд Октябрьского района г. Могилева,выход в отставку
Караткевич Екатерина Александровна,судья,15.06.2020 № 213,Верховный Суд Республики Беларусь,выход в отставку
Кмита Николай Алексеевич,судья и председатель суда ,15.06.2020 № 213,суд Барановичского района и г. Барановичи,истечение срока полномочий
Крылович Роман Вячеславович,судья и председатель суда ,15.06.2020 № 213,суд Дзержинского района,истечение срока полномочий
Кужелева Галина Александровна,судья и председатель суда и судья,15.06.2020 № 213,суд Ленинского района г. Могилева,выход в отставку
Купрейчик Леонид Вячеславович,судья и председатель суда и судья,15.06.2020 № 213,суд Хойникского района,по собственному желанию
Кураленко Игорь Сергеевич,судья,15.06.2020 № 213,суд Бобруйского района и г. Бобруйска,по собственному желанию
Ломаник Дмитрий Михайлович,судья,15.06.2020 № 213,экономический суд Гродненской области,выход в отставку
Малашкевич Ирина Михайловна,судья,15.06.2020 № 213,суд Рогачевского района,выход в отставку
Полякова Лариса Валентиновна,судья,15.06.2020 № 213,Гродненский областной суд,выход в отставку
Прокопчук Александр Анатольевич,судья,15.06.2020 № 213,суд Столинского района ,истечение срока полномочий
Протас Елена Сергеевна,судья,15.06.2020 № 213,суд Первомайского района г. Витебска,истечение срока полномочий
Соболева Наталья Васильевна,судья и председатель суда и судья,15.06.2020 № 213,суд Ленинского района г. Гродно,выход в отставку
Станкевич Иосиф Чеславович,судья,15.06.2020 № 213,Минский областной суд,выход в отставку
Ульский Александр Викторович,судья,15.06.2020 № 213,суд Докшицкого района,выход в отставку
Фещенко Надежда Федоровна,судья,15.06.2020 № 213,суд Лельчицкого района,выход в отставку
Фомина Наталья Семеновна,судья,15.06.2020 № 213,суд Фрунзенского района г. Минска ,выход в отставку
Шайн Елена Анатольевна,судья,15.06.2020 № 213,суд Советского района г. Гомеля,по собственному желанию
Шукайло Татьяна Александровна,судья,15.06.2020 № 213,суд Волковысского района,выход в отставку
Бондаренко Сергей Владимирович,судья,04.02.2019 N 38,Минский городской суд,по собственному желанию
Дядичкина Наталья Алексеевна,судья,04.02.2019 N 38,суд Сенненского района,по собственному желанию
Жолнерчик Любовь Васильевна,судья и председатель суда и судья,04.02.2019 N 38,суд Ленинского района г. Гродно,выход в отставку
Казакевич Виталий Григорьевич,судья и председатель суда,04.02.2019 N 38,суд Ошмянского района,истечение срока полномочий
Каропа Сергей Николаевич,судья,04.02.2019 N 38,Гомельский областной суд,выход в отставку
Крайко Валерий Петрович,судья и председатель суда и судья,04.02.2019 N 38,Минский областной суд,выход в отставку
Лучковская Елена Павловна,судья,04.02.2019 N 38,суд Чечерского района,по собственному желанию
Мелешко Александр Иванович,судья,04.02.2019 N 38,экономический суд Могилёвской  области,по собственному желанию
Навитанюк Лариса Ивановна,судья,04.02.2019 N 38,экономический суд Могилёвской  области,выход в отставку
Пискунов Виталий Викторович,судья и председатель суда и судья,04.02.2019 N 38,суд Хотимского района,по собственному желанию
Поляков Игорь Михайлович,заместитель председателя суда и судья,04.02.2019 N 38,суд Оршанского района и г. Орши,выход в отставку
Соловьева Зоя Станиславовна,судья,04.02.2019 N 38,Минский городской суд,выход в отставку
