СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Дроздова Ольга Владимировна,5 лет,25.05.2017 №185,судья,,,,
,,Рахманенко Татьяна Викторовна,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,суд Быховского района,судья,
,,Мазуров Валерий Владимирович,5 лет,15.06.2020 № 213 ,судья и председатель суда,15.06.2020 № 213 ,суд Октябрьского района г. Могилева,судья,
,,,,,,,,,
суд Шкловского района,,Тараканов Александр Николаевич,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,Силивестров Сергей Михайлович,5 лет,22.08.2018  № 348,судья,,,,
,,Баранцева Светлана Николаевна,5 лет,04.02.2019 № 38 ,судья,,,,
,,,,,,,,,
,,,,,,,,,
суд Белыничского района,,Загорская Оксана Владимировна,5 лет,22.08.2018  № 348,судья,,,,
,,Павлова Валентина Амановна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Чаусского района,,Королько Елена Михайловна,бессрочно,06.02.2020 № 41,судья и председатель суда,,,,
,,,,,,,,,
,,,,,,,,,
суд Октябрьского района г. Могилева,,Ларионова Маргарита Сергеевна,5 лет,22.08.2018  № 348,судья,,,,
,,Секретарева Татьяна Анатольевна,5 лет,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Лукашевич Валентина Васильевна,бессрочно,22.12.2015  №510,судья,,,,
,,Михайлова Татьяна Сергеевна,5 лет,06.02.2020 № 42 ,судья,,,,
,,Селедцова Елена Викторовна,5 лет,31.05.2019  № 209,судья и заместитель председателя суда,,,,
,,Шепетова Виктория Владимировна,5 лет,31.05.2019  № 210,судья,20.08.2013 № 364,суд Белыничского района,судья,
,,Готовчик Ольга Валерьевна,5 лет,04.02.2019 № 38,судья,,,,
,,Давыдко Татьяна Викторовна,5 лет,31.05.2019  № 209,судья и заместитель председателя суда,,,,
,,Заричнюк Ольга Владимировна,бессрочно,23.04.2014 № 183,судья,,,,
,,Ковалева Галина Григорьевна,бессрочно,25.05.2017 №185,судья,,,,
,,Иванков Александр Иванович,бессрочно,15.06.2020 № 213 ,судья и председатель суда,,,,
,,Пушкина Жанна Валерьевна,5 лет,15.11.2016 № 419,судья,,,,
,,Ясенко Наталья Михайловна,5 лет,15.11.2016 № 419,судья,,,,
,,Кравченко Ольга Викторовна,5 лет,15.06.2020 № 213 ,судья,,,,
,,,,,,,,,
суд Осиповичского района,,Сивец Светлана Петровна,5 лет,06.02.2020 № 41,судья,,,,
,,Дворецкая Виктория Викторовна,5 лет,27.02.2018 № 88,судья,,суд Осиповичского района,"судья, занимаемая должности в связи с нахождением в соц отпуске Лопатиной Ольги Александровны",
,,Соловьева Елена Владимировна,5 лет,27.02.2018 № 88,судья,,,,
,,Русак Александр Михайлович,бессрочно,20.08.2013 № 364,судья и заместитель председателя суда,,,,
,,Шитина Галина Николаевна,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Хотимского района,,Парфененко Алеся Александровна,5 лет,04.02.2019 № 38,судья,,,,
,,,,,,,,,
