СУД (11 - 9 областных игородской иверховный)),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Марчук Светлана Ивановна,бессрочно,01.08.2016  № 297,судья,,,,
,,Угрин Алексей Сергеевич,5 лет ,01.08.2016  № 297,судья,,,,
,,Добровольский Донат Александрович,5 лет,15.11.2016 № 419,судья,,,,
,,Койро Эрнест Андреевич,5 лет,15.11.2016 № 419,судья,,,,
,,Курадовец Сергей Аркадьевич,5 лет,15.11.2016 № 419,судья,,,,
,,Михайлова Татьяна Владимировна,5 лет,15.11.2016 № 419,судья,,,,
,,Мойсейчик Иван Григорьевич,5 лет,15.11.2016 № 419,судья,,суд Центрального района г. Минска,судья,
,,Мурашкин Игорь Игоревич,5 лет,15.11.2016 № 419,судья,,,,
,,Сосонко Артём Михайлович,5 лет,15.11.2016 № 419,судья,,,,
,,Попко Анастасия Павловна,5 лет,04.02.2019 № 38 ,судья,04.02.2019 № 38 ,суд Первомайского района г. Минска,судья,
,,Русецкий Алексей Павлович,5 лет,31.07.2017 № 268,судья,,,,
,,Филонов Александр Валерьевич,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Октябрьского района г. Минска,,Митрахович Ирина Алексеевна,5 лет ,06.02.2020 № 41,судья,,,,
,,Пучкова Олеся Валерьевна,5 лет ,06.02.2020 № 41,судья,,,,
,,Карнейчик Анастасия Александровна,5 лет ,31.05.2019  № 209,судья,,суд Ленинского района г. Минска,судья,"освободив ее от должности, занимаемой в связи с нахождением в социальном отпуске Шодор Ольги Павловны"
,,Бируля Ольга Анатольевна,5 лет,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Макаревич Светлана Юрьевна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Живица Елена Александровна,5 лет,04.02.2019 № 38 ,судья,,,,
,,Руденко Александр Анатольевич,5 лет ,15.06.2020 № 213,судья и заместитель председателя суда,,суд Заводского района г. Минска,судья,
,,Яворская Наталия Сергеевна,5 лет ,22.08.2018  № 348,судья,,,,
,,Подгородецкая Вероника Геннадьевна,5 лет,22.12.2015  №510,судья,,,,
,,Лапаева Ангелина Дмитриевна,на время нахождения в социальном отпуске Пучковой Олеси Валерьевны,15.10.2020  № 364,судья,,,,
,,Неборская Ольга Сергеевна,5 лет,15.10.2020  № 364,судья,,суд Октябрьского района г. Минска,судья,занимала в связи с нахождением в социальном отпуске Ветлугиной Екатерины Сергеевны
,,Шутько Наталья Андреевна,5 лет,21.04.2016  № 153,судья,,,,
,,Семенов Виталий Сергеевич,5 лет,21.04.2016  № 153,судья,,,,
,,Ветлугина Екатерина Сергеевна,5 лет,21.04.2016  № 153,судья,,,,
,,Лавринович Ольга Анатольевна,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Ленинского района г. Минска,,Шодор Ольга Павловна,5 лет ,06.02.2020 № 41,судья,,,,
,,Бролишс Ирена Язеповна,бессрочно,31.05.2019  № 209,"судья и
заместитель председателя суда ",,,,
,,Денкевич Андрей Казимирович,5 лет,31.05.2019  № 209,судья и председатель суда,,суд Центрального района г. Минска,"заместителя председателя суда
и судья",
,,Кисляк Алексей Игоревич,5 лет,03.10.2019 №366,судья,,,,
,,Запасник Марина Святославовна,5 лет,15.06.2020 № 213,судья и заместитель председателя суда,,,,
,,Щербакова Юлия Александровна,5 лет,22.08.2018  № 348,судья,,суд Ленинского района г. Минска,судья,занимание должности в связи с нахождением в социальном отпуске Громович Марины Валентиновны
,,Ковяко Юлия Владимировна,5 лет,22.12.2015  №510,судья,,,,
,,Кухарева Екатерина Ивановна,5 лет,22.12.2015  №510,судья,,,,
,,Ачалова Анастасия Васильевна,5 лет,15.10.2020  № 364,судья,,,,
,,Громович Марина Валентиновна,5 лет,04.02.2019 № 38 ,судья,,,,
