СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Жечко Павел Николаевич,5 лет,31.07.2017 № 268,судья,31.07.2017 № 268,суд Молодечненского района,судья,
,,Карпейчик Надежда Николаевна,5 лет,15.11.2016 № 419,судья,,,,
,,Киеня Ольга Владимировна,5 лет,15.11.2016 № 419,судья,,,,
,,Конончук Николай Константинович,бессрочно,15.11.2016 № 419,судья и председатель суда,,Минский областной суд,судья,
,,Кропачев Алексей Александрович,5 лет,31.07.2017 № 268,судья,,суд Борисовского района,судья,
,,,,,,,,,
суд Слуцкого района,,Зубарь Людмила Никодимовна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Тарасюк Александр Леонидович,5 лет,22.12.2015  №510,судья,,,,
,,Шутко Александр Александрович,5 лет,14.11.2017  № 406,судья и заместитель председателя суда,,суд Борисовского района,судья,
,,Майхерская Александра Александровна ,5 лет,15.10.2020  № 364,судья,,,,
,,Люцко Татьяна Фёдоровна,5 лет,03.10.2019 №366,судья,,,,
,,Скриган Юрий Валентинович,5 лет,03.10.2019 №366,судья,,,,
,,Павленко Юлия Васильевна,бессрочно,23.04.2014 № 183,судья,,,,
,,Адамицкая Людмила Николаевна,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,судья,судья,
,,Нарута Жанна Анатольевна,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Борисовского района,,Кривело Дмитрий Вадимович,5 лет,06.02.2020 № 41,судья,,,,
,,Барсова Валерия Петровна,5 лет,14.11.2017  № 406,судья,,,,
,,Баранова Светлана Алексеевна,5 лет,22.08.2018  № 348,судья,,,,
,,Павленко Юлия Валерьевна,бессрочно,14.11.2017  № 406,судья и председатель суда,,суд Слуцкого района,заместитель председателя суда,
,,Пасюк Ирина Анатольевна,5 лет,27.02.2018 № 88,судья,,,,
,,Буфтяк Ольга Николаевна,5 лет,03.10.2019 №366,судья,,,,
,,Вусик Наталия Анатольевна,5 лет,31.05.2019  № 209,судья,,,,
,,Курганова Елена Игоревна,5 лет,31.05.2019  № 209,судья,,,,
,,Войтко Инна Михайловна,5 лет,26.05.2017 №185,судья и заместитель председателя суда,,,,
,,Сытько Дмитрий Олегович,5 лет,04.02.2019 № 38,судья,,,,
,,Самусева Светлана Николаевна,бессрочно,21.04.2016  № 153,судья и заместитель председателя суда,,,,
,,Шиман Татьяна Леонидовна,5 лет,15.06.2020 № 213,судья,,,,
,,Деревянко Татьяна Михайловна,5 лет,15.11.2016 № 419,судья,,,,
,,Болотов Алексей Викторович,бессрочно,28.03.2007 № 149,судья,,,,
,,,,,,,,,
,,,,,,,,,
суд Дзержинского района,,Федчук Татьяна Ивановна,5 лет,06.02.2020 № 41,судья,,,,
,,Крупец Сергей Николаевич,5 лет,15.06.2020 № 213 ,судья,,,,
,,Бакунович Ирина Анатольевна,5 лет,03.10.2019 №366,судья,,,,
,,Крылович Роман Вячеславович,бессрочно,23.10. 2014 г. № 502,судья и председатель суда,,,,
,,,,,,,,,
,,,,,,,,,
суд Червенского района,,Тарасик Наталья Владимировна,,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
,,,,,,,,,
суд Солигорского района,,Блоцкий Юрий Михайлович,5 лет,06.02.2020 № 41,судья,,,,
,,Холодок Наталья Аркадьевна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Рябой Валерий Александрович,5 лет,15.06.2020 № 213 ,судья,,,,
,,Лучинович Светлана Валерьевна,5 лет,27.02.2018 № 88,судья,,,,
,,Буравцов Александр Иванович,бессрочно,15.10.2020  № 364,заместитель председателя суда,,,,
,,Зыблюк Оксана Сергеевна,5 лет,15.10.2020  № 364,судья,,,,
,,Сарахман Оксана Дмитриевна,5 лет,15.10.2020  № 364,судья,,суд Логойского района,судья,
,,Горшкова Юлия Вячеславовна,5 лет,03.10.2019 №366,судья,,,,
,,Трофимчук Алла Александровна,бессрочно,04.02.2019 № 38,заместитель председателя суда,,,,
,,Середенко Алеся Михайловна,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Логойского района,,Рыбаков Александр Валерьевич,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Микулич Любовь Сергеевна,5 лет,15.10.2020  № 364,судья,,,,
,,Стреж Эмилия Викторовна,5 лет,01.08.2016 № 297,судья,,суд Вилейского района,судья,
,,,,,,,,,
суд Пуховичского района,,Гаврилюк Надежда Ивановна,5 лет,15.10.2020  № 364,судья,,,,
,,Лиморова Анна Сергеевна,5 лет,15.10.2020  № 364,судья,,,,
,,Василевский Сергей Вячеславович,5 лет,04.02.2019 № 38,судья и председатель суда,20.08.2013 № 364,суд Копыльского района ,судья,
,,Бабук Ольга Владимировна,5 лет,03.10.2019 №366,судья,,,,
,,Макаренко Наталия Викторовна,5 лет,03.10.2019 №366,судья,,,,
,,Бондарь Ирина Аркадьевна,5 лет,25.05.2017 №185,судья и заместитель председателя суда,,,,
,,,,,,,,,
суд Смолевичского района,,Жакевич Марина Феликсовна ,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Борисенко Анастасия Григорьевна,5 лет,27.02.2018 № 88,судья,,,,
,,Бородич Лина Ивановна,5 лет,27.02.2018 № 88,судья,,,,
,,Казловский Александр Евгеньевич,5 лет,04.02.2019 № 38,судья,20.08.2013 № 364,суд Смолевичского района,судья (занимаемая в связи с нахождением в социальном отпуске Яковлевой Людмилы Михайловны),
,,Яковлева Людмила Михайловна,5 лет,21.04.2016  № 153,судья,,,,
,,,,,,,,,
суд Молодечненского района,,Иршин Алексей Валерьевич,5 лет,14.11.2017  № 406,судья,,суд Молодечненского района,"судья, который занимает должность в связи с нахождением в соц отпуске Кохановской Инны Валерьевны",
,,Полещук Виктория Васильевна,5 лет,14.11.2017  № 406,судья,,,,
