СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Мацук Вячеслав Анатольевич,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,Ярмакович Наталья Владимировна,бессрочно,31.05.2019  № 209,заместитель председателя суда,,,,
,,Филатов Максим Юрьевич,5 лет,04.02.2019 № 38,судья и заместитель председателя суда,,,,
,,Федорович Владимир Казимирович,5 лет,25.05.2017 №185,судья,,,,
,,Полякова Наталья Ростиславовна,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Зельвенского района,,Степанова Наталия Викторовна,бессрочно,15.10.2020  № 364,судья,,,,
,,Жук Люция Казимировна,бессрочно,15.10.2020  № 364,судья и председатель суда,,суд Октябрьского района г. Гродно,судья,
,,,,,,,,,
суд Мостовского района,,Ковальчук Ольга Владимировна,5 лет,22.08.2018  № 348,судья,,,,
,,Синило Виталий Викторович,бессрочно,31.12.2013 № 587,судья и председатель суда,,,,
,,Савко Надежда Петровна,5 лет,03.10.2019 № 366,судья,,,,
,,,,,,,,,
суд Свислочского района,,Цыбульский Валерий Светославович,бессрочно,03.10.2019 № 366,судья и председатель суда,,,,
,,Сологубик Жанна Ивановна,бессрочно,09.11.2010 № 576,судья,,,,
,,,,,,,,,
,,,,,,,,,
суд Кореличского района ,,Каско Ирина Васильевна,5 лет,22.08.2018  № 348,судья,,,,
,,Сенько Виктор Антонович,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,,,,,,,,
суд Вороновского района,,Ластовский Иван Стефанович,5 лет,15.10.2020  № 364,судья и председатель суда,,,,
,,Глотько Рита Иосифовну,бессрочно,15.10.2020  № 364,судья,,,,
,,,,,,,,,
суд Слонимского района ,,Онуфреня Оксана Владимировна,5 лет,22.08.2018  № 348,судья,,,,
,,Манько Сергей Александрович,5 лет,15.10.2020  № 364,судья,,суд Ивьевского района,судья,
,,Радионик Наталья Фёдоровна,бессрочно,31.12.2013 № 587,судья и заместитель председателя суда,,,,
,,Дубровский Вадим Игоревич,5 лет,01.08.2016 № 297,судья,,,,
,,Соловей Жанна Ивановна,5 лет,01.08.2016 № 297,судья,,,,
,,Ярмолик Александр Иванович,бессрочно,01.08.2016 № 297,судья и председатель суда,,суд Ивьевского района,судья и председатель суда ,перевод в Слонимский район
,,,,,,,,,
суд Сморгонского района,,Петрова Людмила Григорьевна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Страшкевич Вита Станиславовна,5 лет,15.06.2020 № 213 ,судья,,,,
,,Михневич Людмила Эдвардовна,5 лет,15.10.2020  № 364,судья,,,,
,,Болондь Сергей Чеславович,5 лет,09.03.2017 № 77,судья,,,,
,,Домарад Дмитрий Анатольевич,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Островецкого района,,Боданович Дмитрий Владимирович,5 лет,27.02.2018 № 88,судья,,,,
,,Лабор Светлана Викентьевна ,5 лет,27.02.2018 № 88,судья и председатель суда,,,,
,,,,,,,,,
суд Волковысского района,,Королевич Анна Витольдовна,5 лет,15.10.2020  № 364,судья,,суд Зельвенского района,,
,,"Дивнель Леонард Леонардович",бессрочно,31.12.2013 № 587,судья и заместитель председателя суда,,,,
,,Борейко Валерий Николаевич,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,Ланцевич Светлана Николаевна,бессрочно,13.02.2003 № 69,судья,,,,
,,Талашко Николай Станиславович,бессрочно,14.09.2001 № 504,судья,,,,
,,Якимович Юрий Юрьевич,бессрочно,14.01.2004 № 10,судья,,,,
,,,,,,,,,
суд Ивьевского района,,Радюк Владимир Владимирович,5 лет,15.10.2020  № 364,судья,,суд Октябрьского района г. Гродно,судья,
,,Кохановская Мария Станиславовна,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,,,,,,,,
суд Новогрудского района ,,Тарас Екатерина Фёдоровна,на время нахождения в социальном отпуске Рекун Людмилы Тадеушевны,15.10.2020  № 364,судья,,,,
,,Юрчик Ольга Михайловна,5 лет,31.05.2019  № 209,судья,,,,
,,Кевляк Людмила Тадеушевна,5 лет,04.02.2019 № 38,судья,,,,
,,Олехнович Василий Петрович,бессрочно,09.03.2017 № 77,судья и председатель суда,,,,
,,Волчок Игорь Николаевич,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Берестовицкого района,,Толочко Андрей Валентинович,5 лет,31.05.2019  № 209,судья и председатель суда,,,,
,,,,,,,,,
суд Ошмянского района,,Давыдов Александр Георгиевич,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,"Казакевич Виталий Григорьевич
",бессрочно,04.02.2019 № 38,судья,04.02.2019 N 38,суд Ошмянского района,судья и председатель суда,
,,,,,,,,,
суд Дятловского района,,Семуха Сергей Михайлович,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,Лобан Наталья Евгеньевна,5 лет,04.02.2019 № 38,судья,,,,
