СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Филоник Вера Вячеславовна,5 лет,14.11.2017  № 406,судья,,,,
,,Мохор Михаил Николаевич,бессрочно,15.06.2020 № 213,судья и председатель суда,,Брестский областной суд,судья,
,,Горгадзе Татьяна Анатольевна,5 лет,15.10.2020  № 364,судья,,,,
,,Прокопчук Татьяна Станиславовна ,5 лет,15.10.2020  № 364,судья,,,,
,,Ховалкина Ольга Геннадьевна,5 лет,15.10.2020  № 364,судья,,,,
,,Корогода Алексей Сергеевич,5 лет,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Леванчук Мария Ильинична,бессрочно,22.08.2018  № 348,судья,,,,
,,Бобровский Петр Петрович,бессрочно,04.02.2019 № 38,судья ,,,,
,,Бразинская Анастасия Викторовна,5 лет,15.06.2020 № 213,судья ,,,,
,,Карабан Роман Яковлевич,5 лет,09.03.2017 № 77,судья ,,,,
,,,,,,,,,
,,,,,,,,,
суд Ленинского района г. Бреста,,Калина Святослав Игоревич,5 лет,04.02.2019 № 38,судья,,,,
,,Семенчук Александр Александрович,5 лет,31.05.2019  № 209,судья,,,,
,,Виноградова Алла Алексеевна,5 лет,25.05.2017 № 185,судья,,,,
,,Конючко Андрей Владимирович,5 лет,31.05.2019  № 209,судья,,,,
,,Карпова Елена Юрьевна,5 лет ,22.08.2018  № 348,судья,,,,
,,Куровский Дмитрий Геннадьевич,5 лет,31.05.2019  № 209,судья,,суд Жабинковского района,судья,"занимал в связи с нахождением в
социальном отпуске Рубашевской
Людмилы Николаевны"
,,Ковальчук Елена Степановна,5 лет ,04.02.2019 № 38,судья и заместитель председателя суда,,,,
,,Назаренко Лариса Ивановна,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,Грушко Андрей Вацлавович,5 лет,15.06.2020 № 213,судья и заместитель председателя суда,,,,
,,Шурин Дмитрий Викторович,5 лет,15.06.2020 № 213,,,,,
,,,,,,,,,
суд Каменецкого района,,Левчук Виктория Викторовна,5 лет,15.10.2020  № 364,судья,,,,
,,Шкель Оксана Петровна,5 лет,03.10.2019 № 366,судья и председатель суда,,,,
,,,,,,,,,
суд Барановичского района и г. Барановичи,,Апанович Ольга Викторовна,5 лет,15.06.2020 № 213,судья,,,,
,,Жукова Татьяна Юрьевна,бессрочно,07.05.2015  № 196,судья,,,,
,,Кмит Николай Алексеевич,бессрочно,07.05.2015  № 196,судья,,,,
,,Груда Екатерина Николаевна,5 лет,27.02.2018  № 88,судья,,,,
,,Мартынюк Юрий Валерьевич,5 лет,15.06.2020 № 213,судья и председатель суда,,,,
,,Снежко Светлана Николаевна,бессрочно,27.02.2018  № 88,судья и заместитель председателя суда,,,,
,,Утлик Вера Ивановна,5 лет,27.02.2018  № 88,судья,,,,
,,Романюк Ольга Вячеславовна,5 лет,15.10.2020  № 364,судья,,,,
,,Копач Оксана Александровна,5 лет,25.05.2017 № 185,судья и заместитель председателя суда,,,,
,,Павловская Инна Леонидовна,5 лет,31.05.2019  № 209,судья,,,,
,,Кульбеда Ирина Вячеславовна ,5 лет ,22.08.2018  № 348,судья,,,,
,,Пакунова Виктория Гинтасовна,5 лет,03.10.2019 № 366,судья,,,,
,,Щерба Юлиана Викторовна,5 лет,03.10.2019 № 366,судья,,,,
,,Литвинчик Оксана Васильевна,5 лет,15.11.2016 № 419,судья,,,,
,,Бреган Евгений Анатольевич,5 лет,31.07.2017 № 268,судья,,суд Барановичского района и г. Барановичи,судья,
,,Капачевская Жанна Матвеевна,бессрочно,31.07.2017 № 269,судья,,,,
,,,,,,,,,
суд Ивацевичского района,,Кухоцковолец Сергей Иванович,бессрочно,27.02.2018  № 88,судья,,,,
,,Аврусевич Василий Степанович,бессрочно,15.10.2020  № 364,судья и председатель суда,,,,
,,Подлянец Артем Леонидович,5 лет,15.06.2020 № 213,судья,,,,
,,,,,,,,,
суд Ляховичского района,,Жерко Татьяна Ивановна,5 лет,15.10.2020  № 364,судья и председатель суда,,,,
,,Будник Наалья Викторовна,бессрочно,15.10.2020  № 364,судья,,,,
,,,,,,,,,
суд Брестского района,,Гловацкий Павел Васильевич,5 лет,31.05.2019 № 209,судья,,,,
,,Маручек Сергей Михайлович,5 лет ,22.08.2018  № 348,судья и председатель суда,,суд Малоритского района ,,
,,Ромашко Екатерина Анатольевна ,на время нахождения в социальном отпуске Суходольской Ольги Николаевны,15.10.2020  № 364,судья,,,,
,,Савчук Владимир Владимирович,5 лет,03.10.2019 № 366,судья и заместитель председателя суда,,,,
,,Суходольская Ольга Николаевна,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Малоритского района,,Смирнова Ольга Кононовна,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,Наумович Татьяна Ивановна,5 лет,04.02.2019 № 38,судья,,суд Пинского района и г. Пинска,судья,
