ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Сурма Наталья Михайловна,01-002-03-01,судья,назначен,,бессрочно,
Сурма Наталья Михайловна,01-008-03-01,судья по административным делам,освобожден,,,
Хотько Елена Петровна,01-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Досова Инна Геннадьевна,02-018-03-01,судья,назначен,,бессрочно,
Дроздов Александр Викторович,02-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Дроздов Александр Викторович,02-002-03-02,судья и председатель,освобожден,,,
Карпенко Галина Ивановна,03-011-03-01,судья и председатель,назначен,,бессрочно,
Паремский Ярослав Игоревич,03-002-03-01,судья,назначен,,бессрочно,
Паремский Ярослав Игоревич,03-002-03-04,судья по административным делам,освобожден,,,
Поправкин Андрей Анатольевич,03-002-03-02,судья и председатель,назначен,,бессрочно,
Поправкин Андрей Анатольевич,03-018-03-01,судья и заместитель председателя,освобожден,,,
Шапиро Олег Яковлевич,03-002-03-01,заместитель председателя,назначен,,бессрочно,
Шевцов Сергей Михайлович,03-009-03-01,судья,назначен,,бессрочно,
Шубич Екатерина Аркадьевна,03-004-03-01,судья,назначен,,бессрочно,
Борейко Валерий Николаевич,04-004-03-01,председатель,назначен,,бессрочно,
Семуха Сергей Михайлович,04-006-03-01,председатель,назначен,,бессрочно,
Бородич Лина Ивановна,05-019-03-01,судья,назначен,,бессрочно,
Песецкий Виктор Викторович,05-022-03-01,судья,назначен,,бессрочно,
Песецкий Виктор Викторович,05-007-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Нестеревской Татьяны Сергеевны,,
Климов Алексей Александрович,06-003-03-01,судья,назначен,,бессрочно,
Зябкина Ксения Николаевна,07-007-03-01,судья,назначен,на время нахождения в социальном отпуске Лухверчик Елены Николаевны,на период,
Телица Лидия Федоровна,07-006-03-01,судья,назначен,на время нахождения в социальном отпуске Ревинской Татьяны Владимировны,на период,
Валюженич Игорь Александрович,06-016-03-01,судья,освобожден,по собственному желанию,,
Герасимчик Николай Михайлович,04-011-03-01,судья,освобожден,по состоянию здоровья, препятствующему продолжению работы,,
Гербелев Александр Иванович,06-018-03-01,судья по административным делам,освобожден,истечение пятилетноего срока работы и отказ в назначении судьей бессрочно,,
Ожиганов Вячеслав Васильевич,02-008-03-01,судья и председатель,освобожден,выход в отставку,,
Поддубский Николай Михайлович,05-004-03-01,судья,освобожден,в связи с заключением коллегии о невозможности дальнейшего нахождения на этой должности,,
Половиков Дмитрий Павлович,02-000-03-01,судья,освобожден,выход в отставку,,
Родевич Наталия Александровна,05-006-03-01,судья,освобожден,по собственному желанию,,
