ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Конюк Александр Владимирович,Белорусский военный суд,судья и председатель,назначен,,бессрочно,
Конюк Александр Владимирович,Минский межгарнизонный военный суд,судья и председатель,освобожден,,,
Барышникова Валентина Адамовна,01-018-03-01,судья,назначен,,бессрочно,
Барышникова Валентина Адамовна,01-018-03-01,судья по административным делам,освобожден,,,
Илюшина Светлана Александровна,01-000-03-01,судья,назначен,,бессрочно,
Илюшина Светлана Александровна,01-002-03-01,судья,освобожден,,,
Малейчук Александр Петрович,01-015-03-01,судья,назначен,,бессрочно,
Кораблина Наталья Вячеславовна,02-002-03-03,судья,назначен,,бессрочно,
Кораблина Наталья Вячеславовна,02-008-03-01,судья по административным делам,освобожден,,,
Лещенко Виктория Александровна,02-002-03-02,судья,назначен,,бессрочно,
Новик Алеся Васильевна,02-009-03-01,судья,назначен,,бессрочно,
Смолякова Ирина Васильевна,02-002-03-02,судья,назначен,,бессрочно,
Смолякова Ирина Васильевна,02-023-03-01,судья по административным делам,освобожден,,,
Акулова Татьяна Васильевна,03-015-03-01,судья,назначен,,бессрочно,
Гаращенко Михаил Иванович,03-021-03-01,судья,назначен,,бессрочно,
Доля Николай Иванович,03-018-03-01,судья,назначен,,бессрочно,
Заставнецкая Тамара Николаевна,03-001-03-01,судья,назначен,,бессрочно,
Заставнецкая Тамара Николаевна,03-001-03-01,судья по административным делам,освобожден,,,
Камалыев Артем Сергеевич,03-001-03-01,судья,назначен,,бессрочно,
Пискунов Александр Евгеньевич,03-006-03-01,судья,назначен,,бессрочно,
Прокопенко Владимир Сергеевич,03-004-03-01,судья,назначен,,бессрочно,
Сигай Александр Алексеевич,03-007-03-01,судья,назначен,,бессрочно,
Хорошко Олег Владимирович,03-002-03-02,судья,назначен,,бессрочно,
Хорошко Олег Владимирович,03-002-03-02,судья по административным делам,освобожден,,,
Цалкова Елена Николаевна,03-002-03-03,судья,назначен,на время нахождения в социальном отпуске Сытько Галины Михайловны,на период,
Адамик Дмитрий Сергеевич,04-018-03-01,судья,назначен,,бессрочно,
