ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Гашкова Ольга Валерьевна,05-002-03-02,судья,назначен,,лет,5
Марчук Светлана Ивановна,05-002-03-02,судья,назначен,,бессрочно,
Мурашко Екатерина Николаевна,07-001-03-01,судья,назначен,,лет,5
Угрин Алексей Сергеевич,05-002-03-02,судья,назначен,,лет,5
Некрасова Екатерина Александровна,06-003-03-01,судья,назначен,,лет,5
Некрасова Екатерина Александровна,06-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Шелягиной Марины Витальевны,,
Андросенко Валентина Ивановна,06-012-03-01,председатель,назначен,,бессрочно,
Красутский Артур Анатольевич,06-003-03-01,заместитель председателя,назначен,,бессрочно,
Ляшенко Станислав Владимирович,06-007-03-01,судья,назначен,,лет,5
Долгих Нина Васильевна,06-006-03-01,председатель,назначен,,бессрочно,
Булацкая Алеся Александровна,06-003-03-01,судья,назначен,,лет,5
Тулейко Вячеслав Иванович,05-000-03-01,судья,назначен,,лет,5
Тулейко Вячеслав Иванович,05-022-03-01,судья и председатель,освобожден,,,
Новикова Екатерина Сергеевна,05-001-03-01,судья,назначен,,лет,5
Стреж Эмилия Викторовна,05-012-03-01,судья,назначен,,лет,5
Стреж Эмилия Викторовна,05-006-03-01,судья,освобожден,,,
Шутько Людмила Георгиевна,05-022-03-01,судья и председатель,назначен,,лет,5
Казакевич Юрий Витальевич,04-002-03-01,судья и заместитель председателя,назначен,,бессрочно,
Красуцкий Георгий Вячеславович,05-001-03-01,судья,назначен,на время нахождения в социальном отпуске Новиковой Екатерины Сергеевны,на период,
Герман Наталья Валерьевна,05-014-03-01,судья,назначен,,лет,5
Адамицкая Людмила Николаевна,05-018-03-01,судья,назначен,на время нахождения в социальном отпуске Наруты Жанны Анатольевны,на период,
Дубровский Вадим Игоревич,04-016-03-01,судья,назначен,,лет,5
Соловей Жанна Ивановна,04-016-03-01,судья,назначен,,лет,5
Янковский Владимир Николаевич,04-000-03-01,судья,назначен,,бессрочно,
Янковский Владимир Николаевич,04-002-03-01,судья и заместитель председателя,освобожден,,,
Ярмолик Александр Иванович,04-016-03-01,судья и председатель,назначен,,лет,5
Ярмолик Александр Иванович,04-008-03-01,судья и председатель,освобожден,,,
Сусаренко Алла Леонидовна,03-000-03-02,судья,назначен,,лет,5
Качалова Наталья Сергеевна,03-009-03-01,судья,назначен,,лет,5
Шарец Елена Алексеевна,02-002-03-03,судья,назначен,,бессрочно,
Жарова Ирина Васильевна,02-003-03-01,судья,назначен,,лет,5
Новик Алеся Васильевна,02-011-03-01,судья,назначен,,лет,5
Новик Алеся Васильевна,02-009-03-01,судья,освобожден,,,
Синицкая Елена Алексеевна,02-023-03-01,судья и председатель,назначен,,бессрочно,
Кудласевич Геннадий Иванович,01-009-03-01,судья,назначен,,лет,5
Ковальчук Андрей Викторович,07-000-00-02,судья,назначен,,бессрочно,
Ковальчук Андрей Викторович,04-000-03-01,судья,освобожден,,,
Жерко Татьяна Ивановна,01-013-03-01,судья,назначен,,лет,5
Назаренко Лариса Ивановна,01-002-03-01,заместитель председателя,назначен,,бессрочно,
Савчук Александр Григорьевич,01-000-03-01,судья,назначен,,лет,5
Савчук Александр Григорьевич,01-009-03-01,судья,освобожден,,,
Березкин Василий Михайлович,02-022-03-01,председатель,назначен,,бессрочно,
Калиниченко Снежана Владимировна,02-003-03-01,судья,назначен,на время нахождения в социальном отпуске Балико Ольги Владимировны,на период,
Калиниченко Снежана Владимировна,02-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Жаровой Ирины Васильевны,,
Котова Алеся Анатольевна,02-014-03-01,судья и заместитель председателя,назначен,,лет,5
Лещенко Виктория Александровна,02-002-03-02,судья,назначен,,бессрочно,
Ковалевич Раиса Васильевна,03-001-03-01,председатель,назначен,,бессрочно,
Ананич Татьяна Геннадьевна,06-000-03-02,судья,освобожден,выход в отставку,,
Боричевский Петр Васильевич,01-014-03-01,судья,освобожден,выход в отставку,,
Грушецкий Юрий Казимирович,05-002-03-02,судья,освобожден,в связи с вступлением в силу обвинительного приговора,,
Дулуб Елена Сигитасовна,07-000-00-02,судья,освобожден,выход в отставку,,
Кацура Людмила Васильевна,02-018-03-01,судья,освобожден,выход в отставку,,
Кизевич Татьяна Александровна,05-002-03-02,судья,освобожден,выход в отставку,,
Колесник Александр Алексеевич,04-000-03-01,судья и заместитель председателя,освобожден,выход в отставку,,
Корнева Нина Григорьевна,06-003-03-01,судья,освобожден,выход в отставку,,
Малашенок Ирина Михайловна,06-005-03-01,судья,освобожден,выход в отставку,,
Медведь Михаил Михайлович,04-016-03-01,судья и председатель,освобожден,выход в отставку,,
Мельникова Елена Игнатьевна,05-002-03-02,судья,освобожден,в связи с вступлением в силу обвинительного приговора,,
Новиков Владимир Михайлович,06-000-03-02,судья,освобожден,выход в отставку,,
Самофалов Владимир Николаевич,03-000-03-02,судья,освобожден,выход в отставку,,
Трибуцкий Николай Константинович,03-000-03-02,судья и заместитель председателя,освобожден,по собственному желанию,,
Хованский Александр Францевич,05-001-03-01,судья и председатель,освобожден,в связи с совершением проступка, несовместимого с нахождением на государственной службе,,
Цалко Валерий Николаевич,07-000-00-02,судья,освобожден,выход в отставку,,
Швед Светлана Михайловна,05-002-03-02,судья,освобожден,по собственному желанию,,
Шегеда Наталья Игоревна,06-003-03-01,судья,освобожден,выход в отставку,,
Колесник Александр Алексеевич,04-000-03-01,судья,исключить,состав президиума,,
