ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бычило Андрей Владимирович,01-015-03-01,судья,назначен,,бессрочно,
Минченко Наталья Викторовна,01-005-03-01,судья,назначен,,бессрочно,
Зоткина Оксана Владимировна,01-021-03-01,судья,назначен,на время нахождения в социальном отпуске Братановой Светланы Викторовны,на период,
Конючко Андрей Владимирович,01-002-03-01,судья,назначен,,лет,5
Мозоль Вадим Иванович,01-005-03-01,судья и председатель,назначен,,лет,5
Павловская Инна Леонидовна,01-003-03-01,судья,назначен,,лет,5
Снежко Светлана Николаевна,01-003-03-01,судья,назначен,,бессрочно,
Верташонок Елена Эдуардовна,02-003-03-01,судья,назначен,,лет,5
Гребенчук Елена Николаевна,02-002-03-01,судья,назначен,,бессрочно,
Мартиросян Эдгар Вячеславович,02-000-03-01,судья,назначен,,лет,5
Морозова Елена Кирилловна,02-017-03-01,судья,назначен,,бессрочно,
Никитина Валентина Леонидовн,02-011-03-01,судья,назначен,,бессрочно,
Янюк Виталий Федорович,02-003-03-01,судья,назначен,,лет,5
Яскевич Ирина Вячеславовна,02-006-03-01,судья,назначен,,лет,5
Андрейчик Жанна Петровна,03-000-03-01,судья,назначен,,лет,5
Андрейчик Жанна Петровна,03-002-03-04,судья,освобожден,,
Аношко Александр Александрович,03-008-03-01,судья,назначен,,бессрочно,
Богданик Андрей Григорьевич,03-017-03-01,судья,назначен,,лет,5
Козлова Ольга Викторовна,03-002-03-04,судья,назначен,,лет,5
Козлова Ольга Викторовна,03-018-03-01,судья,освобожден,,
Целуйко Андрей Николаевич,03-002-03-04,судья,назначен,,лет,5
Шевель Геннадий Владимирович,03-017-03-01,судья и председатель,назначен,,лет,5
Барцевич Зинаида Ивановна,04-002-03-02,судья и председатель,назначен,,бессрочно,
Барцевич Зинаида Ивановна,04-002-03-02,заместитель председателя,освобожден,,,
Веленто Валерий Иванович,04-010-03-01,судья,назначен,,лет,5
Кедаль Дмитрий Иванович,04-002-03-02,судья и заместитель председателя,назначен,,лет,5
Корзун Александр Анатольевич,04-000-03-01,заместитель председателя,назначен,,бессрочно,
Леусик Анна Борисовна,04-001-03-01,судья,назначен,,лет,5
Романишко Денис Сергеевич,04-002-03-02,судья,назначен,,лет,5
Стасюкевич Ксения Степановна,04-002-03-01,судья,назначен,,лет,5
Толочко Андрей Валентинович,04-003-03-01,судья и председатель,назначен,,лет,5
Толстик-Самойло Елена Александровна,04-002-03-02,судья,назначен,,лет,5
Юрчик Ольга Михайловна,04-012-03-01,судья,назначен,,лет,5
Ярмолик Александр Иванович,04-008-03-01,судья,назначен,,лет,5
Бабук Ольга Владимировна,05-017-03-01,судья и заместитель председателя,назначен,,лет,5
Борис Татьяна Викторовна,05-006-03-01,судья и председатель,назначен,,лет,5
Дударчик Елена Владимировна,05-014-03-01,председатель,назначен,,бессрочно,
Дударчик Елена Владимировна,05-014-03-01,заместитель председателя,освобожден,,,
Епихов Сергей Александрович,05-000-03-01,судья,назначен,,бессрочно,
Епихов Сергей Александрович,05-006-03-01,судья и председатель,освобожден,,,
Зык Наталья Александровна,05-021-03-01,судья и председатель,назначен,,лет,5
Король Николай Вячеславович,05-004-03-01,председатель,назначен,,бессрочно,
Курганова Елена Игоревна,05-005-03-01,судья,назначен,,лет,5
Майко Ирина Леонидовна,05-000-03-01,судья,назначен,,лет,5
Майко Ирина Леонидовна,05-001-03-01,судья,освобожден,,,
