ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Кременевская Светлана Борисовна,01-000-03-01,судья,назначен,,бессрочно,
Сенько Николай Алексеевич,01-000-03-01,судья,назначен,,бессрочно,
Сенько Николай Алексеевич,01-000-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Панасюк Татьяны Сергеевны,,
Гловацкий Павел Васильевич,01-001-03-01,судья,назначен,,лет,5
Калина Святослав Игоревич,01-002-03-01,судья,назначен,на время нахождения в социальном отпуске Денисенко Елены Геннадьевны,на период,
Свитин Дмитрий Владимирович,01-015-03-01,судья,назначен,,лет,5
Семенчук Александр Александрович,01-002-03-01,судья,назначен,,лет,5
Щерба Юлиана Викторовна,01-003-03-01,судья,назначен,,лет,5
Абрамова Светлана Анатольевна,02-002-03-03,судья,назначен,,лет,5
Алексеева Оксана Николаевна,02-015-03-01,судья,назначен,,лет,5
Гавро Светлана Владимировна,02-003-03-01,судья,назначен,,лет,5
Дранькова Олеся Анатольевна,02-014-03-01,судья,назначен,,лет,5
Закревская Ирина Олеговна,02-002-03-02,судья,назначен,,лет,5
Киндеева Снежана Александровна,02-012-03-01,судья,назначен,,лет,5
Колосовская Юлия Михайловна,02-015-03-01,судья,назначен,,лет,5
Парохонько Наталья Васильевна,02-014-03-01,судья,назначен,,лет,5
Плакса Зузанна Ивановна,02-015-03-01,заместитель председателя,назначен,,бессрочно,
Савицкая Елена Николаевна,02-002-03-03,судья,назначен,,лет,5
Савицкая Елена Николаевна,02-002-03-03,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Абрамовой Светланы Анатольевны,,
Санкович Наталия Сергеевна,02-015-03-01,судья,назначен,,лет,5
Серговицкая Юлия Валерьевна,02-014-03-01,судья,назначен,,лет,5
Сивец Светлана Петровна,02-018-03-01,судья,назначен,на время нахождения в социальном отпуске Дядичкиной Натальи Алексеевны,на период,
Третьякова Наталья Михайловна,02-001-03-01,судья,назначен,,лет,5
Тур Ольга Николаевна,02-000-03-02,судья,назначен,,бессрочно,
Хилькевич Наталья Фёдоровна,02-000-03-01,судья,назначен,,бессрочно,
Аземша Татьяна Яковлевна,03-000-03-01,судья,назначен,,на период,
Аземша Татьяна Яковлевна,03-002-03-01,судья,освобожден,,,
Белоусова Ольга Николаевна,03-002-03-03,судья,назначен,,лет,5
Белоусова Ольга Николаевна,03-014-03-01,судья,освобожден,,,
Волошиненко Юрий Георгиевич,03-002-03-03,судья,назначен,,лет,5
Воронина Наталья Владимировна,03-009-03-01,судья,назначен,,лет,5
Гулевич Галина Николаевна,03-014-03-01,судья,назначен,,лет,5
Ермоленко Элеонора Леонидовна,03-014-03-01,судья и заместитель председателя,назначен,,лет,5
Кардаш Андрей Геннадьевич,03-021-03-01,судья,назначен,,лет,5 
