ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Григорович Алла Славомировна,07-000-00-02,судья,назначен,,бессрочно,
Григорович Алла Славомировна,05-002-03-02,судья,освобожден,,
Безручко Сергей Сергеевич,01-015-03-01,судья,назначен,,бессрочно,
Березюк Сергей Александрович,01-000-03-01,судья,назначен,,лет,5
Житко Игорь Анатольевич,01-017-03-01,судья,назначен,,лет,5
Корец Иван Степанович,01-015-03-01,судья,назначен,,лет,5
Миселюк Валентин Михайлович,01-000-03-02,судья,назначен,,лет,5
Прихожко Галина Степановна,01-011-03-01,председатель,назначен,,бессрочно,
Шкель Оксана Петровна,01-011-03-01,судья,назначен,,лет,5
Будревич Сергей Валерьевич,02-002-03-02,судья,назначен,,лет,5
Бурунов Евгений Илларионович,02-002-03-02,судья,назначен,,бессрочно,
Гуреев Анатолий Валерьевич,02-000-03-02,судья,назначен,,лет,5
Зубеня Михаил Николаевич,02-001-03-01,судья,назначен,,бессрочно,
Каретникова Антонина Ивановна,02-014-03-01,председатель,назначен,,бессрочно,
Конащенко Людмила Михайловна,02-014-03-01,судья,назначен,,лет,5
Лупенкова Раиса Кондратьевна,02-002-03-01,председатель,назначен,,бессрочно,
Дичковская Елена Григорьевна,03-002-03-03,судья и заместитель председателя,назначен,,лет,5
Доля Николай Иванович,03-000-03-01,судья,назначен,,лет,5
Доля Николай Иванович,03-018-03-01,судья,освобожден,,,
Егорова Снежана Алексеевна,03-000-03-01,судья,назначен,,лет,5
Егорова Снежана Алексеевна,03-001-03-01,судья,освобожден,,,
Иванютенко Станислав Владимирович,03-018-03-01,судья,назначен,,лет,5
Камалыев Артем Сергеевич,03-018-03-01,председатель,назначен,,бессрочно,
Ковбеня Виталий Александрович,03-002-03-03,судья,назначен,,лет,5
Корнеевец Евгений Сергеевич,03-017-03-01,судья,назначен,,лет,5
Лисовский Александр Венедиктович,03-001-03-01,судья и заместитель председателя,назначен,,лет,5
Надточей Марина Владимировна,03-000-03-01,заместитель председателя,назначен,,бессрочно,
Осипова Олеся Владимировна,03-002-03-04,судья,назначен,,лет,5
Порядина Анастасия Викторовна,03-002-03-03,судья,назначен,,лет,5
Порядина Анастасия Викторовна,03-014-03-01,судья,освобожден,,,
Сотников Анатолий Григорьевич,03-000-03-01,судья,назначен,,лет,5
Сотников Анатолий Григорьевич,03-002-03-01,судья,освобожден,,,
Трибуцкий Николай Константинович,03-000-03-02,заместитель председателя,назначен,,бессрочно,
Федосова Ольга Сергеевна,03-001-03-01,судья,назначен,,лет,5
Федосова Ольга Сергеевна,03-013-03-01,судья,освобожден,,,
Хлыщенков Алексей Анатольевич,03-002-03-01,судья,назначен,,лет,5
Мацук Вячеслав Анатольевич,04-010-03-01,заместитель председателя,назначен,,бессрочно,
Вердыш Валентин Алексеевич,05-000-03-01,заместитель председателя,назначен,,бессрочно,
Дыль Олеся Валерьевна,05-000-03-02,судья,назначен,,лет,5
