id,parent_id,code,type,name,description,location,latitude,longitude
5535,5522,101/13,2,Участок для голосования №350,"ГУО ""Средняя школа №23 г.Минска""","г.Минск, ул.П.Панченко, 56",53.8894,27.4175
5536,5522,101/14,2,Участок для голосования №351,"ГУО ""Средняя школа №23 г.Минска""","г.Минск, ул.П.Панченко, 56",53.8894,27.4175
5537,5522,101/15,2,Участок для голосования №352,"государственное учреждение ""Минский р-нный центр культуры""","г.Минск, ул.Академика Вышелесского, 4",53.9055,27.417
5538,5522,101/16,2,Участок для голосования №353,"ГУО ""Гимназия №31 г.Минска""","г.Минск, ул.Мазурова, 6",53.8968,27.4279
5539,5522,101/17,2,Участок для голосования №354,"ГУО ""Гимназия №31 г.Минска""","г.Минск, ул.Мазурова, 6",53.8968,27.4279
5540,5522,101/18,2,Участок для голосования №355,"ГУО ""Гимназия №31 г.Минска""","г.Минск, ул.Мазурова, 6",53.8968,27.4279
5541,5522,101/19,2,Участок для голосования №356,"ГУО ""Средняя школа №12 г.Минска""","г.Минск, ул.Скрипникова, 38",53.8986,27.4273
5542,5522,101/20,2,Участок для голосования №357,"ГУО ""Средняя школа №12 г.Минска""","г.Минск, ул.Скрипникова, 38",53.8986,27.4273
5543,5522,101/21,2,Участок для голосования №358,"ГУО ""Гимназия №43 г.Минска""","г.Минск, ул.Казимировская, 5",53.9153,27.4325
5544,5522,101/22,2,Участок для голосования №359,"ГУО ""Гимназия №43 г.Минска""","г.Минск, ул.Казимировская, 5",53.9153,27.4325
5545,5522,101/23,2,Участок для голосования №360,"ГУО ""Средняя школа №42 г.Минска""","г.Минск, ул.Неманская, 7",53.911,27.4208
5546,5522,101/24,2,Участок для голосования №361,"ГУО ""Средняя школа №42 г.Минска""","г.Минск, ул.Неманская, 7",53.911,27.4208
5547,5522,101/25,2,Участок для голосования №362,"ГУО ""Средняя школа №56 г.Минска""","г.Минск, ул.Каменногорская, 70",53.9255,27.4252
5548,5522,101/26,2,Участок для голосования №363,"ГУО ""Средняя школа №56 г.Минска""","г.Минск, ул.Каменногорская, 70",53.9255,27.4252
5549,5522,101/27,2,Участок для голосования №364,"ГУО ""Средняя школа №56 г.Минска""","г.Минск, ул.Каменногорская, 70",53.9255,27.4252
5550,5522,101/28,2,Участок для голосования №365,"ГУО ""Средняя школа №59 г.Минска""","г.Минск, ул.Лидская, 8",53.9234,27.435
5551,5522,101/29,2,Участок для голосования №366,"ГУО ""Средняя школа №59 г.Минска""","г.Минск, ул.Лидская, 8",53.9234,27.435
5552,5522,101/30,2,Участок для голосования №367,"ГУО ""Средняя школа №59 г.Минска""","г.Минск, ул.Лидская, 8",53.9234,27.435
5553,10000,102,1,ОИК 102,каб.508,"г.Минск, ул.Кальварийская, 39",53.9082047,27.5090817
5554,5553,102/1,2,Участок для голосования №368,"ГУО ""Центр коррекционно-развивающего обучения и реабилитации №2 Фрунзенского района г.Минска""","г.Минск, ул.Лынькова, 39",53.9294,27.4776
5555,5553,102/2,2,Участок для голосования №369,"ГУО ""Центр коррекционно-развивающего обучения и реабилитации №2 Фрунзенского района г.Минска""","г.Минск, ул.Лынькова, 39",53.9294,27.4776
5556,5553,102/3,2,Участок для голосования №370,"ГУО ""Средняя школа №41 г.Минска""","г.Минск, ул.Алеся Гаруна, 5",53.9196,27.4456
5557,5553,102/4,2,Участок для голосования №371,"ГУО ""Средняя школа №41 г.Минска""","г.Минск, ул.Алеся Гаруна, 5",53.9196,27.4456
5558,5553,102/5,2,Участок для голосования №372,"ГУО ""Средняя школа №49 г.Минска""","г.Минск, ул.Колесникова, 14",53.9191,27.4412
5559,5553,102/6,2,Участок для голосования №373,"ГУО ""Средняя школа №49 г.Минска""","г.Минск, ул.Колесникова, 14",53.9191,27.4412
5560,5553,102/7,2,Участок для голосования №374,"ГУО ""Средняя школа №201 г.Минска""","г.Минск, ул.Кунцевщина, 20",53.9128,27.4428
5561,5553,102/8,2,Участок для голосования №375,"ГУО ""Средняя школа №201 г.Минска""","г.Минск, ул.Кунцевщина, 20",53.9128,27.4428
5562,5553,102/9,2,Участок для голосования №376,"ГУО ""Средняя школа №201 г.Минска""","г.Минск, ул.Кунцевщина, 20",53.9128,27.4428
5563,5553,102/10,2,Участок для голосования №377,"ГУО ""Гимназия №4 г.Минска""","г.Минск, ул.Кунцевщина, 18",53.912781,27.444879
5564,5553,102/11,2,Участок для голосования №378,"ГУО ""Гимназия №4 г.Минска""","г.Минск, ул.Кунцевщина, 18",53.912781,27.444879
5565,5553,102/12,2,Участок для голосования №379,"ГУО ""Гимназия №4 г.Минска""","г.Минск, ул.Кунцевщина, 18",53.912781,27.444879
5566,5553,102/13,2,Участок для голосования №380,"ГУО ""Средняя школа №179 г.Минска""","г.Минск, ул.Лещинского, 21",53.9112,27.4474
5567,5553,102/14,2,Участок для голосования №381,"ГУО ""Средняя школа №179 г.Минска""","г.Минск, ул.Лещинского, 21",53.9112,27.4474
5568,5553,102/15,2,Участок для голосования №382,"ГУО ""Гимназия №39 г.Минска""","г.Минск, ул.Кунцевщина, 10",53.911,27.4402
5569,5553,102/16,2,Участок для голосования №383,"ГУО ""Гимназия №39 г.Минска""","г.Минск, ул.Кунцевщина, 10",53.911,27.4402
5570,5553,102/17,2,Участок для голосования №384,"ГУО ""Гимназия №39 г.Минска""","г.Минск, ул.Кунцевщина, 10",53.911,27.4402
5571,5553,102/18,2,Участок для голосования №385,"ГУО ""Средняя школа №185 г.Минска""","г.Минск, ул.Притыцкого, 88",53.9093,27.4472
5572,5553,102/19,2,Участок для голосования №386,"ГУО ""Средняя школа №185 г.Минска""","г.Минск, ул.Притыцкого, 88",53.9093,27.4472
5573,5553,102/20,2,Участок для голосования №387,"ГУО ""Средняя школа №157 г.Минска им.Алексея Семеновича Бурдейного""","г.Минск, ул.Бурдейного, 29",53.9022,27.4468
5574,5553,102/21,2,Участок для голосования №388,"ГУО ""Средняя школа №157 г.Минска им.Алексея Семеновича Бурдейного""","г.Минск, ул.Бурдейного, 29",53.9022,27.4468
5575,5553,102/22,2,Участок для голосования №389,"ГУО ""Средняя школа №159 г.Минска""","г.Минск, ул.Одинцова, 30",53.9013,27.4413
5576,5553,102/23,2,Участок для голосования №390,"ГУО ""Средняя школа №159 г.Минска""","г.Минск, ул.Одинцова, 30",53.9013,27.4413
5577,5553,102/24,2,Участок для голосования №391,"ГУО ""Средняя школа №159 г.Минска""","г.Минск, ул.Одинцова, 30",53.9013,27.4413
5578,5553,102/25,2,Участок для голосования №392,"ГУО ""Гимназия №20 г.Минска""","г.Минск, ул.Одинцова, 89",53.8961,27.4408
5579,5553,102/26,2,Участок для голосования №393,"ГУО ""Гимназия №20 г.Минска""","г.Минск, ул.Одинцова, 89",53.8961,27.4408
5580,5553,102/27,2,Участок для голосования №394,"ГУО ""Гимназия №20 г.Минска""","г.Минск, ул.Одинцова, 89",53.8961,27.4408
5581,5553,102/28,2,Участок для голосования №395,"ГУО ""Гимназия №13 г.Минска""","г.Минск, ул.Одинцова, 32",53.9018,27.44
5582,5553,102/29,2,Участок для голосования №396,"ГУО ""Гимназия №13 г.Минска""","г.Минск, ул.Одинцова, 32",53.9018,27.44
5583,5553,102/30,2,Участок для голосования №397,"ГУО ""Средняя школа №167 г.Минска""","г.Минск, ул.Якубовского, 46",53.8953,27.4466
5584,5553,102/31,2,Участок для голосования №398,"ГУО ""Средняя школа №167 г.Минска""","г.Минск, ул.Якубовского, 46",53.8953,27.4466
5585,5553,102/32,2,Участок для голосования №399,"ГУО ""Средняя школа №167 г.Минска""","г.Минск, ул.Якубовского, 46",53.8953,27.4466
5586,10000,103,1,ОИК 103,каб.512,"г.Минск, ул.Кальварийская, 39",53.9082047,27.5090817
5587,5586,103/1,2,Участок для голосования №400,"ГУО ""Гимназия №33 г.Минска""","г.Минск, ул.Шаранговича, 42",53.8846,27.442
5588,5586,103/2,2,Участок для голосования №401,"ГУО ""Гимназия №33 г.Минска""","г.Минск, ул.Шаранговича, 42",53.8846,27.442
5589,5586,103/3,2,Участок для голосования №402,"ГУО ""Гимназия №33 г.Минска""","г.Минск, ул.Шаранговича, 42",53.8846,27.442
5590,5586,103/4,2,Участок для голосования №403,"ГУО ""Средняя школа №6 г.Минска""","г.Минск, ул.Янковского, 23",53.8805,27.445
5591,5586,103/5,2,Участок для голосования №404,"ГУО ""Средняя школа №6 г.Минска""","г.Минск, ул.Янковского, 23",53.8805,27.445
5592,5586,103/6,2,Участок для голосования №405,"ГУО ""Средняя школа №2 г.Минска""","г.Минск, ул.Ю.Семеняко, 38",53.8748,27.4524
