ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Голубович Евгений Леонидович,Гродненский межгарнизонный военный суд,судья,назначен,,лет,5
Карпук Андрей Юрьевич,Минский межгарнизонный военный суд,судья,назначен,,лет,5
Панада Александр Петрович,Белорусский военный суд,судья,назначен,,бессрочно,
Панада Александр Петрович,Брестский межгарнизонный военный суд,судья,освобожден,,,
Тимофеевич Валерий Иванович,Гродненский межгарнизонный военный суд,председатель,назначен,,бессрочно,
Зданович Вадим Святославович,01-012-03-01,судья,назначен,,лет,5
Кухоцвольц Сергей Иванович,01-010-03-01,судья,назначен,,лет,5
Савчук Владимир Владимирович,01-017-03-01,судья и председатель,назначен,,бессрочно,
Савчук Владимир Владимирович,01-012-03-01,судья,освобожден,,,
Стасевич Николай Владимирович,01-009-03-01,судья и председатель,назначен,,бессрочно,
Стасевич Николай Владимирович,01-015-03-01,судья,освобожден,,,
Шоломицкий Владимир Алексеевич,01-001-03-01,председатель,назначен,,бессрочно,
Бирюк Зинаида Ивановна,02-000-03-01,заместитель председателя,назначен,,бессрочно,
Колесник Игорь Викторович,02-015-03-01,судья и председатель,назначен,,лет,5
Колесник Игорь Викторович,02-014-03-01,судья,освобожден,,,
Поляков Игорь Михайлович,02-014-03-01,судья,назначен,,лет,5
Степанов Владимир Анатольевич,02-015-03-01,судья,назначен,,лет,5
Шкель Татьяна Владимировна,02-019-03-01,председатель,назначен,,бессрочно,
Бакунов Николай Николаевич,03-009-03-01,судья,назначен,,лет,5
Белойчук Наталья Николаевна,03-020-03-01,председатель,назначен,,бессрочно,
Белойчук Наталья Николаевна,03-020-03-01,заместитель председателя,освобожден,,,
Глюза Анатолий Валентинович,03-008-03-01,председатель,назначен,,бессрочно,
Жоров Юрий Владимирович,03-002-03-03,заместитель председателя,назначен,,бессрочно,
Крикун Юрий Васильевич,03-013-03-01,председатель,назначен,,бессрочно,
Прадун Ирина Васильевна,03-013-03-01,судья,назначен,,лет,5
Сильченко Инна Владимировна,03-011-03-01,судья,назначен,,лет,5
Сытько Галина Михайловна,03-002-03-03,судья,назначен,,лет,5
Шитиков Сергей Алексеевич,03-002-03-04,судья,назначен,,лет,5
Шубич Екатерина Аркадьевна,03-004-03-01,председатель,назначен,,бессрочно,
Антошук Иван Маркович,03-014-03-01,судья и заместитель председателя,назначен,,бессрочно,
Антошук Иван Маркович,суд Мозырьского района и г.Мозыря,судья и заместитель председателя,освобожден,,,
Асадчая Наталья Викторовна,03-014-03-01,судья,назначен,,бессрочно,
Асадчая Наталья Викторовна,суд Мозырьского района и г.Мозыря,судья,освобожден,,,
Белорусов Владимир Николаевич,03-014-03-01,судья,назначен,,бессрочно,
Белорусов Владимир Николаевич,суд Мозырьского района и г.Мозыря,судья,освобожден,,,
Верига Ирина Васильевна,03-014-03-01,судья и председатель,назначен,,бессрочно,
Верига Ирина Васильевна,суд Мозырьского района и г.Мозыря,судья и председатель,освобожден,,,
Горелов Николай Витальевич,03-014-03-01,судья,назначен,,бессрочно,
Горелов Николай Витальевич,суд Мозырьского района и г.Мозыря,судья,освобожден,,,
Ермоленко Элеонора Леонидовна,03-014-03-01,судья,назначен,,лет,5
