ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Чижов Андрей Вячеславович,Витебский межгарнизонный военный суд,судья и председатель,назначен,,бессрочно,
Чижов Андрей Вячеславович,Бобруйский межгарнизонный военный суд,судья,освобожден,,,
Немкова Елена Александровна,01-005-03-01,судья,назначен,,бессрочно,
Немкова Елена Александровна,01-005-03-01,судья по административным делам,освобожден,,,
Синегуб Александр Сидорович,01-000-03-01,судья,назначен,,бессрочно,
Ващенко Людмила Степановна,02-007-03-01,судья,назначен,,бессрочно,
Лакетко Тамара Павловна,02-008-03-01,судья,назначен,,бессрочно,
Спирченок Сергей Александрович,02-020-03-01,председатель,назначен,,бессрочно,
Бегун Василий Васильевич,03-001-03-01,судья,назначен,,бессрочно,
Семуха Сергей Михайлович,04-006-03-01,судья,назначен,,бессрочно,
Сергейко Николай Александрович,04-002-03-01,судья,назначен,,бессрочно,
Щиглинский Юрий Иванович,04-002-03-01,судья,назначен,,бессрочно,
Бурак Сергей Сергеевич,05-019-03-01,судья,назначен,,бессрочно,
Григорович Алла Славомировна,05-006-03-01,судья,назначен,,бессрочно,
Тарасик Наталья Владимировна,05-024-03-01,судья,назначен,,бессрочно,
Браусов Михаил Григорьевич,06-014-03-01,судья,назначен,,бессрочно,
Буряко Светлана Викторовна,суд Центрального района г.Могилева,судья,назначен,,бессрочно,
Луканский Арнольд Анатольевич,суд Первомайского района г.Бобруйска,судья,назначен,,бессрочно,
Смолко Татьяна Михайловна,06-013-03-01,судья,назначен,,бессрочно,
Титкова Татьяна Васильевна,суд Ленинского района г.Бобруйска,судья,назначен,,бессрочно,
Тишкин Игорь Владимирович,06-010-03-01,судья,назначен,,бессрочно,
Чайков Александр Михайлович,06-005-03-01,судья,назначен,,бессрочно,
Юрченко Андрей Александрович,суд Центрального района г.Могилева,судья,назначен,,бессрочно,
Каляда Олег Петрович,07-001-03-01,судья,назначен,,бессрочно,
Колубако Петр Петрович,07-008-03-01,судья,назначен,,бессрочно,
Крот Игорь Владимирович,05-002-03-01,судья,назначен,,бессрочно,
Лукьянчик Татьяна Владимировна,07-006-03-01,судья,назначен,,бессрочно,
Реутская Надежда Заловна,07-003-03-01,судья по административным делам,назначен,,бессрочно,











