ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Кмита Николай Алексеевич,01-003-03-01,судья и председатель,назначен,,бессрочно,
Кмита Николай Алексеевич,01-013-03-01,судья и председатель,освобожден,,,
Новик Виктор Викторович,01-008-03-01,судья,назначен,,бессрочно,
Синицкая Елена Павловна,01-021-03-01,судья,назначен,,бессрочно,
Слюсарь Светлана Борисовна,01-002-03-02,судья,назначен,,бессрочно,
Труханович Леонид Дмитриевич,01-005-03-01,судья и председатель,назначен,,бессрочно,
Янчук Юрий Павлович,01-010-03-01,судья,назначен,,бессрочно,
Крючков Валентин Михайлович,03-002-03-02,судья,назначен,,бессрочно,
Кугейко Светлана Борисовна,03-010-03-01,судья,назначен,,бессрочно,
Кулькова Таисья Дмитриевна,03-018-03-01,судья и председатель,назначен,,бессрочно,
Кулькова Таисья Дмитриевна,03-018-03-01,судья и председатель,освобожден,,,
Малашкевич Ирина Михайловна,03-019-03-01,судья,назначен,,бессрочно,
Одрибец Татьяна Ильинична,03-002-03-01,судья,назначен,,бессрочно,
Королевич Анна Витольдовна,04-007-03-01,судья,назначен,,бессрочно,
Сологубик Жанна Ивановна,04-015-03-01,председатель,назначен,,бессрочно,
Кульбицкая Анастасия Евгеньевна,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Нестеревская Татьяна Сергеевна,05-007-03-01,судья,назначен,,бессрочно,
Нестеревская Татьяна Сергеевна,05-007-03-01,судья по административным делам,освобожден,,,
Прокопович Ольга Ивановна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Гудыно Дмитрий Юрьевич,06-005-03-01,судья,назначен,,бессрочно,
Гудыно Дмитрий Юрьевич,06-005-03-01,судья по административным делам,освобожден,,,
Жандаров Владимир Всеволодович,06-010-03-01,судья,назначен,,бессрочно,
Жандаров Владимир Всеволодович,06-014-03-01,судья по административным делам,освобожден,,,
Королько Елена Михайловна,06-020-03-01,судья,назначен,,бессрочно,
Павлова Валентина Амановна,06-018-03-01,судья и председатель,назначен,,бессрочно,
Павлова Валентина Амановна,06-005-03-01,судья,освобожден,,,
Полуян Ольга Владимировна,06-020-03-01,председатель,назначен,,бессрочно,
Красовская Зинаида Владимировна,07-002-03-01,судья,назначен,,бессрочно,



























Кугейко Светлана Борисовна,03-010-03-01,судья,назначен,,бессрочно,
