ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Голубович Евгений Леонидович,Гродненский межгарнизонный военный суд,судья,назначен,,лет,5
Дубай Светлана Ивановна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Дубай Светлана Ивановна,хозяйственный суд Гродненской области,судья,освобожден,,,
Карпук Андрей Юрьевич,Минский межгарнизонный военный суд,судья,назначен,,лет,5
Тимофеевич Валерий Иванович,Гродненский межгарнизонный военный суд,председатель,назначен,,бессрочно,
Андрейчук Николай Константинович,01-001-03-01,судья и председатель,назначен,,бессрочно,
Груда Екатерина Николаевна,01-003-03-01,судья,назначен,,лет,5
Зданович Вадим Святославович,01-012-03-01,судья,назначен,,лет,5
Кухоцковолец Сергей Иванович,01-010-03-01,судья,назначен,,лет,5
Савчук Владимир Владимирович,01-017-03-01,председатель,назначен,,бессрочно,
Сенько Николай Алексеевич,01-000-03-01,судья,назначен,на время нахождения в социальном отпуске Панасюк Татьяны Сергеевны,на период,
Сенько Николай Алексеевич,01-001-03-01,судья,освобожден,,,
Утлик Вера Ивановна,01-003-03-01,судья,назначен,,лет,5
Бирюк Зинаиду Ивановна,02-000-03-01,заместитель председателя,назначен,,бессрочно,
Бурунов Евгений Илларионович,02-002-03-02,председатель,назначен,,бессрочно,
Колесник Игорь Викторович,02-015-03-01,судья и председатель,назначен,,бессрочно,
Поляков Игорь Михайлович,02-014-03-01,судья,назначен,,бессрочно,
Шкель Татьяна Владимировна,02-019-03-01,председатель,назначен,,бессрочно,
Домасевич Марина Георгиевна,03-019-03-01,председатель,назначен,,бессрочно,
Домасевич Марина Георгиевна,03-019-03-01,заместитель председателя,освобожден,,,
Жоров Юрий Владимирович,03-002-03-03,заместитель председателя,назначен,,бессрочно,
Зыль Ирина Николаевна,03-019-03-01,заместитель председателя,назначен,,бессрочно,
Козлов Дмитрий Петрович,03-002-03-02,судья,назначен,,лет,5
Крайников Александр Николаевич,03-019-03-01,судья,назначен,,лет,5
Лупиченко Светлана Владимировна,03-004-03-01,судья,назначен,,лет,5
Пискунов Александр Евгеньевич,03-002-03-03,судья,назначен,,бессрочно,
Пискунов Александр Евгеньевич,03-005-03-01,судья,освобожден,,,
Сытько Галина Михайловна,03-002-03-03,судья,назначен,,бессрочно,
Царук Руслан Витальевич,03-020-03-01,судья,назначен,,лет,5
Королевич Анна Витольдовна,04-007-03-01,судья,назначен,,лет,5
Синило Виталий Викторович,04-011-03-01,судья,назначен,,бессрочно,
Ситько Александр Михайлович,04-002-03-02,заместитель председателя,назначен,,бессрочно,
Вердыш Валентин Алексеевич,05-000-03-01,судья,назначен,,бессрочно,
Вердыш Валентин Алексеевич,05-018-03-01,судья и председатель,,освобожден,
Козлов Евгений Викторович,05-000-03-01,судья,назначен,,бессрочно,
Козлов Евгений Викторович,05-014-03-01,судья,освобожден,,,
Тулейко Вячеслав Иванович,05-022-03-01,судья и председатель,назначен,,лет,5
Тулейко Вячеслав Иванович,05-001-03-01,судья,освобожден,,,
Буряко Светлана Викторовна,06-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Королько Елена Михайловна,06-020-03-01,судья,назначен,,бессрочно,
Марченко Елена Владимировна,06-016-03-01,судья,назначен,,бессрочно,
Соловьева Елена Владимировна,06-017-03-01,судья,назначен,,лет,5
Трифонова Ирина Константиновна,06-000-03-01,судья,назначен,,лет,5
Трифонова Ирина Константиновна,06-002-03-02,судья,освобожден,,,
Шведов Андрей Викторович,06-012-03-01,судья,назначен,,бессрочно,
Дешева Валентина Анатольевна,07-004-03-01,судья,назначен,,лет,5
Камушкин Андрей Михайлович,07-002-03-01,судья,назначен,,лет,5
Лобасюк Павел Александрович,07-008-03-01,судья,назначен,,лет,5
Мацкевич Эльмира Андреевна,07-009-03-01,судья,назначен,,лет,5
Мисуно Светлана Эдуардовна,07-008-03-01,председатель,назначен,,бессрочно,
Мисуно Светлана Эдуардовна,07-008-03-01,заместитель председателя,освобожден,,,
Солопан Светлана Александровна,07-003-03-01,судья,назначен,на время нахождения в социальном отпуске Кособуцкой Инны Анатольевны,,на период,
Артиш Янина Станиславовна,04-008-03-01,судья и председатель,освобожден,по собственному желанию,,
Белойчук Наталья Николаевна,03-020-03-01,председатель,освобожден,по собственному желанию,,
Белойчук Наталья Николаевна,03-020-03-01,судья,оставлен в должности,,,
Валевич Любовь Александровна,07-002-03-01,судья,освобожден,по собственному желанию,,
Жилина Светлана Петровна,06-000-03-01,судья,освобожден,выход в отставку,,
Жуковская Людмила Константиновна,04-002-03-01,судья,освобожден,выход в отставку,,
Ероховец Павел Николаевич,05-019-03-01,судья,освобожден,по собственному желанию,,
Кравчук Анна Ивановна,01-015-03-01,судья,освобожден,выход в отставку,,
Лапотко Тамара Дмитриевна,хозяйственный суд г.Минска,судья,освобожден,выход в отставку,,
Ластовский Иван Стефанович,04-016-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Онуфрени Оксаны Владимировны,,,
Мохань Валентина Антоновна,04-002-03-02,заместитель председателя,освобожден,по собственному желанию,,
Мохань Валентина Антоновна,04-002-03-02,судья,оставлен в должности,,,
Серафимович Татьяна Владимировна,02-014-03-01,судья,освобожден,по собственному желанию,,
Шоломицкий Владимир Алексеевич,01-001-03-01,председатель,освобожден,по собственному желанию,,
Шоломицкий Владимир Алексеевич,01-001-03-01,судья,оставлен в должности,,,
Шубич Екатерина Аркадьевна,03-004-03-01,председатель,освобожден,истечение срока полномочий,,
Шубич Екатерина Аркадьевна,03-004-03-01,судья,оставлен в должности,,,
Яковлев Алексей Николаевич,06-000-03-01,судья,включить,состав президиума,,бессрочно,
Жилина Светлана Петровна,06-000-03-01,судья,исключить,состав президиума,,





