ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Кухар Анна Юрьевна,07-008-03-01,судья,назначен,на время нахождения в социальном отпуске Лешкевич Марии Николаевны,на период,
Лапко Максим Федорович,05-002-03-01,судья,назначен,,бессрочно,
Лапко Максим Федорович,07-004-03-01,судья,освобожден,,,
Мысливец Наталия Генриховна,хозяйственный суд,судья,назначен,,лет,5
Мысливец Наталия Генриховна,хозяйственный суд,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Швед Светланы Михайловны,,
Полулех Татьяна Федоровна,07-008-03-01,судья,назначен,,лет,5
Полулех Татьяна Федоровна,07-007-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Исаченко Екатерины Викторовны,,
Попко Анастасия Павловна,07-006-03-01,судья,назначен,,лет,5
Хаткевич Евгений Викторович,05-002-03-01,судья,назначен,,бессрочно,
Хаткевич Евгений Викторович,07-003-03-01,судья,освобожден,,,
Черепанова Светлана Анасовна,07-001-03-01,судья,назначен,на время нахождения в социальном отпуске Мурашко Екатерины Николаевны,на период,
Авдеев Андрей Дмитриевич,хозяйственный суда г. Минска,освобожден,перевод на другую работу,,,
Буянкова Леонора Михайловна,03-000-03-01,судья,освобожден,выход в отставку,,
Егоров Алексей Петрович,Высший Хозяйственный Суд,судья и заместитель председателя,освобожден,выход в отставку,,
Канцедал Наталья Викторовна,06-002-03-02,заместитель председателя,освобожден,истечение срока полномочий,,
Канцедал Наталья Викторовна,06-002-03-02,судья,оставлен в должности,,,
Комар Александр Васильевич,06-011-03-01,судья и председатель,освобожден,совершение проступка, несовместимого с нахождением на государственной службе,,
Лецко Виталий Ксенофонтович,04-002-03-01,судья,освобожден,по собственному желанию,,
Любецкая Светлана Анатольевна,07-003-03-01,судья и председатель,освобожден,перевод на другую работу,,
Нестеров Валерий Григорьевич,05-018-03-01,судья,освобожден,выход в отставку,,
Реутский Александр Викторович,01-002-03-01,судья,освобожден,выход в отставку,,
Рунов Геннадий Владимирович,05-000-03-01,судья,освобожден,выход в отставку,,
Северин Дмитрий Николаевич,хозяйственный суд Минской области,судья,освобожден,по собственному желанию,,
Сукач Владимир Васильевич,07-000-00-02,судья,освобожден,выход в отставку,,
Филатова Диана Геннадьевна,05-021-03-01,судья и председатель,освобожден,истечение срока полномочий,,
Филатова Диана Геннадьевна,05-021-03-01,судья,оставлена в должности,,,
Филимонихина Лариса Яковлевна,07-000-00-02,судья,освобожден,выход в отставку,,
Шевченко Олег Иванович,03-009-03-01,судья,освобожден,выход в отставку,,
Юдилевич Виктория Петровна,05-005-03-01,судья,освобожден,по собственному желанию,,
