ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Андрейчук Николай Николаевич,Брестский межгарнизонный военный суд,судья,назначен,,лет,5
Грушко Андрей Вацлавович,Витебский межгарнизонный военный суд,судья,назначен,,лет,5
Николаева Елена Александровна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Филиппов Михаил Николаевич,Борисовский межгарнизонный военный суд,судья,назначен,,лет,5
Царенко Александр Евгеньевич,Минский межгарнизонный военный суд,заместитель председателя,назначен,,бессрочно,
Шильченок Виктор Федорович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Шильченок Виктор Федорович,хозяйственный суд Витебской области,судья,освобожден,,,
Денисович Михаил Васильевич,01-021-03-01,председатель,назначен,,бессрочно,
Реутская Елена Михайловна,01-002-03-02,судья,назначен,,лет,5
Свитин Дмитрий Владимирович,01-015-03-01,заместитель председателя,назначен,,бессрочно,
Снежко Светлана Николаевна,01-003-03-01,заместитель председателя,назначен,,бессрочно,
Судник Татьяна Ивановна,01-011-03-01,судья,назначен,на время нахождения в социальном отпуске Левчук Виктории Викторовны,на период,
Вихотенко Елена Михайловна,02-008-03-01,судья,назначен,на время нахождения в социальном отпуске Носовой Александры Александровны,на период,
Драгунов Николай Александрович,02-014-03-01,судья,назначен,,лет,5
Кот Елена Анатольевна,02-013-03-01,судья,назначен,,лет,5
Кутузов Андрей Викторович,02-015-03-01,судья,назначен,,бессрочно,
Кутузов Андрей Викторович,02-017-03-01,судья,освобожден,,,
Морозова Елена Кирилловна,02-017-03-01,судья и председатель,назначен,,бессрочно,
Морозова Елена Кирилловна,02-015-03-01,судья,освобожден,,,
Реут Наталья Петровна,02-004-03-01,судья,назначен,,лет,5
Циклинская Мария Петровна,02-014-03-01,судья,назначен,,лет,5
Ваврентович Александр Николаевич,03-015-03-01,председатель,назначен,,бессрочно,
Егорова Снежана Алексеевна,03-001-03-01,судья,назначен,,лет,5
Литвинюк Лариса Леонидовна,03-018-03-01,судья,назначен,,лет,5
Можейко Светлана Юрьевна,03-005-03-01,председатель,назначен,,бессрочно,
Одрибец Татьяна Ильинична,03-002-03-01,председатель,назначен,,бессрочно,
Сергеевич Николай Васильевич,03-009-03-01,судья,назначен,,лет,5
Сычева Ольга Владимировна,03-006-03-01,судья,назначен,,лет,5
Цалков Иван Петрович,03-007-03-01,судья,назначен,,лет,5
Казакевич Юрий Витальевич,04-002-03-01,судья,назначен,,лет,5
Колесник Александр Алексеевич,04-000-03-01,заместитель председателя,назначен,,бессрочно,
Медведь Михаил Михайлович,04-016-03-01,председатель,назначен,,бессрочно,
Мохань Валентина Антоновна,04-002-03-02,судья,назначен,,лет,5
Цыбульский Валерий Светославович,04-011-03-01,судья,назначен,,лет,5
Бирилло Андрей Олегович,05-001-03-01,судья,назначен,,лет,5
Буякевич Ирина Васильевна,05-001-03-01,заместитель председателя,назначен,,бессрочно,
Костриков Александр Иванович,05-023-03-01,судья и председатель,назначен,,бессрочно,
Костриков Александр Иванович,07-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Кособуцкой Инны Анатольевны,,
Литвинович Сергей Георгиевич,05-014-03-01,председатель,назначен,,бессрочно,
