ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Анискевич Руслан Геннадьевич,07-000-00-02,судья,оставлен в должности,,бессрочно,
Анискевич Руслан Геннадьевич,07-000-00-02,заместитель председателя,освобожден,истечение срока полномочий,,
Забара Андрей Александрович,07-000-00-02,заместитель председателя,назначен,,бессрочно,
Калинкович Валерий Леонидович,07-000-00-02,первый заместитель председателя,назначен,,бессрочно,
Кондратьев Сергей Вадимович,07-000-00-02,заместитель председателя,назначен,,бессрочно,

