ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Беляшова Татьяна Александровна,07-002-03-01,судья,назначен,,лет,5
Головкова Вера Михайловна,05-002-03-01,судья,назначен,,лет,5
Головкова Вера Михайловна,07-007-03-01,судья,освобожден,,,
Дорощенок Татьяна Дмитриевна,05-002-03-01,судья,назначен,,лет,5
Дорощенок Татьяна Дмитриевна,07-002-03-01,судья,освобожден,,,
Писаревич Евгений Викторович,05-002-03-01,судья,назначен,,лет,5
Писаревич Евгений Викторович,07-008-03-01,судья,освобожден,,,
Ромашевская Ольга Анатольевна,05-002-03-01,судья и заместитель председателя,назначен,,бессрочно
Русак Артем Владимирович,05-002-03-01,судья,назначен,,лет,5
Русак Артем Владимирович,07-003-03-01,судья,освобожден,,,
Черепанова Светлана Анасовна,05-002-03-01,судья,назначен,,лет,5
Черепанова Светлана Анасовна,07-001-03-01,судья,освобожден,,,
Есьман Екатерина Вячеславовна,05-002-03-02,судья,назначен,,лет,5
Есьман Екатерина Вячеславовна,07-004-03-01,судья,освобожден,,,
Шпилевская Екатерина Александровна,05-002-03-02,судья,назначен,,лет,5
Лапаева Ангелина Дмитриевна,07-004-03-01,судья,назначен,на время нахождения в социальном отпуске Пучковой Олеси Валерьевны,на период,
Неборская Ольга Сергеевна,07-004-03-01,судья,назначен,,лет,5
Неборская Ольга Сергеевна,07-004-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Ветлугиной Екатерины Сергеевны,,
Ачалова Анастасия Васильевна,07-002-03-01,судья,назначен,,лет,5
Инчина Юлия Николаевна,07-002-03-01,судья,назначен,на время нахождения в социальном отпуске Громович Марины Валентиновны,на период,
Климчук Марина Александровна,07-002-03-01,судья,назначен,,лет,5
Маргайлик Дарья Владимировна,07-002-03-01,судья,назначен,,лет,5
Маргайлик Дарья Владимировна,07-002-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Щеткиной Юлии Владимировны,,
Минич Анастасия Станиславовна,07-002-03-01,судья,назначен,,лет,5
Плотникова Светлана Леонидовна,07-002-03-01,судья,назначен,,лет,5
Шут Юлия Степановна,07-002-03-01,судья,назначен,,лет,5
Улог Мария Александровна,07-001-03-01,судья,назначен,,лет,5
Улог Мария Александровна,03-018-03-01,судья,освобожден,,,
Татарицкая Юлия Александровна,07-001-03-01,судья,назначен,,лет,5
Андросова Алина Николаевна,07-003-03-01,судья,назначен,,лет,5
Андросова Алина Николаевна,07-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Пинчук Александры Михайловны,,
Гусакова Ольга Аркадьевна,07-003-03-01,судья и заместитель председателя,назначен,,бессрочно,
Малькова Татьяна Николаевна,07-003-03-01,судья,назначен,,лет,5
Пинчук Александра Михайловна,07-003-03-01,судья,назначен,,лет,5
Курко Инесса Игоревна,07-008-03-01,судья,назначен,,лет,5
Чиж Юлия Ивановна,07-008-03-01,судья,назначен,,лет,5
Карсюк Дмитрий Сергеевич,07-009-03-01,судья,назначен,,лет,5
Манкевич Ольга Ивановна,07-009-03-01,судья,назначен,,лет,5
Кочик Александр Васильевич,07-005-03-01,судья,назначен,,лет,5
Кочик Александр Васильевич,07-005-03-01,судья,освобожден,истечение срока полномочий,,
Липневич Николай Николаевич,07-005-03-01,судья и заместитель председателя,назначен,,лет,5
Липневич Николай Николаевич,07-008-03-01,судья и заместитель председателя,освобожден,,,
Макаревич Михаил Викторович,07-005-03-01,судья,назначен,,лет,5
Жданок Дмитрий Дмитриевич,07-007-03-01,судья,назначен,,лет,5
Семашко Марина Евгеньевна,06-005-03-01,судья и председатель суда,назначен,,бессрочно,
Гончар Светлана Валерьевна,05-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Староказников Александр Юрьевич,05-000-03-01,судья,назначен,,лет,5
Староказников Александр Юрьевич,05-001-03-01,судья,освобожден,,,
Молостова Наталья Станиславовна,05-000-03-02,судья и заместитель председателя,назначен,,бессрочно,
Поляк Людмила Сергеевна,05-000-03-02,судья,назначен,,лет,5
Никитина Наталья Анатольевна,05-001-03-01,судья,назначен,на время нахождения в социальном отпуске Петрукович Ольги Иосифовны,на период,
Котишова Александра Александровна,05-001-03-01,судья,назначен,,лет,5
