Код комиссии,"1. Агульная колькасць выбаршчыкаў на ўчастку (вызначаецца па спісу грамадзян, якія маюць права ўдзельнічаць у выбарах)","2. Колькасць выбаршчыкаў, якія атрымалі бюлетэні (вызначаецца шляхам падліку подпісаў выбаршчыкаў у спісе грамадзян, якія маюць права ўдзельнічаць у выбарах","3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні (вызначаецца шляхам падліку бюлетэняў, якія знаходзіліся ў скрынках для галасавання)","3.1. Колькасць выбаршчыкаў, якія прынялі ўдзел у датэрміновым галасаванні","3.2. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні па месцы знаходжання","3.3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні ў дзень выбараў у памяшканні ўчастка для галасавання",Дмитриев Андрей Владимирович,Канопацкая Анна Анатольевна,Лукашенко Александр Григорьевич,Тихановская Светлана Георгиевна,Черечень Сергей Владимирович,"5. Колькасць галасоў, пададзеных за кандыдата (кандыдатаў), які (якiя) выбыў (выбылі) у перыяд датэрміновага галасавання","6. Колькасць галасоў, пададзеных супраць усiх кандыдатаў","7. Колькасць галасоў, пададзеных супраць кандыдата, калi галасаванне праводзілася па адной кандыдатуры","8. Колькасць бюлетэняў, прызнаных несапраўднымі","9. Колькасць бюлетэняў, атрыманых участковай выбарчай камісіяй",10. Колькасць сапсаваных бюлетэняў,11. Колькасць нявыкарыстаных (пагашаных) бюлетэняў,Вложение 1,Вложение 2,Вложение 3,Вложение 4,Вложение 5,Вложение 6,Вложение 7,Комментарий,,
01-010-0032,1885,1870,1870,655,98,1117,47,33,920,711,37,,107,,15,1890,3,2,https://elections2020by.s3.eu-north-1.amazonaws.com/942_efc2b0b93b7212c36e8f,https://elections2020by.s3.eu-north-1.amazonaws.com/03tbi8drzykfbp2cylf7h30yrhly,,,,,,,,
01-010-0034,2543,2048,2048,369,11,1668,46,18,535,1223,62,,,,61,2620,,,https://elections2020by.s3.eu-north-1.amazonaws.com/g6lotwucw2ayojjk942zb22xqrz4,,,,,,,,,
01-010-0035,2020,1939,1938,291,49,1598,26,24,608,1111,38,,115,,16,2060,1,120,https://elections2020by.s3.eu-north-1.amazonaws.com/945_414a8ea89d6ec8a4ff43,https://elections2020by.s3.eu-north-1.amazonaws.com/945_80978c3e062b6728c971,,,,,,,,
01-010-0036,2065,1608,1608,300,51,1257,13,15,881,682,8,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/rkd2sf98xcnrdawz3kihz660bz2y,,,,,,,,,
01-010-0040,1820,1688,1688,640,19,1029,23,24,1008,557,28,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0040_f795a9852365b02f9a7de9ebc7a46b64f3f9b0f4,,,,,,,,,
01-010-0042,1570,1279,1279,348,21,901,13,24,629,598,6,,9,,,1600,,321,https://elections2020by.s3.eu-north-1.amazonaws.com/c0nlh8ttxyrjs1dte4vuzlhmtemn,https://elections2020by.s3.eu-north-1.amazonaws.com/b8dagn81xlzfxk4hnx45oe1l6ncp,,,,,,,,
01-010-0043,1808,1696,1696,606,39,1051,20,12,1013,507,27,,107,,10,1850,3,151,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0043_12b4bb5a614857f01a3b9376c00b0f999edce975,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0043_fa8cccd83c70c5a48d58dadd3423963be516ae8d,,,,,,,,
01-010-0044,1307,1066,1065,319,21,725,21,11,472,473,27,,56,,5,1330,1,264,https://elections2020by.s3.eu-north-1.amazonaws.com/954_fb5865269de4dad767b1,https://elections2020by.s3.eu-north-1.amazonaws.com/6vhbucg2e1wuw9ii358anqer39hv,,,,,,,,
01-011-0003,1512,1482,1482,547,25,910,22,47,1150,127,21,,101,,14,1515,1,32,https://elections2020by.s3.eu-north-1.amazonaws.com/be4wjf2c8k3q5k9q0q0ibyc7elgi,https://elections2020by.s3.eu-north-1.amazonaws.com/jtdt1jujlumj1o0wqfvhri3vake9,,,,,,,,
01-011-0007,2450,2139,2139,435,17,1687,22,19,841,1026,28,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0007_2ec0111d4d5efb3ee24e77d9a1e68f3e0c039c86,,,,,,,,,
01-011-0010,2195,1858,1856,714,45,1097,44,19,1096,500,26,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0010_0736df1cde8b3e94a3cbbe9b7ed3f551b06fea49,,,,,,,,,
01-011-0012,2403,2190,2190,860,13,1317,60,54,1642,263,52,,96,,23,2326,2,134,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0012_a88794c9be1aa2dc15de76128910536f4c2f8bd2,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-010-0012_200fb012bf174a445d5abb47c4052e00a203db1d,,,,,,,,
