Код комиссии,"1. Агульная колькасць выбаршчыкаў на ўчастку (вызначаецца па спісу грамадзян, якія маюць права ўдзельнічаць у выбарах)","2. Колькасць выбаршчыкаў, якія атрымалі бюлетэні (вызначаецца шляхам падліку подпісаў выбаршчыкаў у спісе грамадзян, якія маюць права ўдзельнічаць у выбарах","3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні (вызначаецца шляхам падліку бюлетэняў, якія знаходзіліся ў скрынках для галасавання)","3.1. Колькасць выбаршчыкаў, якія прынялі ўдзел у датэрміновым галасаванні","3.2. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні па месцы знаходжання","3.3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні ў дзень выбараў у памяшканні ўчастка для галасавання",Дмитриев Андрей Владимирович,Канопацкая Анна Анатольевна,Лукашенко Александр Григорьевич,Тихановская Светлана Георгиевна,Черечень Сергей Владимирович,"5. Колькасць галасоў, пададзеных за кандыдата (кандыдатаў), які (якiя) выбыў (выбылі) у перыяд датэрміновага галасавання","6. Колькасць галасоў, пададзеных супраць усiх кандыдатаў","7. Колькасць галасоў, пададзеных супраць кандыдата, калi галасаванне праводзілася па адной кандыдатуры","8. Колькасць бюлетэняў, прызнаных несапраўднымі","9. Колькасць бюлетэняў, атрыманых участковай выбарчай камісіяй",10. Колькасць сапсаваных бюлетэняў,11. Колькасць нявыкарыстаных (пагашаных) бюлетэняў,Вложение 1,Вложение 2,Вложение 3,Вложение 4,Вложение 5,Вложение 6,Вложение 7,Комментарий,,
02-075-0002,1504,1388,1388,630,23,735,14,4,1166,175,4,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/svyww698svhbqwowgsaj4bbhj942,,,,,,,,,
02-075-0005,1351,896,896,234,65,597,16,14,393,378,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/a9uvexwmyaryypv3kk7nxgxf5h5l,,,,,,,,,
02-075-0006,1408,1259,1259,638,78,543,8,32,1062,69,11,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/9r3652gvj1zgtnjqxdrpdm2mumso,,,,,,,,,
02-075-0007,1826,1681,1681,803,146,732,21,38,1442,65,46,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/pov72djk0szvo0jv2g1gtc79votg,,,,,,,,,
02-075-0008,1960,1764,1764,1148,72,514,7,19,1482,149,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/2200_5cf7699f18d0edddada0,,,,,,,одна страница,,
02-075-0010,1645,1459,1459,650,81,728,8,20,1226,85,15,,101,,4,1725,1,265,https://elections2020by.s3.eu-north-1.amazonaws.com/uf93npicft3dktjqgdf3t8v0iq09,,,,,,,,,
02-075-0013,1751,1488,1488,637,41,810,26,22,1249,135,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/3x9k0b49pdmwfmo8vypzoe46q2nz,,,,,,,,,
02-075-0019,1414,1293,1293,583,98,612,13,7,1082,160,16,,15,,,1483,,190,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0019_02f6421891289574d49082c24beaaf2cf51f3383,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0019_f3b368d38ffc71a7473af272f65f1ec85fea3a4e,,,,,,,,
02-075-0031,1026,948,948,379,75,494,9,14,796,81,11,,33,,4,1076,0,128,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0031_f499e568d622ebd7cb08cb9e5fb518ea0286a7a3,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0031_c0bccde44019e60b272cb151b6510882cef13eb4,,,,,,,,
02-075-0033,1473,1340,1340,603,154,583,5,23,1192,35,11,,47,,27,1545,,205,https://elections2020by.s3.eu-north-1.amazonaws.com/b4cnk5mkze2cjna3besyq08ctud7,,,,,,,,,
02-075-0038,2402,2041,2041,998,143,900,48,23,1734,185,16,,17,,18,2331,1,289,https://elections2020by.s3.eu-north-1.amazonaws.com/m3ghzpor7psa6qenu9dgqrzdkjex,https://elections2020by.s3.eu-north-1.amazonaws.com/4abv4eperjimxc8igzso2kbe7qhq,,,,,,,,
02-075-0043,2175,1852,1852,779,190,923,12,38,1608,101,15,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0043_340bb58af6f5dd1df387cdeaf207fc8edf31d3c0,,,,,,,,,
02-075-0049,1018,898,898,311,181,406,6,16,772,36,8,,51,,9,1068,,170,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0049_3bdf9551c54ca30bb2ca72ad862b68e5b6c37614,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0049_09bb22ff11cd462551eed5c8c71ff7b1041bf839,,,,,,,,
02-075-0051,1026,948,948,379,75,494,9,14,796,81,11,,33,,4,1076,,128,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0051_5aa22461d1200ce4af101dc06097c129892872a6,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0051_992e1afc3c7af259d54936dacdfb6b71c975b402,,,,,,,,
02-075-0052,2234,1952,1952,744,26,1182,12,53,1668,87,20,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/r8d0fxi77cgdci6fca78akxkmnbl,,,,,,,,,
02-075-0053,1791,1523,1517,501,162,854,18,19,1238,112,26,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/f4ixhwxgtxhal14igqb7evvzj6de,,,,,,,,,
02-075-0059,1443,1309,1309,515,89,705,5,12,1102,72,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/5vk7hmkizpn5ecznaz3b0crya15y,,,,,,,,,
02-075-0070,1780,1620,1620,490,111,1019,14,21,1362,73,18,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-075-0070_7a00a553104fabdb944b4ce39d21fef47d468f5c,,,,,,,,,
02-076-0001,1536,1330,1322,369,159,794,12,6,1150,88,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/fhmd76e5gdb8gokvi6b0jh534fpa,,,,,,,,,
02-076-0008,2082,1936,1936,837,9,1090,45,11,1221,546,18,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/h2qquxwgiluzxcbn4wkj0363k9cg,,,,,,,Одна страница,,
02-076-0015,,,,,,,,,,,,,21,,9,2272,1,400,https://elections2020by.s3.eu-north-1.amazonaws.com/s5pp1tpki71667xfqiu207957pix,,,,,,,Нет первой стороны,,
02-076-0025,1527,1298,1298,332,130,836,16,14,1099,96,25,,43,,5,1605,,307,https://elections2020by.s3.eu-north-1.amazonaws.com/hsz71ysf20qe0zf3q2pdoxdd9laz,,,,,,,,,
02-077-0001,1416,1306,1306,431,143,732,23,8,754,402,39,,71,,9,1440,,134,https://elections2020by.s3.eu-north-1.amazonaws.com/yqs7xe7774ci6mnlaecgowyw7erk,https://elections2020by.s3.eu-north-1.amazonaws.com/zndvcuzudjx9p7lqi6larvsvy29x,,,,,,,,
02-077-0006,1895,1465,1465,345,133,987,13,11,1072,322,12,,30,,5,1900,1,524,https://elections2020by.s3.eu-north-1.amazonaws.com/u11c2t9kabf04q4na9gi5wuvx82n,,,,,,,,,
02-077-0007,1422,1056,1056,710,32,314,14,10,813,187,11,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ryacpl5zlfw8u5b2n11xvrg9lzbx,,,,,,,,,
02-077-0008,2784,2177,2175,730,106,1339,38,17,1503,480,46,,46,,45,2890,,613,https://elections2020by.s3.eu-north-1.amazonaws.com/2350_864a8d958e6ac66239b0,https://elections2020by.s3.eu-north-1.amazonaws.com/2350_705ab57f2e6d32973bf1,,,,,,,,
02-077-0016,1346,1117,1117,316,272,529,43,15,624,351,29,,47,,8,1380,,263,https://elections2020by.s3.eu-north-1.amazonaws.com/i4ylid6glktv3emix6p5hfvgdchu,,,,,,,,,
02-077-0019,1203,999,999,320,132,547,32,15,389,475,27,,52,,9,1250,0,251,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-077-0019_d7b5b1495bf4785c143e616190a7fdcdc5fdbd6a,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-077-0019_9a2d7b9f4df2b26b631c3bad8372a02fd4b3fe1c,,,,,,Подписей нет,,
02-078-0008,806,730,730,273,272,185,6,9,663,27,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/hjh4vjk0zzgo3nusaq6tc32lakpy,,,,,,,,,
02-081-0001,2020,1493,1493,479,27,987,45,26,584,821,32,,134,,16,2110,,617,https://elections2020by.s3.eu-north-1.amazonaws.com/kmmff4s0i4i03tbnpztt95wyc6nj,https://elections2020by.s3.eu-north-1.amazonaws.com/swqmfkdji8boq309ayx5a1squcgx,,,,,,"Первая страница смазана, данные неточные. Подписей нет",,
02-082-0020,2965,2919,2919,1361,37,1521,70,41,1439,1027,79,,240,,23,2957,1,37,https://elections2020by.s3.eu-north-1.amazonaws.com/2454_d224d7baf06568d1d09a,,,,,,,Нет подписей,,
02-143-0005,1053,899,899,326,302,271,19,10,451,331,13,,,,,1105,11,206,https://elections2020by.s3.eu-north-1.amazonaws.com/vflrs73v6mwr7zpyobmoiweno9or,https://elections2020by.s3.eu-north-1.amazonaws.com/cxb3gqqxylwb05jn7ro3exttdvsk,,,,,,одна страница,,
02-143-0008,373,312,312,98,63,151,2,4,232,62,2,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/adxzs9ozu6caceykcn58byuebbx0,,,,,,,,,
02-143-0009,507,460,460,93,202,165,2,18,341,92,2,,5,,,539,,79,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-143-0009_676fc0289421031e3af97148d045fef82066edac,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-143-0009_0f48f7cc0481a2844c58f24e4c61ade17c4b91fd,,,,,,,,
02-143-0016,1525,1296,1296,358,135,803,38,23,591,531,28,,85,,,1564,,268,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-143-0016_1252ffba57fa4d258c1519e0de3a3082ed9475e4,https://elections2020by.s3.eu-north-1.amazonaws.com/report_02-143-0016_1e777aa24e9da6bafaf2939d7d9c74d2b035268e,,,,,,,,
02-143-0019,2377,1946,1946,736,98,1112,36,25,957,764,40,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/6esnve5llu4ipl3klw43s4u8puvu,,,,,,,,,
02-143-0022,2486,1787,1787,494,308,984,59,15,1063,470,79,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/hkqgc7vb3its9epxe9xoooj4es3o,,,,,,,,,
03-017-0002,1247,1026,1022,498,16,508,7,29,812,71,5,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/212vwgqfxyjxxmxshp656uy0yxxq,,,,,,,,,
03-017-0014,2799,2276,2272,1324,40,908,28,68,1862,131,23,,129,,31,2950,1,673,https://elections2020by.s3.eu-north-1.amazonaws.com/k8gmi3tv3pbdfxu51afosyv0calv,https://elections2020by.s3.eu-north-1.amazonaws.com/u5dhs6hn6gtzwtosgetl55rfby53,,,,,,,,
03-017-0031,1786,1464,1460,865,33,562,11,41,1189,68,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/s5aieu0mebjv2t6nfhr9cy5o63k7,,,,,,,одна страница,,
03-018-0006,2299,1928,1924,1181,112,631,19,51,1625,101,11,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/k4e63bzjgx7cs18ht2kjrjd2msyi,,,,,,,,,
03-018-0020,2719,2257,2254,1368,61,825,15,21,1874,131,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/gncisl24q22zvrf5g7upgnwexnt5,,,,,,,,,
03-018-0021,1932,1618,1615,984,85,546,13,121,1221,139,11,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-018-0021_2218b0fd72b5095c2f63fea2e2c7ccfedb0c9ba0,,,,,,,,,
03-018-0028,2848,2383,2379,1409,49,921,31,91,1927,179,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/561q5ts6vnl7sx4a9gz4zwml4mdn,,,,,,,одна страница,,
03-018-0037,1602,1336,1332,866,91,375,18,101,887,128,26,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/yqcic54drtat6jo4s181x3whhn03,,,,,,,,,
03-018-0044,2227,1864,1859,1109,98,652,11,21,1376,191,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/c1dajvs2pyoexopa14l3vw388z4u,,,,,,,,,
03-018-0048,2339,1991,1988,1252,128,608,13,64,1374,223,19,,288,,7,2400,2,407,https://elections2020by.s3.eu-north-1.amazonaws.com/5in8f5bcbdckoq4578hpolxjqxd2,,,,,,,нет подписей комиссии,,
03-018-0059,2669,2221,2219,1419,90,710,52,104,1748,136,19,,144,,16,2800,11,568,https://elections2020by.s3.eu-north-1.amazonaws.com/2656_508b1193c1ba0a68775f,https://elections2020by.s3.eu-north-1.amazonaws.com/2656_4ef3b64ced796f19e71e,,,,,,,,
03-019-0004,2459,2073,2073,1345,9,749,14,67,1553,169,18,,130,,12,2553,2,478,https://elections2020by.s3.eu-north-1.amazonaws.com/lqgidfhh682u5gbn0ruizc24z51n,https://elections2020by.s3.eu-north-1.amazonaws.com/tamtco6p3vi8dv6h8lk7p0sdy9ov,,,,,,Первая страница видна слабо,,
03-019-0010,2455,2041,2037,247,107,1683,25,49,1650,138,20,,151,,4,2564,3,520,https://elections2020by.s3.eu-north-1.amazonaws.com/pqywxex0f52zrhnmptazi7n2dwg1,https://elections2020by.s3.eu-north-1.amazonaws.com/dybfcfm7nme7bzz9fdozymyd69r3,,,,,,,,
03-019-0015,2706,2295,2291,1388,54,849,23,44,1889,166,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/fcukp4il7ncoms3f59a0j02yqswq,,,,,,,,,
03-019-0019,2524,2383,2380,1187,37,1156,19,85,1665,444,25,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/9sh2vs52gz3t9v9vp767jkjd2euw,,,,,,,,,
03-019-0037,1948,1611,1608,959,27,622,14,68,1280,116,29,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/5v7ty4jbzb0xnfil9odsxu6ypykh,,,,,,,,,
03-019-0045,2412,2043,2039,1272,29,738,25,134,1610,146,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/mz9mo5mgdmkivjm5meqk9itv3y06,,,,,,,"одна страница, нет подписей",,
03-019-0049,2256,1468,1468,494,13,961,43,22,640,620,38,,92,,13,2365,0,897,https://elections2020by.s3.eu-north-1.amazonaws.com/49luguywtc9xrfvw1718adctsce3,https://elections2020by.s3.eu-north-1.amazonaws.com/aduzbpxrvjyxypqx9sod6jkg4elb,,,,,,,,
03-020-0001,657,524,523,319,3,201,7,11,414,40,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/w04r88qnsravzbqc7t5flbj3ua0p,,,,,,,Нет второй стороны,,
03-020-0019,1293,1055,1053,644,42,367,16,29,806,99,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/8vm0sydwhxljc5z0vba8l18an1wz,,,,,,,,,
03-020-0021,2210,1803,1799,1126,12,661,20,52,1420,140,25,,82,,60,2287,1,483,https://elections2020by.s3.eu-north-1.amazonaws.com/2679_af9617b347751606721b,https://elections2020by.s3.eu-north-1.amazonaws.com/wivh5ugv8fvd7v63oyhwnyree9w1,,,,,,,,
03-020-0024,962,785,783,479,31,273,11,23,601,77,10,,35,,26,1000,3,212,https://elections2020by.s3.eu-north-1.amazonaws.com/y5eewnw1ga1d8ety5609hw7fts0z,https://elections2020by.s3.eu-north-1.amazonaws.com/y2m93q5mio35nggwhkxofac8b5iy,,,,,,,,
03-020-0026,2603,2123,2119,1296,16,807,36,69,1655,171,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/93rtycyqmlcwmdozz3qdrynu6uif,,,,,,,,,
03-020-0035,2972,2424,2421,1501,4,916,24,89,1851,224,43,,161,,29,3121,3,694,https://elections2020by.s3.eu-north-1.amazonaws.com/mkqo2q07sfxscxc68v2i7ytzlvvp,https://elections2020by.s3.eu-north-1.amazonaws.com/bpcgrewx5n2onaqwfymeuzwbsz2e,,,,,,,,
03-020-0036,2962,2416,2411,1425,96,890,36,60,1878,216,32,,109,,80,3110,4,690,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0036_88b3f23ee7ca0e8e3afd75e265940b24d7a926a3,,https://elections2020by.s3.eu-north-1.amazonaws.com/6ci6ve9lrptbdo0bvbkqcgocfxq8,,,,,"Вместо подписей слово ""подпись""",,
03-020-0037,2643,2156,2152,1322,86,744,39,73,1661,174,36,,128,,41,2775,0,619,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0037_aa4d6f4a3fcdb7d6499584f1f737768d989f04fb,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0037_71b8c470f2806290f53b390ae9e1f3a509662476,,,,,,,,
03-020-0038,2962,2416,2411,1425,96,890,36,60,1878,216,32,,109,,80,3110,4,690,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0038_5345f26e5dcff8ae7ee25944914303888540e7ed,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0038_e166a93f1659659d1654875cb6d547f1db01627b,,,,,,"Вторая страница оформлена другой ручкой, но по данным вроде сходится с первой. Также нет подписей.",,
03-020-0039,1875,1529,1525,943,2,580,13,44,1186,140,21,,99,,22,1968,1,498,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0039_664a9c1b44fefea3c8f496ac265874fa420c5012,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-020-0039_ae4afcfca98480b851846b5e47629fb981fb0f14,,,,,,,,
03-085-0009,190,187,187,130,10,47,1,1,173,7,1,,3,,1,199,0,12,https://elections2020by.s3.eu-north-1.amazonaws.com/eo5escaodv220lv0dyy4nif7bghz,https://elections2020by.s3.eu-north-1.amazonaws.com/l7xkaqedj1e10wfowc15mgrzzwcn,,,,,,,,
03-086-0009,337,318,318,199,11,108,2,1,278,33,0,0,2,0,2,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/nn5m5bfitbaqkgxp3s3crppy0d7j,https://elections2020by.s3.eu-north-1.amazonaws.com/e8fbe05hp5lq9be6n4jgq23779wv,,,,,,"нет пунктов 9,10,11. Нет подписей и имен.",,
03-087-0013,2338,2230,2228,1461,6,761,37,72,1997,92,16,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-087-0013_ddad2d10d085c1fbf3a569f8e2995495c307e10e,,,,,,,,,
03-087-0014,1763,1630,1628,1034,17,577,30,103,1415,57,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/xxemyq0hbr2566xzsfocw29he7st,,,,,,,,,
03-088-0027,583,555,555,356,67,132,12,7,411,108,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/crmfngpioaailhikmqxdll9m1ue9,,,,,,,Одна фотография.,,
03-090-0015,943,749,749,247,13,489,9,23,307,332,14,,57,,7,973,,224,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-090-0015_48a569c876488119d1719f3619491b2cd58df75e,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-090-0015_b80c66d5b30b8ed3d5aa1793c53d075d7b27e6ed,,,,,,,,
03-090-0052,368,364,364,107,102,155,14,15,167,143,4,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-090-0052_abe032751f202efc1da6f7cf42d8cd87213c4bd5,,,,,,,,,
03-091-0001,733,603,603,100,36,467,9,7,228,303,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ecnnysrmrl0blonxc1i5ciaxf82o,,,,,,,,,
03-091-0005,1918,1782,1779,409,,,37,13,1035,580,34,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/cboegv1xl7xs40jekywdrq7z4vd8,,,,,,,Данные слабо видны,,
03-091-0007,,,,,,,,,,,,,119,,10,2110,0,248,https://elections2020by.s3.eu-north-1.amazonaws.com/ujszf1aeg7h05f7ovt6r4ydtogeg,,,,,,,,,
03-091-0009,1308,1083,1083,282,27,773,14,11,652,331,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/gqvjum9rasdum0hwleww2jgdicxt,,,,,,,одна страница,,
03-091-0012,1450,1240,1238,698,26,514,9,28,883,205,5,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/2958_61abc418a37b256b1210,,,,,,,,,
03-091-0014,1605,1155,1155,292,13,850,24,13,416,575,18,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/2960_a86d3b52162e08cb7ed2,,,,,,,,,
03-091-0015,1462,1422,1422,765,63,594,9,7,853,476,3,,65,,9,1540,2,116,https://elections2020by.s3.eu-north-1.amazonaws.com/2961_9becd61932c879579b18,https://elections2020by.s3.eu-north-1.amazonaws.com/2961_1fea8a37f87e8809e904,,,,,,,,
03-091-0016,1010,939,939,233,44,662,20,17,322,492,20,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/6e3wgbtrxrkgfaqhwgc4sj4f0tpv,,,,,,,,,
03-091-0017,2180,1984,1984,1144,20,820,42,74,1361,359,62,,72,,14,2310,0,326,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0017_b2a866acecf1ab8e411dfc4d1b4216bc0cee7d4c,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0017_542f679b9a00018fc4377bd13bca733bd3aefa86,,,,,,,,
03-091-0018,1048,711,711,161,10,540,23,5,224,389,12,,52,,6,1020,,309,https://elections2020by.s3.eu-north-1.amazonaws.com/fsy5mp1eq7z0loj8qssmg703ftz6,https://elections2020by.s3.eu-north-1.amazonaws.com/lhq1xrx0hzauyzbw5acyaxkn6ecb,,,,,,,,
03-091-0019,1720,1440,1440,352,127,961,11,12,983,421,8,,,,5,1800,1,359,https://elections2020by.s3.eu-north-1.amazonaws.com/2965_c0e144054652f796c35b,,,,,,,,,
03-091-0021,2059,1788,1788,680,14,1094,24,10,811,797,36,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/nohxj0c67qcnbgduz7kuvubfs067,,,,,,,,,
03-091-0023,2707,2523,2523,571,6,1946,40,24,1837,428,20,,160,,14,2860,1,336,https://elections2020by.s3.eu-north-1.amazonaws.com/szoqi5ecoru54mxeuv772i0xcb3d,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0023_fdd0e75180b54bd830081680c160f2b605feb92a,,,,,,Не видно подписей,,
03-091-0024,2464,1773,1773,327,2,1446,22,16,346,1205,47,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0024_6ee5c75fa5f5663f2fa6b5739f93af0399d45930,,,,,,,,,
03-091-0026,2700,2488,2487,940,9,1538,56,23,799,1369,56,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/lo47bkmcaw62stiv09cgg7w54wq0,,,,,,,Нет второй стороны,,
03-091-0027,2550,2238,2238,434,5,1799,61,24,558,1446,58,,72,,19,2660,2,420,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0027_c7d6e51d79ef316f004fb0e83a4fdd3081e81e3c,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0027_4e7e2e7975ca1fc2d8da7b896cfb9e9531edc3ec,,,,,,,,
03-091-0029,2212,1763,1763,417,8,1337,30,10,1118,474,29,,88,,13,2320,1,557,https://elections2020by.s3.eu-north-1.amazonaws.com/073gne5gk4ff9hwobcorw3oa8qwz,,,,,,,,,
03-091-0030,1910,1627,1626,596,12,1018,41,16,699,687,41,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/2976_d82fd6b4d0129faf4f1b,,,,,,,,,
03-091-0031,2151,2011,2009,1221,34,754,14,46,1716,122,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/y5rpv3u7ydkso8q1hi67yfpppwjs,,,,,,,,,
03-091-0032,2435,2271,2271,463,12,1796,46,24,527,1428,51,,172,,23,2550,1,278,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0032_7dac603960ffbd6a74afff12c6abaf0cf685598e,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0032_f03a1b6489847e1fa329cef061dd9a705c9a3ac7,,,,,,,,
03-091-0033,2413,2139,2139,1120,67,952,15,46,941,884,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0033_10fd35a1737687e482a24c789acfc756a14ed50b,,,,,,,,,
03-091-0036,814,605,604,180,52,373,8,7,287,256,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/lnci0mvhkvaxyargrhavz6ot9yfl,,,,,,,,,
03-091-0043,621,514,512,171,17,324,19,10,283,160,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/xdr8vyxdjo7vvofyegfq5673e9h4,,,,,,,,,
03-091-0045,998,876,876,334,89,453,18,11,464,304,17,,,,,1045,,169,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0045_a8b02e0a4857ef7ebd5d0ef98a60b82d71f2d802,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0045_583077e3e08ad8317bbf7bfea1d86f0765596b4b,,,,,,,,
03-091-0046,1117,916,916,303,53,560,21,7,470,331,18,,58,,11,1170,,254,https://elections2020by.s3.eu-north-1.amazonaws.com/aodlp98n4fi0kw4exremmvq75f5g,,,,,,,,,
03-091-0047,875,703,703,222,187,294,20,8,400,223,16,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/fv2681bqik4w8swjbazreusljd20,,,,,,,,,
03-091-0048,602,465,465,186,64,215,8,5,262,161,8,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/3kt5d2evrish0zefhv31vmgkh3kg,,,,,,,нет второй страницы.,,
03-091-0053,203,203,203,54,54,95,2,1,130,61,3,,6,,,213,,10,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0053_b62cefec9b83342ca1dd01d6e472aca267739d3b,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-091-0053_1a2ba70794d217d7befd2798e4e8adcd2c2ac651,,,,,,,,
03-092-0001,1316,1203,1199,741,14,444,14,38,1019,82,8,,32,,6,1380,6,171,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0001_ff9e28e2f9ddb10d67d1cb600976132720f19090,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0001_2cfd6dce2e6a1f1b74181f2b3250ec227d0ec3a0,,,,,,,,
03-092-0004,1187,1094,1093,681,33,379,9,32,940,67,8,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/8rja5lvhbe4jbhhznzq57r7n6bgy,,,,,,,одна страница,,
03-092-0017,993,924,922,561,31,330,7,28,771,79,10,,23,,4,1042,3,115,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0017_a3c144d2cc4399627f8f41da34f44bce281f2c43,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0017_4e47b73ae1714a62833de24016e4054357ebd17a,,,,,,,,
03-092-0024,701,651,650,409,19,222,7,14,560,50,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/wuu30i1rv20k2y65505izxifqtqd,,,,,,,,,
03-092-0028,908,857,854,540,2,312,8,19,733,61,9,,20,,4,953,3,93,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0028_1432136aaa5dcfeb2f34fe90f29029b0aa7a1eae,https://elections2020by.s3.eu-north-1.amazonaws.com/report_03-092-0028_2e22602a5d4aaa5a4196dd511e8a7e7bc39ded1e,,,,,,"вместо подписей слово ""подпис""",,
