ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Чадюк Евгений Александрович,05-002-03-01,судья,назначен,,лет,5
Чадюк Евгений Александрович,07-002-03-01,судья,освобожден,,,
Сакович Алексей Сергеевич,05-002-03-02,судья,назначен,,лет,5
Кисляк Алексей Игоревич,07-002-03-01,судья,назначен,,лет,5
Кисляк Алексей Игоревич,07-002-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Кухаревой Екатерины Ивановны,,
Шотик Татьяна Викторовна,07-002-03-01,судья,назначен,на время нахождения в социальном отпуске Плотниковой Светланы Леонидовны,на период,
Остапенко Дмитрий Андреевич,07-001-03-01,судья и заместитель председателя,назначен,,лет,5
Остапенко Дмитрий Андреевич,07-002-03-01,судья,освобожден,,,
Петраш Александр Александрович,07-009-03-01,судья и председатель,назначен,,лет,5
Петраш Александр Александрович,07-001-03-01,судья и заместитель председателя,освобожден,,,
Шумская Татьяна Ивановна,07-008-03-01,судья,назначен,,лет,5
Игнатьева Анна Игоревна,07-006-03-01,судья,назначен,,лет,5
Лейковская Анастасия Михайловна,07-006-03-01,судья,назначен,,лет,5
Липневич Николай Николаевич,07-008-03-01,судья,назначен,,лет,5
Любовицкий Игорь Вячеславович,05-002-03-01,судья,назначен,,лет,5
Скопец Татьяна Николаевна,07-009-03-01,судья и заместитель председателя,назначен,,лет,5
Скопец Татьяна Николаевна,07-003-03-01,судья,освобожден,,,
Хома Михаил Иванович,07-005-03-01,судья и председатель,назначен,,лет,5
Хома Михаил Иванович,07-009-03-01,судья и заместитель председателя,освобожден,,,
Солопан Светлана Александровна,07-007-03-01,судья,назначен,,лет,5
Есьман Екатерина Вячеславовна,07-004-03-01,судья,назначен,,лет,5
Есьман Екатерина Вячеславовна,05-002-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Дроздовской Кэтрин Денизы Мигель Анхель,,
Мазуров Сергей Валерьевич,06-000-03-01,судья,назначен,,лет,5
Мазуров Сергей Валерьевич,06-002-03-01,судья,освобожден,,,
Гашпар Татьяна Валентиновна,06-000-03-02,судья и заместитель председателя,назначен,,бессрочно,
Костяникова Анна Леонидовна,06-000-03-02,судья,назначен,,лет,5
Павлова Екатерина Геннадьевна,06-000-03-02,судья,назначен,,лет,5
Елисеенко Татьяна Игоревна,06-010-03-01,судья,назначен,,лет,5
Шматкова Екатерина Николаевна,06-014-03-01,судья,назначен,,лет,5
Полякова Виктория Николаевна,06-002-03-01,судья,назначен,,лет,5
Лапеко Олег Игоревич,05-000-03-01,судья,назначен,,лет,5
Симахин Юрий Михайлович,05-000-03-02,судья,назначен,,лет,5
Дыль Олеся Валерьевна,05-000-03-02,судья,назначен,,лет,5
Люцко Татьяна Фёдоровна,05-018-03-01,судья,назначен,,лет,5
Синявский Дмитрий Владимирович,05-014-03-01,судья и заместитель председателя,назначен,,лет,5
Скриган Юрий Валентинович,05-018-03-01,судья,назначен,,лет,5
Староказников Александр Юрьевич,05-001-03-01,судья,назначен,,лет,5
Буфтяк Ольга Николаевна,05-005-03-01,судья,назначен,,лет,5
Бакунович Ирина Анатольевна,05-008-03-01,судья,назначен,,лет,5
Горшкова Юлия Вячеславовна,05-020-03-01,судья,назначен,,лет,5
Бабук Ольга Владимировна,05-017-03-01,судья,назначен,,лет,5
Макаренко Наталия Викторовна,05-017-03-01,судья,назначен,,лет,5
Кажуро Анна Фёдоровна,05-014-03-01,судья,назначен,,лет,5
Ахметова Елена Николаевна,05-006-03-01,судья,назначен,,лет,5
Борис Татьяна Викторовна,05-006-03-01,судья и председатель,назначен,,лет,5
Бубенчик Дмитрий Витальевич,04-002-03-01,судья,назначен,,лет,5
Сергей Казимир Казимирович,04-002-03-01,судья,назначен,,лет,5
Шпак Валерий Иосифович,04-002-03-02,судья,назначен,,лет,5
Савко Надежда Петровна,04-011-03-01,судья,назначен,,лет,5
Савко Надежда Петровна,04-011-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Ковальчук Ольги Владимировны,,
Цыбульский Валерий Светославович,04-015-03-01,судья и председатель,назначен,,бессрочно,
Цыбульский Валерий Светославович,04-011-03-01,судья,освобожден,,,
Пискунова Ирина Викторовна,03-002-03-02,судья,назначен,лет,5
Доля Николай Иванович,03-000-03-01,судья,назначен,,лет,5
Егорова Снежана Алексеевна,03-000-03-01,судья,назначен,,лет,5
Сотников Анатолий Григорьевич,03-000-03-01,судья,назначен,,лет,5
Пискунов Александр Евгеньевич,03-000-03-01,судья,назначен,,лет,5
