ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Абашин Александр Викторович,02-000-03-01,судья,назначен,,бессрочно,
Абашин Александр Викторович,02-002-03-02,судья,освобожден,,,
Кацура Людмила Васильевна,02-018-03-01,судья,назначен,,бессрочно,
Колесник Игорь Викторович,02-014-03-01,судья,назначен,,бессрочно,
Колесник Игорь Викторович,02-014-03-01,судья по административным делам,освобожден,,,
Матушайкес Татьяна Васильевна,02-000-03-01,судья,назначен,,бессрочно,
Острикова Марина Викторовна,02-002-03-03,заместитель председателя,назначен,,бессрочно,
Стрижнев Александр Владимирович,02-018-03-01,судья,назначен,,бессрочно,
Ванкович Валерий Иванович,03-013-03-01,судья,назначен,,бессрочно,
Ермоленко Элеонора Леонидовна,суд Мозырьского района и г.Мозыря,судья,назначен,,бессрочно,
Сытько Галина Михайловна,03-002-03-03,судья,назначен,,бессрочно,
Шитиков Сергей Алексеевич,03-002-03-04,судья,назначен,,бессрочно,
Демченко Дмитрий Викторович,04-002-03-01,судья,назначен,,бессрочно,
Демченко Дмитрий Викторович,04-002-03-01,судья по административным делам,освобожден,,,
Казакевич Наталия Чеславовна,04-002-03-02,судья по административным делам,назначен,,бессрочно,
Казакевич Наталия Чеславовна,04-003-03-01,судья по административным делам,освобожден,,,
Каско Ирина Васильевна,04-009-03-01,судья по административным делам,назначен,,бессрочно,
Ланцевич Светлана Николаевна,04-004-03-01,судья,назначен,,бессрочно,
Петрова Людмила Григорьевна,04-017-03-01,судья,назначен,,бессрочно,
Розмысло Василий Анатольевич,04-018-03-01,судья,назначен,,бессрочно,
Кульбицкая Анастасия Евгеньевна,05-000-03-01,судья,назначен,,бессрочно,
Кульбицкая Анастасия Евгеньевна,суд Минского района и г.Заславля,судья,освобожден,,,
Тимошко Виктор Чеславович,05-009-03-01,судья,назначен,,бессрочно,
Гормаш Елена Станиславовна,суд Первомайского района г.Бобруйска,судья,назначен,,бессрочно,
Короленко Татьяна Тимофеевна,суд Ленинского района г.Бобруйска,судья,назначен,,бессрочно,
Лопатина Валентина Степановна,06-002-03-01,судья,назначен,,бессрочно,
Новиков Валерий Иванович,06-000-03-01,судья,назначен,,бессрочно,
Петухов Сергей Олегович,суд Первомайского района г.Бобруйска,судья,назначен,,бессрочно,
Пимашкова Алла Владимировна,06-002-03-01,судья,назначен,,бессрочно,
Тупик Татьяна Викторовна,06-002-03-01,судья,назначен,,бессрочно,
Шегеда Наталья Игоревна,суд Бобруйского района,судья,назначен,,бессрочно,
Кропивка Алла Львовна,05-002-03-01,судья,назначен,,бессрочно,
Кропивка Алла Львовна,07-007-03-01,судья,освобожден,,,
Угнивенко Инна Николаевна,05-002-03-01,судья,назначен,,бессрочно,
Угнивенко Инна Николаевна,07-008-03-01,судья,освобожден,,,










