ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Касьянчик Алеся Владимировна,05-002-03-02,судья,назначен,,лет,5
Сапега Татьяна Николаевна,05-002-03-02,судья,назначен,,лет,5
Скурчинская Кристина Валерьевна,05-002-03-02,судья,назначен,,лет,5
Варакса Юлия Владимировна,07-003-03-01,судья,назначен,,лет,5
Яловая Инна Александровна,07-003-03-01,судья,назначен,на время нахождения в социальном отпуске судьи Телицы Лидии Федоровны,на период,
Лукашевич Дмитрий Геннадьевич,07-008-03-01,судья,назначен,,лет,5
Конев Сергей Анатольевич,06-000-03-01,судья и первый заместитель председателя суда,назначен,,бессрочно,
Конев Сергей Анатольевич,06-000-03-01,судья и первый заместитель председателя суда,освобожден,,,
Ковпаев Сергей Сергеевич,06-000-03-02,судья,назначен,,лет,5
Моисеева Лилия Николаевна,06-000-03-02,судья,назначен,,лет,5
Плиско Алла Ивановна,06-000-03-02,судья,назначен,,бессрочно,
Кулешова Оксана Петровна,06-002-03-01,судья,назначен,,лет,5
Литвина Елена Васильевна,06-002-03-01,судья,назначен,,лет,5
Литвинова Елена Васильевна,06-002-03-01,судья,назначен,,лет,5
Тарабуева Татьяна Евгеньевна,06-003-03-01,судья,назначен,,бессрочно,
Божков Андрей Николаевич,06-018-03-01,судья,назначен,,лет,5
Морозов Сергей Витальевич,06-016-03-01,судья,назначен,,бессрочно,
Цикунова Елена Евгеньевна,06-021-03-01,судья и председатель суда,назначен,,бессрочно,
Вердыш Валентин Алексеевич,05-000-03-01,судья и первый заместитель председателя суда,назначен,,бессрочно,
Вердыш Валентин Алексеевич,05-000-03-01,судья и первый заместитель председателя суда,освобожден,,,
Королева Оксана Сергеевна,05-000-03-02,судья,назначен,,лет,5
Шпак Ирина Николаевна,05-000-03-02,судья,назначен,,лет,5
Шутко Александр Александрович,05-018-03-01,судья и заместитель председателя суда,назначен,,лет,5
Шутко Александр Александрович,05-005-03-01,судья и заместитель председателя суда,освобожден,,,
Барсова Валерия Петровна,05-005-03-01,судья,назначен,,лет,5
Павленко Юлия Васильевна,05-005-03-01,судья и председатель суда,назначен,,бессрочно,
Павленко Юлия Васильевна,05-018-03-01,судья и председатель суда,освобожден,,,
Холодок Наталья Аркадьевна,05-020-03-01,судья и председатель суда,назначен,,бессрочно,
Иршин Алексей Валерьевич,05-014-03-01,судья,назначен,,лет,5
Иршин Алексей Валерьевич,05-014-03-01,судья,освобожден,,,
Полещук Виктория Васильевна,05-014-03-01,судья,назначен,,лет,5
Тимофеевич Валерий Иванович,04-000-03-01,судья и первый заместитель председателя суда,назначен,,бессрочно,
Тимофеевич Валерий Иванович,04-000-03-01,судья и первый заместитель председателя суда,освобожден,,,
Козел Наталья Григорьевна,04-002-03-01,судья,назначен,,бессрочно,
Казакевич Генрих Феликсович,04-002-03-02,судья,назначен,,лет,5
Малявко Майя Евгеньевна,04-001-03-01,судья,назначен,,бессрочно,
Циунчинко Дмитрий Викторович,04-018-03-01,судья,назначен,,лет,5
Циунчинко Дмитрий Викторович,04-002-03-02,судья,освобожден,,,
Камалыев Артем Сергеевич,03-000-03-01,судья и первый заместитель председателя суда,назначен,,бессрочно,
Камалыев Артем Сергеевич,03-000-03-01,судья и первый заместитель председателя суда,освобожден,,,
Калиновская Елена Владимировна,03-018-03-01,судья,назначен,,лет,5
Сергеевич Николай Васильевич,03-009-03-01,судья,назначен,,лет,5
