ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Товкач Дмитрий Валерьевич,05-002-03-02,судья,назначен,,лет,5
Шкутько Елена Александровна,05-002-03-02,судья,назначен,,лет,5
Язвинский Дмитрий Вячеславович,05-002-03-02,судья и заместитель председателя суда,назначен,,на период,
Линник Татьяна Александровна,07-006-03-01,судья,назначен,,лет,5
Петраш Александр Александрович,07-009-03-01,судья и председатель суда,назначен,,бессрочно,
Шатило Сергей Викторович,07-007-03-01,судья,назначен,,лет,5
Тропынина Юлия Станиславовна,06-000-03-01,судья,назначен,,лет,5
Тропынина Юлия Станиславовна,06-002-03-01,судья,освобожден,,,
Бушкевич Александр Сергеевич,06-002-03-01,судья,назначен,,лет,5
Дроздова Ольга Владимировна,06-002-03-01,судья,назначен,,лет,5
Тараканов Александр Николаевич,06-022-03-01,судья и председатель суда,назначен,,бессрочно,
Ковалева Галина Григорьевна,06-002-03-02,судья,назначен,,бессрочно,
Манкевич Елена Евгеньевна,06-003-03-01,судья и заместитель председателя суда,назначен,,лет,5
Морозов Александр Леонидович,06-005-03-01,судья,назначен,,лет,5
Кравцова Екатерина Владимировна,06-021-03-01,судья ,назначен,,лет,5
Латышев Алексей Александрович,06-011-03-01,судья,назначен,,лет,5
Максимович Эдуард Владимирович,05-000-03-02,судья и председатель суда,назначен,,бессрочно,
Хомич Павел Андреевич,05-001-03-01,судья,назначен,,лет,5
Бондарь Ирина Аркадьевна,05-017-03-01,судья и заместитель председателя суда,назначен,,лет,5
Колядов Константин Петрович,05-006-03-01,судья,назначен,,лет,5
Федорович Владимир Казимирович,04-010-03-01,судья,назначен,,лет,5
Сенько Виктор Антонович,04-009-03-01,судья и председатель суда,назначен,,бессрочно,
Борейко Валерий Николаевич,04-004-03-01,судья и председатель суда,назначен,,бессрочно,
Кохановская Мария Станиславовна,04-008-03-01,судья и председатель суда,назначен,,бессрочно,
Семуха Сергей Михайлович,04-006-03-01,судья и председатель суда,назначен,,бессрочно,
Денисова Вероника Станиславовна,03-000-03-02,судья,назначен,,лет,5
Капустин Анатолий Анатольевич,03-002-03-03,судья,назначен,,лет,5
Капустин Анатолий Анатольевич,03-002-03-03,судья,освобожден,в связи с нахождением в
социальном отпуске Белоусовой Ольги Николаевны,,
Порядина Анастасия Викторовна,03-001-03-01,судья и заместитель председателя суда,назначен,,лет,5
Кучерова Татьяна Леонидовна,03-014-03-01,судья,назначен,,лет,5
Кучерова Татьяна Леонидовна,03-009-03-01,судья,освобожден,в связи с нахождением в
социальном отпуске Рубаховой Светланы Викентьевны,,
Свиридов Илья Сергеевич,03-002-03-01,судья,назначен,,лет,5
Романовская Елена Михайловна,03-012-03-01,судья и председатель суда,назначен,,бессрочно,
Быстров Виктор Викторович,02-000-03-01,судья,назначен,,лет,5
Быстров Виктор Викторович,02-021-03-01,судья,освобожден,,,
Белоус Илья Владимирович,02-002-03-02,судья,назначен,,лет,5
Кручинина Иринуа Алексеевна,02-021-03-01,судья,назначен,,лет,5
Бойцова Наталья Александровна,02-014-03-01,судья и заместитель председателя суда,назначен,,лет,5
Котова Алеся Анатольевна,02-014-03-01,судья и председатель суда,назначен,,лет,5
Шамкова Илона Дмитриевна,02-014-03-01,судья,назначен,,лет,5
Шамкова Илона Дмитриевна,02-014-03-01,судья,освобожден,,,
Лаюшко Ольга Ивановна,02-020-03-01,судья,назначен,,лет,5
Коляда Надежда Анатольевна,01-000-03-01,судья,назначен,,лет,5
Коляда Надежда Анатольевна,01-003-03-01,судья,освобожден,,,
Богнат Алла Ивановна,01-012-03-01,судья,назначен,,лет,5
Богнат Алла Ивановна,01-012-03-01,судья,освобожден,в связи с нахождением в социальном
отпуске Коберской Татьяны Александровны,,
Виноградова Алла Алексеевна,01-002-03-01,судья,назначен,,лет,5
Копач Оксана Александровна,01-003-03-01,судья и заместитель председателя суда,назначен,,лет,5
Плотников Андрей Владимирович,07-000-00-02,судья,назначен,,бессрочно,
Плотников Андрей Владимирович,05-002-03-02,судья,освобожден,,,
Плотников Андрей Владимирович,05-002-03-02,заместитель председателя суда и судья,освобожден,назначение на новую должность,,
Синкевич Ольга Николаевна,05-002-03-02,судья,освобожден,назначение на новую должность,,
Абрамович Ольга Викторовна,05-005-03-01,заместитель председателя суда,освобожден,истечение срока полномочий,,
Бабук Ольга Владимировна,05-017-03-01,заместитель председателя суда,освобожден,по собственному желанию,,
Горбацкий Александр Александрович,01-000-03-02,судья,освобожден,выход в отставку,,
Демещенко Елена Александровна,02-010-03-01,судья и председатель суда и судья,освобожден,выход в отставку,,
Ермольчик Елена Евгеньевна,03-009-03-01,заместитель председателя суда и судья,освобожден,выход в отставку,,
Костогрызов Николай Евгеньевич,02-020-03-01,судья,освобожден,выход в отставку,,
Кузнецова Наталья Анатольевна,07-003-03-01,судья,освобожден,выход в отставку,,
Рахуба Анастасия Юрьевна,05-017-03-01,судья,освобожден,истечение срока полномочий,,
Ткачук Сергей Иванович,05-001-03-01,судья,освобожден,выход в отставку,,
Цветков Алексей Иванович,04-000-03-02,судья,освобожден,выход в отставку,,
Чайков Александр Михайлович,06-005-03-01,судья,освобожден,выход в отставку,,
Шоломицкий Владимир Алексеевич,01-001-03-01,судья,освобожден,выход в отставку,,
