ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Ульский Александр Викторович,02-009-03-01,председатель,назначен,,бессрочно,
Белявская Тамара Ивановна,03-017-03-01,судья,назначен,,бессрочно,
Верига Ирина Васильевна,суд г.Мозыря,судья и председатель,назначен,,бессрочно,
Дробышевская Валентина Петровна,03-011-03-01,судья и председатель,назначен,,бессрочно,
Зенченко Михаил Семенович,суд г.Мозыря,судья и заместитель председателя,назначен,,бессрочно,
Прокопенко Владимир Сергеевич,03-004-03-01,судья,назначен,,бессрочно,
Рубисов Николай Данилович,03-019-03-01,судья и председатель,назначен,,бессрочно,
Евхута Владимир Николаевич,суд Слонимского района и г.Слонима,судья,назначен,,бессрочно,
Заяц Анатолий Александрович,04-000-03-01,судья,назначен,,бессрочно,
Казакевич Виталий Григорьевич,04-014-03-01,судья и председатель,назначен,,бессрочно,
Климова Татьяна Викторовна,04-002-03-01,судья,назначен,,бессрочно,
Никольская Зоя Матвеевна,04-000-03-01,судья,назначен,,бессрочно,
Подолянчик Александр Иосифович,04-002-03-02,судья,назначен,,бессрочно,
Талашко Николай Станиславович,04-004-03-01,судья,назначен,,бессрочно, 
Боборыкин Владимир Александрович,суд г.Молодечно,судья по административным делам,назначен,,бессрочно, 
Далинчук Светлана Федоровна,05-000-03-01,судья,назначен,,бессрочно,
Данилова Анжелика Николаевна,05-017-03-01,судья,назначен,,бессрочно,
Симонов Александр Анатольевич,05-000-03-01,судья,назначен,,бессрочно,
Язвинский Дмитрий Вячеславович,05-008-03-01,судья,назначен,,бессрочно,
Язвинский Дмитрий Вячеславович,05-008-03-01,судья по административным делам,освобожден,,,
Кузнецов Алексей Владимирович,06-020-03-01,судья по административным делам,назначен,,бессрочно,
Костюкович Зоя Павловна,07-001-03-01,судья,назначен,,бессрочно,
Кривая Валентина Дмитриевна,07-002-03-01,судья,назначен,,бессрочно,
Тройнич Елена Николаевна,07-003-03-01,судья,назначен,,бессрочно,
Тройнич Елена Николаевна,07-003-03-01,судья по административным делам,освобожден,,,
Угнивенко Инна Николаевна,07-008-03-01,судья,назначен,,бессрочно,










