ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Герасимук Нина Аркадьевна,01-000-03-01,судья,назначен,,бессрочно,
Дмитрук Георгий Григорьевич,01-000-03-01,судья,назначен,,бессрочно,
Лобачевская Раиса Ивановна,суд г.Пинска,судья по административным делам,назначен,,бессрочно,
Сиз Николай Иванович,01-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Устимчук Нина Степановна,01-000-03-01,судья,назначен,,бессрочно,
Бордюкова Алла Сергеевна,02-002-03-01,судья,назначен,,бессрочно,
Дутченко Светлана Стефановна,02-002-03-02,судья,назначен,,бессрочно,
Рощина Наталья Николаевна,02-004-03-01,судья,назначен,,бессрочно,
Рощина Наталья Николаевна,02-019-03-01,судья по административным делам,освобожден,,,
Загвоздина Галина Владимировна,03-010-03-01,судья,назначен,,бессрочно,
Мицуля Владимир Васильевич,03-010-03-01,судья,назначен,,бессрочно,
Мысливец Степан Степанович,03-000-03-01,судья,назначен,,бессрочно,
Троско Елена Николаевна,03-000-03-01,судья,назначен,,бессрочно,
Долгошей Светлана Ивановна,04-005-03-01,судья,назначен,,бессрочно,
Казакевич Генрих Феликсович,04-002-03-02,судья,назначен,,бессрочно,  
Колесник Александр Алексеевич,04-000-03-01,судья,назначен,,бессрочно,
Кравченко Жанна Ивановна,04-002-03-01,судья,назначен,,бессрочно, 
Сенько Виктор Антонович,04-009-03-01,судья,назначен,,бессрочно,
Сенько Виктор Антонович,04-009-03-01,судья по административным делам,освобожден,,,
Ярмакович Наталия Владимировна,суд г.Лиды,судья,назначен,,бессрочно,
Долженко Людмила Чеславовна,суд Минского района и г.Заславля,судья и заместитель председателя,назначен,,бессрочно, 
Долгих Нина Васильевна,06-006-03-01,судья,назначен,,бессрочно,
Клименков Валерий Георгиевич,06-000-03-01,судья,назначен,,бессрочно,
Ковалев Андрей Евгеньевич,06-002-03-01,судья,назначен,,бессрочно, 
Ковалев Андрей Евгеньевич,06-012-03-01,судья,освобожден,,, 
Костюк Татьяна Михайловна,суд Центрального района г.Могилева,судья,назначен,,бессрочно,
Моисеенко Евгений Михайлович,06-000-03-01,судья,назначен,,бессрочно,
Пигаль Борис Владимирович,06-008-03-01,председатель,назначен,,бессрочно,
Улитина Татьяна Николаевна,06-009-03-01,судья,назначен,,бессрочно,
Умаров Магомед Хайбулаевич,06-002-03-02,судья,назначен,,бессрочно,
Шарабайко Жанна Петровна,06-017-03-01,судья,назначен,,бессрочно,
Высоцкая Тамара Александровна,05-002-03-01,судья,назначен,,бессрочно,
Мильто Игорь Геннадьевич,05-002-03-01,судья,назначен,,бессрочно,
Назаренко Василий Андреевич,05-002-03-01,судья,назначен,,бессрочно,
Хробостов Владимир Иванович,05-002-03-01,судья,назначен,,бессрочно,



